bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	34.249	34.709	CONTINUER	네.	[8]	[11]	[9]
2	AH0001	35.329	35.489	CONTINUER	네.	[8]	[11]	[11]
3	AH0001	36.472	37.978	AFFIRMATIVE	음. 그렇죠.	[8]	[12]	[4]
4	AH0001	40.481	40.876	CONTINUER	음.	[8]	[13]	[8]
5	AH0001	43.283	43.953	CONTINUER	네.	[8]	[13]	[16]
6	AH0001	48.59	48.865	CONTINUER	네.	[8]	[14]	[8]
7	AH0001	52.174	52.409	CONTINUER	네.	[8]	[15]	[8]
8	AH0001	54.502	55.157	CONTINUER	음음음.	[8]	[16]	[4]
9	AH0001	56.833	56.933	CONTINUER	음.	[8]	[16]	[6]
10	AH0001	59.869	61.441	AFFIRMATIVE	음. 그렇죠. 그렇죠.	[8]	[16]	[15]
11	AH0001	63.63	64.445	CONTINUER	음음음.	[8]	[17]	[4]
12	AH0001	66.256	66.551	CONTINUER	네.	[8]	[17]	[9]
13	AH0001	75.286	76.366	AFFIRMATIVE	음. 그렇죠.	[10]	[21]	[11]
14	AH0001	77.777	78.693	CONTINUER	음음음음.	[10]	[22]	[4]
15	AH0001	86.626	87.176	CONTINUER	어.	[12]	[26]	[7]
16	AH0001	88.161	88.426	CONTINUER	네.	[12]	[26]	[10]
17	AH0001	102.399	103.079	ASSESSMENT	음!	[14]	[31]	[1]
18	AH0002	108.161	108.957	AFFIRMATIVE	맞습니다.	[15]	[32]	[10]
19	AH0001	112.951	113.331	CONTINUER	네.	[16]	[33]	[8]
20	AH0001	115.724	116.25	CONTINUER	음.	[16]	[34]	[5]
21	AH0001	120.57	121.115	CONTINUER	네.	[16]	[35]	[6]
22	AH0001	126.412	126.657	CONTINUER	네.	[16]	[36]	[12]
23	AH0001	130.875	131.43	CONTINUER	음.	[16]	[37]	[9]
24	AH0001	143.518	145.33	AFFIRMATIVE	음. 그렇죠. 맞아요.	[16]	[38]	[12]
25	AH0001	147.423	147.913	CONTINUER	음.	[16]	[39]	[5]
26	AH0001	158.764	159.214	CONTINUER	음.	[18]	[41]	[5]
27	AH0001	161.389	162.195	AFFIRMATIVE	그렇죠.	[18]	[41]	[13]
28	AH0001	162.935	163.455	AFFIRMATIVE	그렇죠.	[18]	[41]	[16]
