bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	18.174	18.769	CONTINUER	예.	[2]	[3]	[6]
2	DG0002	20.201	20.796	CONTINUER	네.	[3]	[4]	[4]
3	DG0002	27.594	28.139	UNDERSTANDING	음.	[3]	[5]	[9]
4	DG0002	30.234	30.509	CONTINUER	으흠.	[3]	[5]	[13]
5	DG0001	37.618	37.878	CONTINUER	네.	[4]	[6]	[11]
6	DG0001	47.014	47.559	UNDERSTANDING	어.	[4]	[7]	[11]
7	DG0001	54.205	54.95	CONTINUER	예예. 예.	[4]	[8]	[5]
8	DG0001	61.634	62.79	ASSESSMENT	허! 어.	[4]	[9]	[4]
9	DG0001	63.874	64.389	CONTINUER	어.	[4]	[9]	[10]
10	DG0001	76.915	78.9	ASSESSMENT	흠! 와우.	[4]	[11]	[3]
11	DG0001	90.947	93.337	CONTINUER	에. 어. 어.	[6]	[14]	[1]
12	DG0001	126.626	127.916	UNDERSTANDING	으으음.	[8]	[18]	[11]
13	DG0001	178.651	179.096	ASSESSMENT	아.	[8]	[24]	[15]
14	DG0001	189.532	189.927	CONTINUER	음.	[8]	[25]	[9]
15	DG0001	207.899	208.184	CONTINUER	음.	[8]	[27]	[15]
16	DG0001	223.363	223.633	CONTINUER	음.	[10]	[30]	[10]
17	DG0001	235.512	236.887	ASSESSMENT	아! 아.	[10]	[31]	[9]
18	DG0001	241.592	242.572	UNDERSTANDING	어.	[10]	[32]	[12]
19	DG0001	251.591	252.281	UNDERSTANDING	음.	[10]	[33]	[16]
20	DG0001	257.483	257.963	UNDERSTANDING	음.	[10]	[34]	[10]
21	DG0001	265.021	265.386	CONTINUER	네.	[10]	[35]	[8]
22	DG0001	266.706	267.001	CONTINUER	음.	[10]	[35]	[11]
23	DG0001	275.127	275.787	CONTINUER	음.	[10]	[36]	[6]
24	DG0001	279.037	279.487	ASSESSMENT	카.	[10]	[36]	[13]
25	DG0001	290.333	290.693	ASSESSMENT	아.	[10]	[37]	[17]
26	DG0001	305.521	305.691	CONTINUER	응.	[12]	[39]	[3]
27	DG0001	309.301	309.761	CONTINUER	으응.	[12]	[39]	[9]
28	DG0001	341.74	342.085	CONTINUER	응.	[12]	[43]	[15]
29	DG0001	378.917	379.472	CONTINUER	응.	[14]	[48]	[18]
30	DG0001	393.56	394.245	UNDERSTANDING	어.	[14]	[50]	[6]
31	DG0001	396.145	396.655	UNDERSTANDING	음.	[14]	[50]	[13]
32	DG0001	415.009	415.424	UNDERSTANDING	음.	[14]	[53]	[11]
33	DG0001	429.795	430.76	UNDERSTANDING	아.	[14]	[54]	[19]
34	DG0001	434.885	435.205	CONTINUER	응.	[14]	[55]	[9]
35	DG0002	450.105	450.46	CONTINUER	예.	[17]	[58]	[2]
36	DG0001	459.158	459.418	CONTINUER	응.	[18]	[59]	[23]
37	DG0001	469.598	470.028	CONTINUER	응.	[18]	[61]	[1]
38	DG0001	480.238	480.943	UNDERSTANDING	음.	[18]	[61]	[24]
39	DG0001	492.822	493.582	CONTINUER	음. 어.	[18]	[63]	[12]
40	DG0001	502.33	502.72	CONTINUER	음.	[18]	[64]	[10]
41	DG0001	534.788	535.233	CONTINUER	응.	[18]	[67]	[17]
42	DG0001	540.876	541.326	CONTINUER	응.	[18]	[68]	[12]
43	DG0001	557.806	558.906	CONTINUER	음	[20]	[71]	[21]
44	DG0001	566.351	566.836	CONTINUER	음.	[20]	[72]	[19]
45	DG0001	579.193	579.533	CONTINUER	응.	[20]	[74]	[7]
46	DG0001	597.408	598.003	UNDERSTANDING	음.	[20]	[76]	[18]
47	DG0001	614.649	615.034	CONTINUER	어.	[20]	[78]	[8]
48	DG0001	636.502	636.982	CONTINUER	응.	[20]	[81]	[7]
49	DG0001	643.801	644.756	UNDERSTANDING	으음.	[20]	[81]	[25]
50	DG0001	652.886	653.206	CONTINUER	응.	[20]	[82]	[15]
51	DG0001	689.333	689.463	CONTINUER	응.	[20]	[86]	[14]
52	DG0001	703.187	703.802	CONTINUER	응.	[20]	[88]	[9]
53	DG0001	705.472	705.937	CONTINUER	으음.	[20]	[88]	[15]
54	DG0001	734.437	734.787	CONTINUER	음.	[20]	[92]	[6]
55	DG0001	739.402	739.742	CONTINUER	어.	[20]	[93]	[5]
56	DG0001	743.962	744.487	CONTINUER	응.	[20]	[93]	[16]
57	DG0001	750.057	750.742	CONTINUER	어.	[20]	[94]	[8]
58	DG0001	756.508	758.033	ASSESSMENT	하! 허.	[20]	[95]	[12]
59	DG0001	776.358	776.888	UNDERSTANDING	으음.	[20]	[97]	[20]
60	DG0001	789.862	790.692	UNDERSTANDING	음.	[20]	[99]	[8]
61	DG0001	799.532	799.807	CONTINUER	응.	[20]	[101]	[5]
62	DG0001	817.327	817.867	UNDERSTANDING	음.	[20]	[103]	[3]
63	DG0001	832.333	833.073	UNDERSTANDING	음.	[20]	[105]	[4]
64	DG0001	841.789	842.189	UNDERSTANDING	음.	[20]	[106]	[9]
65	DG0001	852.512	853.417	UNDERSTANDING	어. 어.	[20]	[107]	[14]
66	DG0001	859.752	860.482	ASSESSMENT	아.	[20]	[108]	[2]
67	DG0002	861.981	862.191	CONTINUER	응.	[21]	[109]	[1]
68	DG0002	867.691	868.036	AFFIRMATIVE	그렇죠.	[21]	[109]	[16]
69	DG0002	871.175	871.32	CONTINUER	응.	[21]	[110]	[7]
70	DG0002	873.215	873.38	CONTINUER	어.	[21]	[110]	[13]
71	DG0002	874.125	874.325	CONTINUER	응.	[21]	[110]	[16]
72	DG0002	878.515	878.75	CONTINUER	응.	[21]	[110]	[23]
73	DG0002	896.734	897.019	CONTINUER	어.	[23]	[113]	[9]
74	DG0002	898.239	898.719	AFFIRMATIVE	그쵸.	[23]	[113]	[15]
75	DG0001	901.035	901.165	CONTINUER	응.	[24]	[114]	[7]
76	DG0001	902.69	903.27	CONTINUER	음.	[24]	[114]	[11]
77	DG0002	906.572	906.767	CONTINUER	응.	[25]	[115]	[11]
78	DG0001	917.301	917.911	UNDERSTANDING	음.	[26]	[116]	[24]
79	DG0001	929.464	930.199	UNDERSTANDING	음.	[26]	[117]	[24]
80	DG0001	940.269	940.494	CONTINUER	응.	[26]	[119]	[7]
81	DG0001	949.109	949.689	CONTINUER	음.	[26]	[119]	[26]
82	DG0002	951.376	951.856	CONTINUER	응.	[27]	[120]	[4]
83	DG0002	954.216	954.326	CONTINUER	응.	[27]	[120]	[11]
84	DG0002	962.466	962.661	CONTINUER	응.	[29]	[122]	[1]
85	DG0001	965.845	966.52	ASSESSMENT	아.	[30]	[123]	[11]
86	DG0001	973.919	974.479	CONTINUER	어.	[30]	[123]	[27]
87	DG0001	979.413	979.938	UNDERSTANDING	어.	[30]	[124]	[13]
88	DG0001	981.568	981.998	ASSESSMENT	어! 어.	[30]	[124]	[19]
89	DG0001	992.029	992.589	CONTINUER	어.	[30]	[125]	[22]
90	DG0001	998.807	999.127	CONTINUER	응.	[30]	[126]	[8]
91	DG0001	1003.855	1004.32	CONTINUER	음.	[32]	[128]	[13]
92	DG0001	1013.531	1013.871	CONTINUER	네.	[32]	[129]	[7]
93	DG0001	1018.773	1019.313	UNDERSTANDING	으으음.	[32]	[130]	[5]
94	DG0001	1027.294	1028.179	UNDERSTANDING	음.	[32]	[131]	[9]
