bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	SL0002	22.402	22.767	CONTINUER	네.	[3]	[4]	[10]
2	SL0002	47.501	47.841	CONTINUER	네.	[7]	[9]	[18]
3	SL0002	50.672	51.107	CONTINUER	아.	[7]	[10]	[5]
4	SL0001	64.402	64.876	REQUEST_CONFIRMATION	진짜요?	[8]	[12]	[8]
5	SL0001	67.577	68.037	CONTINUER	음.	[8]	[13]	[6]
6	SL0001	75.483	76.027	AFFIRMATIVE	그러게요.	[10]	[15]	[11]
7	SL0001	78.356	78.831	CONTINUER	음.	[10]	[16]	[5]
8	SL0002	89.098	89.568	CONTINUER	예.	[11]	[17]	[16]
9	SL0002	100.469	101.002	AFFIRMATIVE	그렇죠.	[11]	[18]	[17]
10	SL0002	101.747	101.877	CONTINUER	음.	[11]	[19]	[1]
11	SL0001	114.515	115.035	AFFIRMATIVE	그렇죠.	[14]	[22]	[8]
12	SL0001	118.335	118.99	UNDERSTANDING	아.	[14]	[23]	[2]
13	SL0001	124.115	124.65	REQUEST_CONFIRMATION	맞아요?	[14]	[23]	[11]
14	SL0001	131.733	132.053	CONTINUER	아.	[14]	[24]	[9]
15	SL0002	136.959	137.314	CONTINUER	네.	[15]	[25]	[4]
16	SL0002	152.401	152.895	AFFIRMATIVE	그렇죠.	[15]	[26]	[11]
17	SL0001	157.579	158.334	CONTINUER	아.	[16]	[28]	[6]
18	SL0001	163.624	164.684	CONTINUER	음.	[16]	[28]	[15]
19	SL0001	181.602	182.069	CONTINUER	네.	[18]	[30]	[15]
20	SL0001	205.067	205.437	CONTINUER	네.	[22]	[35]	[7]
21	SL0001	220.172	220.732	CONTINUER	음.	[24]	[38]	[2]
22	SL0001	222.313	222.902	CONTINUER	음.	[24]	[38]	[4]
23	SL0001	231.035	231.4	CONTINUER	예.	[24]	[39]	[18]
24	SL0002	249.001	249.345	CONTINUER	예.	[25]	[41]	[13]
25	SL0001	306.395	306.92	CONTINUER	네.	[30]	[51]	[8]
26	SL0001	312.646	313.276	CONTINUER	음.	[30]	[52]	[8]
27	SL0001	317.196	317.816	AFFIRMATIVE	그렇죠.	[30]	[52]	[17]
28	SL0001	327.066	327.481	CONTINUER	네.	[30]	[53]	[19]
29	SL0001	338.326	339.171	CONTINUER	네네네.	[30]	[54]	[18]
30	SL0001	342.151	344.371	AFFIRMATIVE	그렇죠. 네. 네.	[30]	[55]	[10]
31	SL0002	354.135	354.765	AFFIRMATIVE	그러니까요.	[31]	[56]	[12]
32	SL0002	386.162	386.502	CONTINUER	예.	[33]	[62]	[1]
33	SL0001	395.122	395.767	CONTINUER	음.	[34]	[63]	[15]
34	SL0001	422.865	423.01	CONTINUER	음.	[36]	[66]	[9]
35	SL0002	427.263	428.058	AFFIRMATIVE	그렇죠. 네.	[37]	[67]	[3]
36	SL0001	436.9	437.38	CONTINUER	음.	[38]	[69]	[5]
37	SL0001	443.785	444.63	CONTINUER	네네.	[38]	[69]	[18]
38	SL0002	457.036	457.291	CONTINUER	네.	[39]	[71]	[16]
39	SL0001	466.883	467.468	CONTINUER	음.	[40]	[72]	[13]
40	SL0001	474.635	475.226	AFFIRMATIVE	그렇죠.	[40]	[73]	[12]
41	SL0001	478.169	478.464	CONTINUER	음.	[40]	[74]	[6]
42	SL0002	493.097	493.437	CONTINUER	네.	[43]	[77]	[8]
43	SL0001	511.436	511.896	CONTINUER	네.	[48]	[83]	[5]
44	SL0001	515.804	516.15	CONTINUER	네.	[48]	[83]	[12]
45	SL0001	518.153	518.938	CONTINUER	어. 네.	[48]	[84]	[4]
46	SL0001	524.073	524.513	CONTINUER	예.	[48]	[85]	[2]
47	SL0001	527.293	528.658	CONTINUER	음.	[48]	[85]	[11]
48	SL0002	538.464	539.284	AFFIRMATIVE	그렇죠. 네.	[49]	[87]	[8]
49	SL0001	575.257	578.137	CONTINUER	음.	[52]	[93]	[1]
