bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	10.53	11.225	AFFIRMATIVE	그러니까요.	[2]	[2]	[3]
2	DG0001	13.03	14.4	CONTINUER	네. 네.	[2]	[2]	[7]
3	DG0001	15.97	16.495	CONTINUER	네.	[2]	[2]	[15]
4	DG0002	18.599	19.099	CONTINUER	네네.	[3]	[3]	[3]
5	DG0002	22.234	22.589	CONTINUER	네.	[3]	[3]	[8]
6	DG0002	25.989	26.254	CONTINUER	네.	[3]	[3]	[17]
7	DG0001	29.347	30.077	CONTINUER	음.	[4]	[4]	[3]
8	DG0002	36.03	36.37	CONTINUER	네.	[5]	[6]	[1]
9	DG0002	37.675	37.99	CONTINUER	네.	[5]	[6]	[4]
10	DG0002	41.93	42.17	CONTINUER	네.	[5]	[6]	[13]
11	DG0001	52.124	53.219	AFFIRMATIVE	그럼요. 예.	[6]	[8]	[3]
12	DG0001	54.024	54.249	CONTINUER	네.	[6]	[8]	[5]
13	DG0001	56.764	57.184	ASSESSMENT	하으.	[6]	[8]	[9]
14	DG0001	58.444	59.129	CONTINUER	네.	[6]	[8]	[11]
15	DG0001	60.334	60.984	CONTINUER	네.	[6]	[8]	[16]
16	DG0001	63.564	63.819	CONTINUER	네.	[6]	[9]	[1]
17	DG0001	66.669	67.174	CONTINUER	음.	[6]	[9]	[3]
18	DG0001	72.669	73.274	ASSESSMENT	아!	[6]	[9]	[13]
19	DG0001	75.462	75.987	ASSESSMENT	아!	[6]	[10]	[2]
20	DG0002	77.701	77.966	CONTINUER	네.	[7]	[11]	[1]
21	DG0001	93.711	94.006	CONTINUER	응.	[8]	[13]	[4]
22	DG0001	104.239	104.839	CONTINUER	음.	[8]	[14]	[7]
23	DG0001	131.729	132.154	CONTINUER	음.	[8]	[16]	[13]
24	DG0002	137.33	139.16	AFFIRMATIVE	그렇죠. 네. 네.	[9]	[17]	[5]
25	DG0002	148.109	148.584	CONTINUER	네네.	[9]	[18]	[14]
26	DG0001	158.342	159.047	CONTINUER	음.	[10]	[20]	[9]
27	DG0001	160.242	160.932	AFFIRMATIVE	맞습니다.	[10]	[20]	[12]
28	DG0001	162.612	162.912	CONTINUER	음.	[10]	[20]	[18]
29	DG0001	166.771	167.331	UNDERSTANDING	아.	[10]	[21]	[3]
30	DG0001	202.091	202.581	CONTINUER	네.	[14]	[26]	[8]
31	DG0001	207.366	207.871	AFFIRMATIVE	그렇죠.	[14]	[26]	[19]
32	DG0001	214.415	215.15	CONTINUER	음.	[14]	[27]	[10]
33	DG0001	217.067	217.723	CONTINUER	네.	[14]	[27]	[15]
34	DG0001	225.643	226.158	CONTINUER	네.	[14]	[28]	[15]
35	DG0001	234.429	234.799	CONTINUER	네.	[14]	[29]	[17]
36	DG0001	245.375	245.79	CONTINUER	네.	[14]	[30]	[18]
37	DG0001	251.727	252.202	CONTINUER	네.	[14]	[31]	[9]
38	DG0001	259.075	259.415	CONTINUER	응.	[14]	[32]	[7]
39	DG0001	261.584	262.015	CONTINUER	응.	[14]	[32]	[13]
40	DG0001	270.545	271.18	CONTINUER	응.	[14]	[33]	[9]
41	DG0001	276.718	277.323	CONTINUER	네네.	[14]	[34]	[5]
42	DG0001	278.178	278.578	CONTINUER	응.	[14]	[34]	[10]
43	DG0002	284.146	284.646	CONTINUER	네.	[15]	[35]	[7]
44	DG0002	288.676	289.071	CONTINUER	네.	[15]	[35]	[14]
45	DG0002	301.788	301.993	CONTINUER	네.	[15]	[37]	[7]
46	DG0002	303.668	305.178	CONTINUER	네. 네.	[15]	[37]	[9]
47	DG0002	309.229	309.599	CONTINUER	네.	[15]	[38]	[3]
48	DG0002	323.684	324.204	CONTINUER	네네.	[17]	[41]	[14]
49	DG0001	344.541	344.846	CONTINUER	네.	[20]	[44]	[4]
50	DG0001	348.27	348.99	CONTINUER	음.	[20]	[44]	[9]
51	DG0002	358.435	358.97	CONTINUER	예예예.	[21]	[46]	[2]
52	DG0002	365.291	365.701	CONTINUER	네네.	[23]	[48]	[5]
53	DG0002	367.346	368.961	AFFIRMATIVE	네네. 그렇습니다.	[23]	[48]	[8]
54	DG0001	371.887	372.462	UNDERSTANDING	음.	[24]	[49]	[6]
55	DG0002	383.459	383.759	CONTINUER	네.	[25]	[51]	[10]
56	DG0002	389.584	391.369	CONTINUER	네네. 네네. 금상.	[25]	[51]	[22]
57	DG0002	392.487	392.937	CONTINUER	네네.	[25]	[52]	[4]
58	DG0002	401.24	401.74	AFFIRMATIVE	그렇죠.	[25]	[53]	[1]
59	DG0002	405.509	405.871	CONTINUER	네.	[25]	[53]	[11]
60	DG0002	422.266	422.776	CONTINUER	네.	[25]	[55]	[13]
61	DG0002	435.023	436.408	CONTINUER	네. 네네.	[27]	[58]	[2]
62	DG0001	442.495	442.965	CONTINUER	네.	[28]	[60]	[3]
63	DG0001	444.85	445.525	CONTINUER	네네.	[28]	[60]	[6]
64	DG0002	449.659	450.194	CONTINUER	네네.	[29]	[62]	[3]
65	DG0002	452.209	452.754	CONTINUER	네.	[29]	[62]	[6]
66	DG0001	457.159	457.704	UNDERSTANDING	음음.	[30]	[63]	[3]
67	DG0002	467.481	469.821	AFFIRMATIVE	그렇죠. 네네. 그렇습니다.	[31]	[64]	[7]
68	DG0002	477.363	477.658	CONTINUER	네.	[31]	[65]	[11]
69	DG0002	480.053	480.608	CONTINUER	네.	[31]	[65]	[15]
70	DG0002	487.95	488.55	CONTINUER	네네.	[31]	[66]	[5]
71	DG0002	491.36	492.295	AFFIRMATIVE	네. 맞습니다.	[31]	[66]	[10]
72	DG0001	496.419	496.634	CONTINUER	응.	[32]	[67]	[2]
73	DG0001	498.469	498.854	CONTINUER	응.	[32]	[67]	[6]
74	DG0001	502.024	502.759	CONTINUER	응.	[32]	[67]	[12]
75	DG0001	505.374	505.994	ASSESSMENT	크.	[32]	[67]	[15]
