bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	12.495	12.74	CONTINUER	음.	[1]	[1]	[19]
2	DG0002	16.584	16.899	CONTINUER	네.	[1]	[2]	[8]
3	DG0002	18.744	19.299	CONTINUER	어.	[1]	[2]	[17]
4	DG0001	52.855	54.385	CONTINUER	음.	[6]	[8]	[8]
5	DG0001	58.498	59.229	CONTINUER	음	[6]	[8]	[16]
6	DG0001	65.549	66.079	CONTINUER	네.	[6]	[9]	[12]
7	DG0002	78.67	79.13	CONTINUER	그렇죠.	[7]	[11]	[11]
8	DG0002	81.833	82.038	CONTINUER	음.	[7]	[12]	[9]
9	DG0001	87.496	88.726	CONTINUER	음.	[8]	[13]	[4]
10	DG0001	91.956	92.341	CONTINUER	음.	[8]	[13]	[12]
11	DG0001	96.934	97.3	CONTINUER	네.	[8]	[13]	[22]
12	DG0001	99.655	99.98	REQUEST_CONFIRMATION	그래요?	[8]	[14]	[7]
13	DG0002	100.036	100.426	CONTINUER	네.	[]	[]	[]
14	DG0001	104.505	104.885	CONTINUER	네.	[10]	[16]	[5]
15	DG0001	107.564	108.399	CONTINUER	아.	[10]	[16]	[9]
16	DG0001	114.268	114.783	CONTINUER	네. 네.	[10]	[17]	[8]
17	DG0001	120.974	121.869	CONTINUER	오.	[10]	[18]	[7]
18	DG0002	128.322	128.647	CONTINUER	네.	[11]	[19]	[9]
19	DG0002	132.809	133.964	AFFIRMATIVE	그렇죠. 그렇죠.	[11]	[20]	[9]
20	DG0002	136.869	137.184	CONTINUER	네.	[11]	[20]	[17]
21	DG0001	156.21	156.51	CONTINUER	음.	[14]	[24]	[3]
22	DG0001	161.145	161.78	CONTINUER	음.	[14]	[24]	[13]
23	DG0001	165.545	166.02	CONTINUER	음.	[14]	[24]	[24]
24	DG0001	172.465	173.0	CONTINUER	네.	[14]	[25]	[9]
25	DG0001	178.968	179.938	CONTINUER	음.	[14]	[26]	[4]
26	DG0002	186.321	186.696	CONTINUER	네.	[15]	[27]	[10]
27	DG0001	195.66	196.17	AFFIRMATIVE	그렇죠.	[16]	[28]	[10]
28	DG0001	197.72	198.145	CONTINUER	네.	[16]	[28]	[16]
29	DG0001	211.186	212.016	CONTINUER	아이고.	[18]	[30]	[9]
30	DG0002	218.807	219.037	CONTINUER	네.	[19]	[32]	[7]
31	DG0002	225.557	227.757	AFFIRMATIVE	네. 그렇죠. 네.	[19]	[32]	[21]
32	DG0002	240.322	240.747	CONTINUER	네. 네.	[19]	[34]	[10]
33	DG0001	254.026	254.636	CONTINUER	오.	[20]	[36]	[2]
34	DG0001	259.111	259.456	CONTINUER	네.	[20]	[36]	[11]
35	DG0001	262.348	262.813	CONTINUER	음.	[20]	[37]	[4]
36	DG0001	264.543	265.003	CONTINUER	음.	[20]	[37]	[7]
37	DG0002	267.678	267.903	CONTINUER	네.	[21]	[38]	[2]
38	DG0002	271.283	271.593	CONTINUER	네.	[21]	[38]	[12]
39	DG0002	273.838	275.363	AFFIRMATIVE	음. 그렇죠.	[21]	[38]	[17]
40	DG0002	283.87	284.49	CONTINUER	음.	[21]	[40]	[6]
41	DG0001	296.821	297.471	CONTINUER	네.	[22]	[42]	[6]
42	DG0002	302.667	302.932	CONTINUER	네.	[23]	[44]	[10]
43	DG0002	304.322	304.717	CONTINUER	예.	[23]	[44]	[14]
44	DG0002	309.107	309.497	CONTINUER	음.	[23]	[44]	[32]
45	DG0001	313.597	314.077	CONTINUER	아.	[24]	[46]	[4]
