bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	9.698	9.908	CONTINUER	네.	[2]	[3]	[2]
2	DG0001	19.545	19.917	CONTINUER	네.	[2]	[3]	[25]
3	DG0001	34.606	34.984	CONTINUER	네.	[2]	[5]	[20]
4	DG0001	42.174	42.339	CONTINUER	예.	[2]	[6]	[14]
5	DG0001	55.297	55.602	CONTINUER	네.	[2]	[8]	[10]
6	DG0001	62.893	63.182	CONTINUER	네.	[2]	[8]	[29]
7	DG0001	68.006	68.251	CONTINUER	네.	[2]	[9]	[11]
8	DG0001	88.072	88.333	CONTINUER	네.	[2]	[11]	[23]
9	DG0001	98.452	98.861	CONTINUER	네.	[2]	[12]	[21]
10	DG0001	102.591	102.831	CONTINUER	네.	[2]	[13]	[12]
11	DG0001	121.133	121.283	CONTINUER	네.	[4]	[17]	[8]
12	DG0001	139.165	139.36	CONTINUER	예.	[6]	[20]	[14]
13	DG0001	148.512	149.497	CONTINUER	네. 네.	[6]	[21]	[17]
14	DG0001	156.158	156.505	CONTINUER	네.	[6]	[22]	[16]
15	DG0001	166.412	166.656	CONTINUER	네.	[6]	[23]	[24]
16	DG0001	179.547	179.697	CONTINUER	예.	[8]	[27]	[1]
17	DG0001	180.6	180.705	CONTINUER	예.	[8]	[28]	[1]
18	DG0001	183.425	183.837	UNDERSTANDING	네.	[8]	[28]	[7]
19	DG0001	189.72	189.95	CONTINUER	네.	[8]	[29]	[15]
20	DG0001	192.809	193.144	CONTINUER	네.	[8]	[30]	[8]
21	DG0001	196.957	197.222	CONTINUER	네.	[8]	[31]	[9]
22	DG0001	201.455	201.925	UNDERSTANDING	네.	[8]	[32]	[7]
23	DG0001	203.517	203.952	CONTINUER	네.	[8]	[33]	[5]
24	DG0001	230.332	230.747	CONTINUER	네.	[8]	[36]	[5]
25	DG0001	250.441	250.621	CONTINUER	네.	[10]	[39]	[1]
26	DG0001	264.752	265.082	CONTINUER	네.	[10]	[40]	[14]
27	DG0001	266.549	266.869	CONTINUER	예.	[10]	[41]	[4]
28	DG0001	268.829	269.124	CONTINUER	네.	[10]	[42]	[4]
29	DG0001	273.075	273.376	CONTINUER	예.	[10]	[43]	[8]
30	DG0001	288.424	288.653	CONTINUER	예.	[12]	[46]	[9]
31	DG0001	290.193	290.498	CONTINUER	네.	[12]	[47]	[4]
32	DG0001	302.476	302.726	CONTINUER	음.	[12]	[48]	[25]
33	DG0002	330.937	331.282	CONTINUER	네네.	[15]	[55]	[9]
34	DG0002	336.056	336.286	CONTINUER	예.	[15]	[56]	[10]
35	DG0002	339.006	339.171	CONTINUER	네.	[15]	[56]	[21]
36	DG0001	342.185	342.415	CONTINUER	네.	[16]	[57]	[4]
37	DG0001	348.765	349.135	CONTINUER	네.	[16]	[57]	[17]
38	DG0001	354.454	354.69	CONTINUER	네.	[16]	[58]	[8]
39	DG0001	364.953	365.158	CONTINUER	네.	[16]	[59]	[20]
40	DG0001	370.903	371.148	CONTINUER	예.	[16]	[60]	[14]
41	DG0001	373.285	373.68	CONTINUER	음.	[16]	[61]	[5]
42	DG0001	383.316	383.647	CONTINUER	네.	[16]	[62]	[19]
43	DG0001	385.122	385.462	CONTINUER	네.	[16]	[63]	[5]
44	DG0002	396.394	396.683	CONTINUER	네.	[19]	[67]	[4]
45	DG0001	404.557	404.812	CONTINUER	네.	[20]	[69]	[12]
46	DG0001	408.189	408.619	CONTINUER	네.	[20]	[70]	[8]
47	DG0001	428.868	429.093	CONTINUER	예.	[22]	[73]	[8]
48	DG0001	431.807	432.177	ASSESSMENT	아하.	[22]	[74]	[5]
49	DG0001	433.976	434.343	CONTINUER	예.	[22]	[75]	[4]
50	DG0001	438.855	439.308	CONTINUER	네.	[22]	[76]	[8]
51	DG0001	442.378	442.601	CONTINUER	네.	[22]	[77]	[9]
52	DG0001	449.903	450.143	CONTINUER	네.	[22]	[78]	[17]
53	DG0001	461.689	462.094	CONTINUER	네.	[24]	[82]	[4]
54	DG0002	475.549	475.799	CONTINUER	네.	[25]	[85]	[5]
55	DG0002	480.248	480.579	CONTINUER	네.	[25]	[86]	[9]
56	DG0002	482.384	482.539	CONTINUER	네.	[25]	[87]	[3]
57	DG0001	488.604	489.019	CONTINUER	예예.	[26]	[89]	[5]
58	DG0001	514.565	515.08	UNDERSTANDING	네.	[28]	[95]	[7]
59	DG0001	518.776	519.061	CONTINUER	음.	[28]	[96]	[9]
60	DG0001	527.979	528.439	UNDERSTANDING	네.	[30]	[98]	[7]
61	DG0001	541.499	541.892	CONTINUER	네.	[30]	[99]	[18]
62	DG0001	547.695	547.98	CONTINUER	네.	[30]	[100]	[12]
63	DG0001	555.704	556.029	CONTINUER	네.	[30]	[101]	[15]
64	DG0001	559.541	559.854	CONTINUER	네.	[30]	[101]	[24]
65	DG0001	561.239	561.769	CONTINUER	네.	[30]	[102]	[5]
66	DG0001	564.986	565.361	CONTINUER	네.	[30]	[103]	[8]
67	DG0002	573.653	573.938	CONTINUER	네.	[31]	[105]	[10]
68	DG0002	591.025	591.195	CONTINUER	네.	[31]	[107]	[9]
69	DG0001	597.104	598.334	CONTINUER	네. 네.	[32]	[108]	[9]
70	DG0001	601.71	601.985	CONTINUER	예.	[32]	[109]	[5]
71	DG0001	616.702	616.917	CONTINUER	네.	[32]	[112]	[11]
72	DG0001	619.285	619.66	CONTINUER	예.	[32]	[112]	[20]
73	DG0001	629.226	629.596	CONTINUER	예.	[32]	[113]	[22]
