uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.201	어	[]
1	1	2	AH0001	1.221	1.241	그	[]
1	1	3	AH0001	1.381	1.701	과정을	[]
1	1	4	AH0001	1.841	2.341	통해서	[]
1	1	5	AH0001	2.822	3.062	이전	[]
1	1	6	AH0001	3.182	3.742	시기에	[]
1	1	7	AH0001	3.983	4.623	@정당이	[]
1	1	8	AH0001	4.763	5.164	정말	[]
1	1	9	AH0001	5.284	6.605	대변하려고	[]
1	1	10	AH0001	6.625	6.665	했던	[]
1	1	11	AH0001	6.685	6.745	분들을	[]
1	2	1	AH0001	7.25	7.47	직접	[]
1	2	2	AH0001	7.551	7.851	대변하지	[]
1	2	3	AH0001	8.031	8.452	못했던	[1]
1	2	4	AH0001	8.733	9.053	것을	[]
1	2	5	AH0001	9.093	9.334	이제는	[]
1	2	6	AH0001	9.394	9.434	좀	[]
1	2	7	AH0001	9.514	10.075	극복해나갈	[]
1	2	8	AH0001	10.195	10.255	수	[]
1	2	9	AH0001	10.295	10.456	있는	[]
1	2	10	AH0001	10.576	11.037	과정에	[]
1	2	11	AH0001	11.377	11.538	놓인	[]
1	2	12	AH0001	11.578	11.678	것이	[]
1	2	13	AH0001	11.718	12.079	아닌가	[]
1	2	14	AH0001	12.319	12.56	그렇게	[]
1	2	15	AH0001	12.62	12.7	보고	[]
1	2	16	AH0001	12.72	12.76	있습	[]
2	3	1	AH0002	12.925	13.628	정치는	[]
2	3	2	AH0002	13.828	14.23	국민의	[]
2	3	3	AH0002	14.33	14.711	삶을	[]
2	3	4	AH0002	14.832	15.153	바꾸는	[]
2	3	5	AH0002	15.253	15.675	것이다.	[2]
2	4	1	AH0002	16.145	16.347	내	[]
2	4	2	AH0002	16.508	16.892	삶이	[]
2	4	3	AH0002	17.033	17.114	곧	[]
2	4	4	AH0002	17.255	17.82	정치다.	[3]
2	5	1	AH0002	18.195	18.476	이런	[]
2	5	2	AH0002	18.556	18.896	인식이	[]
2	5	3	AH0002	18.956	19.357	우리나라에	[]
2	5	4	AH0002	19.437	19.698	없는	[]
2	5	5	AH0002	20.039	20.8	건가요?	[]
3	6	1	AH0001	20.988	21.409	그거는	[]
3	6	2	AH0001	21.529	21.95	국민들의	[]
3	6	3	AH0001	22.01	23.193	잘못이라기보다는	[]
3	6	4	AH0001	23.774	24.095	어	[]
3	6	5	AH0001	24.556	25.518	정치인들	[]
3	6	6	AH0001	25.759	25.999	그리고	[]
3	6	7	AH0001	26.059	26.42	정치	[]
3	6	8	AH0001	26.52	26.941	제도가	[4]
3	6	9	AH0001	27.402	27.563	그런	[]
3	6	10	AH0001	27.583	27.843	인식을	[]
3	6	11	AH0001	27.984	28.445	가로막아	[]
3	6	12	AH0001	28.505	28.966	왔다고	[]
3	6	13	AH0001	29.106	29.908	생각을	[]
3	6	14	AH0001	29.928	29.988	합니다.	[]
3	7	1	AH0001	30.173	30.794	그래서	[]
3	7	2	AH0001	31.155	31.356	@정당	[]
3	7	3	AH0001	31.556	32.037	에서	[]
3	7	4	AH0001	32.478	32.699	지금	[]
3	7	5	AH0001	32.899	33.04	계속	[]
3	7	6	AH0001	33.08	33.501	주장하고	[]
3	7	7	AH0001	33.581	33.621	있는	[]
3	7	8	AH0001	33.701	33.781	것은	[]
3	7	9	AH0001	34.102	34.182	이	[]
3	7	10	AH0001	34.262	34.523	계엄	[]
3	7	11	AH0001	34.623	35.385	국면에서	[]
3	7	12	AH0001	35.666	35.926	권력	[]
3	7	13	AH0001	36.087	36.448	구조를	[]
3	7	14	AH0001	36.608	36.909	어떻게	[]
3	7	15	AH0001	36.969	37.209	바꿀	[]
3	7	16	AH0001	37.35	37.791	것인가	[]
3	7	17	AH0001	37.811	37.951	보다	[]
3	7	18	AH0001	38.011	38.071	더	[]
3	7	19	AH0001	38.252	38.552	중요한	[]
3	7	20	AH0001	38.613	38.813	것은	[]
3	8	1	AH0001	39.624	40.305	국민들이	[]
3	8	2	AH0001	40.545	40.785	나를	[]
3	8	3	AH0001	40.885	41.306	대표하는	[]
3	8	4	AH0001	41.366	42.047	대표자를	[]
3	8	5	AH0001	42.567	42.807	어	[]
3	8	6	AH0001	43.268	43.728	대의원으로	[]
3	8	7	AH0001	43.849	44.469	국회에	[]
3	8	8	AH0001	44.589	44.79	보낼	[]
3	8	9	AH0001	44.89	44.93	수	[]
3	8	10	AH0001	44.97	45.21	있도록	[]
3	8	11	AH0001	45.23	45.53	하는	[5]
3	8	12	AH0001	46.031	46.271	그런	[]
3	8	13	AH0001	46.351	46.892	선거제도의	[]
3	8	14	AH0001	46.912	46.932	어	[]
3	8	15	AH0001	47.673	48.574	개혁	[]
3	9	1	AH0001	48.92	49.402	이것이	[]
3	9	2	AH0001	49.462	49.723	굉장히	[]
3	9	3	AH0001	49.903	50.686	중요하다라는	[]
3	9	4	AH0001	50.766	50.827	것을	[]
3	9	5	AH0001	51.007	51.529	강조하고	[]
3	9	6	AH0001	51.549	51.589	있는	[]
3	9	7	AH0001	51.63	51.65	이	[]
4	10	1	AH0002	51.77	52.504	선거제도	[]
4	10	2	AH0002	52.586	52.626	개혁	[6]
4	11	1	AH0002	53.242	54.283	네	[]
4	11	2	AH0002	54.324	54.424	그	[]
4	11	3	AH0002	54.504	54.664	얘기는	[]
4	11	4	AH0002	54.664	54.764	쫌	[]
4	11	5	AH0002	54.764	54.864	이따	[]
4	11	6	AH0002	54.944	55.365	집중적으로	[]
4	11	7	AH0002	55.465	55.545	좀	[]
4	11	8	AH0002	55.565	55.926	여쭤보도록	[]
4	11	9	AH0002	56.066	56.467	하고	[7]
4	12	1	AH0002	57.263	57.403	제가	[]
4	12	2	AH0002	57.443	57.584	오늘	[]
4	12	3	AH0002	57.844	58.606	소개하면서	[]
4	12	4	AH0002	59.288	59.689	다가오는	[]
4	12	5	AH0002	59.789	60.13	총선	[]
4	12	6	AH0002	60.15	60.691	이천이십	[]
4	12	7	AH0002	60.771	60.852	년	[]
4	12	8	AH0002	60.952	61.593	총선에서는	[]
4	12	9	AH0002	61.734	62.475	제일야당이	[]
4	12	10	AH0002	62.596	62.756	되는	[]
4	12	11	AH0002	62.816	63.117	것이	[]
4	12	12	AH0002	63.578	64.42	목표다	[8]
4	12	13	AH0002	64.5	64.58	라고	[]
4	12	14	AH0002	64.661	64.801	포부를	[]
4	12	15	AH0002	64.921	65.302	밝혔는데	[]
