bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	9.735	9.91	CONTINUER	네.	[1]	[1]	[17]
2	AH0002	14.227	14.577	CONTINUER	예.	[1]	[2]	[8]
3	AH0001	21.759	23.019	CONTINUER	음. 네.	[2]	[5]	[1]
4	AH0001	31.322	32.267	UNDERSTANDING	음.	[2]	[5]	[25]
5	AH0001	46.958	47.452	CONTINUER	음.	[2]	[6]	[22]
6	AH0001	50.963	51.408	CONTINUER	네.	[2]	[7]	[9]
7	AH0001	62.381	63.826	UNDERSTANDING	음.	[2]	[9]	[1]
8	AH0001	66.801	67.071	CONTINUER	네.	[2]	[9]	[12]
9	AH0001	67.66	67.94	CONTINUER	네.	[2]	[10]	[1]
10	AH0001	74.117	75.322	UNDERSTANDING	음.	[2]	[11]	[7]
11	AH0001	91.54	91.985	CONTINUER	네.	[2]	[14]	[17]
12	AH0001	93.38	93.965	CONTINUER	아.	[2]	[15]	[1]
