uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.0	0.982	문학박사하시고	[]
1	1	2	AH0001	1.042	1.283	원래	[]
1	1	3	AH0001	1.544	1.624	또	[]
1	1	4	AH0001	1.724	2.406	극작가로도	[]
1	1	5	AH0001	2.446	2.887	유명하셨다고	[]
1	1	6	AH0001	2.927	3.889	들었습니다.	[]
2	2	1	AH0002	3.889	4.13	예	[]
2	2	2	AH0002	4.23	5.092	뭐	[]
2	2	3	AH0002	5.773	5.973	그래도	[]
2	2	4	AH0002	6.034	6.214	저에게	[]
2	2	5	AH0002	6.274	6.515	중요한	[]
2	2	6	AH0002	6.555	6.595	건	[]
2	2	7	AH0002	6.655	6.755	지금	[]
2	2	8	AH0002	6.815	7.016	협동	[]
2	2	9	AH0002	7.096	7.637	조합입니다.	[]
3	3	1	AH0001	7.637	8.04	네	[]
3	3	2	AH0001	8.543	9.127	현대문학을	[]
3	3	3	AH0001	9.248	9.671	공부하셨는데	[]
4	4	1	AH0002	9.671	9.815	예	[]
4	4	2	AH0002	9.897	10.391	맞습니다.	[]
5	5	1	AH0001	10.391	10.573	네	[]
5	5	2	AH0001	10.634	10.674	그	[]
5	5	3	AH0001	10.735	11.039	중에서도	[]
5	5	4	AH0001	11.1	11.261	어느	[]
5	5	5	AH0001	11.363	11.565	분야	[]
5	5	6	AH0001	11.687	11.828	공부?	[]
6	6	1	AH0002	11.97	12.173	미디어	[]
6	6	2	AH0002	12.234	12.64	연구를	[]
6	6	3	AH0002	12.66	13.025	공부하고	[]
6	6	4	AH0002	13.086	13.573	있습니다.	[]
7	7	1	AH0001	13.573	13.754	예	[]
7	7	2	AH0001	13.994	14.456	그러심에도	[]
7	7	3	AH0001	14.516	14.917	대학에서는	[]
7	7	4	AH0001	14.977	15.098	지금	[]
7	7	5	AH0001	15.198	15.699	학생들을	[]
8	8	1	AH0002	15.88	15.901	네.	[]
9	9	1	AH0001	16.229	16.55	소위	[]
9	9	2	AH0001	16.61	16.87	말하는	[]
9	9	3	AH0001	16.991	17.512	외래교수	[]
9	9	4	AH0001	17.552	17.953	자격으로	[]
9	9	5	AH0001	18.053	18.494	가르치고	[]
9	9	6	AH0001	18.514	19.075	계시는군요.	[]
10	10	1	AH0002	19.075	19.315	네	[]
10	10	2	AH0002	19.496	20.097	비정규직이죠.	[]
11	11	1	AH0001	21.673	21.753	그런	[]
11	11	2	AH0001	21.853	22.254	문제가	[]
11	11	3	AH0001	22.394	22.654	지금	[]
11	11	4	AH0001	22.874	23.395	현실적으로	[]
11	11	5	AH0001	23.435	23.875	어떻게	[]
11	11	6	AH0001	24.015	24.616	본인에게	[]
11	11	7	AH0001	24.936	25.357	직업적	[]
11	11	8	AH0001	25.537	25.637	그	[]
11	11	9	AH0001	25.737	26.538	자존감이나	[]
11	11	10	AH0001	26.798	27.079	미래는	[1]
11	11	11	AH0001	27.119	27.419	어떻게	[]
11	11	12	AH0001	27.499	27.819	스스로	[]
11	11	13	AH0001	27.919	28.44	받아들이세요?	[]
12	12	1	AH0002	29.001	29.502	어	[]
12	12	2	AH0002	29.802	30.062	이제	[]
12	12	3	AH0002	30.223	30.603	그런	[]
12	12	4	AH0002	30.763	31.204	문제들에	[]
12	12	5	AH0002	31.264	31.504	있어서	[]
12	12	6	AH0002	31.524	31.664	이제	[]
12	12	7	AH0002	31.724	32.345	주체적으로	[]
12	12	8	AH0002	32.365	32.726	인제	[]
12	12	9	AH0002	32.826	33.387	대응하고	[]
12	12	10	AH0002	33.887	34.388	그리고	[]
12	12	11	AH0002	34.568	34.668	저	[]
12	12	12	AH0002	34.688	34.868	뿐만	[]
12	12	13	AH0002	34.929	35.229	아니라	[]
12	12	14	AH0002	35.87	36.13	저와	[]
12	12	15	AH0002	36.27	36.891	비슷한	[]
12	12	16	AH0002	37.071	37.292	처지에	[]
12	12	17	AH0002	37.312	37.472	있는	[]
12	13	1	AH0002	37.652	37.933	수많은	[]
12	13	2	AH0002	37.993	38.033	그	[]
12	13	3	AH0002	38.113	38.414	불완전	[]
12	13	4	AH0002	38.474	38.674	연구	[]
12	13	5	AH0002	38.735	39.336	노동자들과	[]
12	13	6	AH0002	39.416	39.677	함께	[]
12	13	7	AH0002	39.737	39.797	갈	[]
12	13	8	AH0002	39.897	39.937	수	[]
12	13	9	AH0002	39.978	40.278	있게	[]
12	13	10	AH0002	40.82	41.782	협동조합의	[]
12	13	11	AH0002	41.802	41.942	이제	[]
12	13	12	AH0002	42.043	42.403	결의와	[]
12	13	13	AH0002	42.544	42.844	각성을	[]
12	13	14	AH0002	42.905	43.306	다지고	[]
12	13	15	AH0002	43.907	44.128	준비를	[]
12	13	16	AH0002	44.188	44.609	해왔습니다	[]
12	13	17	AH0002	44.829	45.07	그리고	[]
12	13	18	AH0002	45.09	45.852	앞으로	[]
12	13	19	AH0002	45.892	45.972	더	[]
12	13	20	AH0002	46.012	46.132	잘	[]
12	13	21	AH0002	46.152	46.213	해야	[]
12	13	22	AH0002	46.273	46.353	될	[]
12	13	23	AH0002	46.393	46.453	것	[]
12	13	24	AH0002	46.473	47.215	같애요.	[]
13	14	1	AH0001	47.38	48.604	사회적으로	[]
13	14	2	AH0001	48.665	49.046	이슈가	[]
13	14	3	AH0001	49.066	49.106	되고	[]
13	14	4	AH0001	49.207	49.568	국가도	[]
13	14	5	AH0001	49.588	49.929	어느정도	[]
13	14	6	AH0001	49.989	50.05	좀	[]
