bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	38.08	38.45	CONTINUER	네.	[3]	[9]	[9]
2	AH0002	40.37	40.73	CONTINUER	네.	[3]	[10]	[4]
3	AH0001	47.573	47.958	CONTINUER	네.	[4]	[13]	[8]
4	AH0001	58.504	58.814	CONTINUER	음.	[6]	[15]	[10]
5	AH0001	62.106	63.851	UNDERSTANDING	아.	[6]	[16]	[2]
6	AH0001	67.036	68.601	UNDERSTANDING	아.	[6]	[16]	[13]
7	AH0001	75.023	75.333	CONTINUER	예.	[6]	[17]	[10]
8	AH0001	78.398	78.688	CONTINUER	네.	[6]	[17]	[17]
9	AH0001	87.643	87.963	CONTINUER	네.	[6]	[18]	[19]
10	AH0001	95.737	96.642	UNDERSTANDING	아.	[6]	[19]	[10]
11	AH0001	101.179	101.924	UNDERSTANDING	아.	[6]	[20]	[9]
12	AH0001	103.964	104.284	CONTINUER	네.	[6]	[20]	[14]
13	AH0001	130.56	130.925	UNDERSTANDING	아.	[8]	[26]	[16]
14	AH0001	144.321	144.696	CONTINUER	네.	[10]	[29]	[12]
15	AH0001	155.393	155.763	CONTINUER	음.	[10]	[31]	[11]
16	AH0001	160.343	160.658	CONTINUER	음.	[10]	[31]	[20]
17	AH0001	165.317	165.907	UNDERSTANDING	음.	[10]	[32]	[10]
18	AH0001	173.78	174.205	CONTINUER	네.	[10]	[33]	[18]
19	AH0001	177.342	178.162	UNDERSTANDING	아.	[10]	[34]	[4]
20	AH0001	182.972	183.312	CONTINUER	네.	[]	[]	[]
21	AH0001	188.795	189.155	CONTINUER	네.	[12]	[36]	[9]
22	AH0002	195.445	195.87	CONTINUER	네.	[13]	[37]	[8]
23	AH0002	197.255	197.665	CONTINUER	네.	[13]	[37]	[11]
24	AH0001	201.034	201.374	CONTINUER	예.	[14]	[39]	[5]
25	AH0001	209.674	210.099	CONTINUER	네.	[16]	[42]	[10]
26	AH0001	219.419	220.459	UNDERSTANDING	아.	[16]	[43]	[6]
27	AH0001	228.757	229.197	CONTINUER	네.	[18]	[45]	[4]
28	AH0001	232.187	232.857	CONTINUER	네.	[18]	[45]	[10]
29	AH0001	247.946	248.346	UNDERSTANDING	아.	[20]	[47]	[17]
30	AH0001	250.668	251.073	CONTINUER	예.	[20]	[48]	[4]
31	AH0001	255.123	255.678	CONTINUER	예.	[20]	[48]	[13]
32	AH0001	263.532	263.957	CONTINUER	음.	[20]	[50]	[1]
33	AH0001	266.295	266.947	CONTINUER	네 네 네	[20]	[50]	[3]
34	AH0001	270.477	271.177	UNDERSTANDING	네.	[20]	[51]	[6]
35	AH0001	282.084	283.604	UNDERSTANDING	아.	[20]	[52]	[15]
36	AH0001	285.91	286.685	UNDERSTANDING	네.	[20]	[53]	[7]
37	AH0001	294.51	295.725	UNDERSTANDING	음.	[20]	[53]	[25]
38	AH0001	302.195	303.03	ASSESSMENT	와.	[20]	[54]	[10]
39	AH0001	307.91	309.14	UNDERSTANDING	아.	[20]	[55]	[8]
40	AH0001	317.898	319.828	UNDERSTANDING	네. 음.	[22]	[60]	[1]
41	AH0001	321.548	322.153	UNDERSTANDING	네.	[22]	[61]	[2]
42	AH0001	323.568	324.123	CONTINUER	예.	[22]	[61]	[9]
43	AH0001	340.238	341.373	UNDERSTANDING	음.	[22]	[62]	[11]
44	AH0002	356.088	356.473	CONTINUER	네.	[23]	[64]	[15]
45	AH0002	358.56	360.03	CONTINUER	네. 네.	[23]	[65]	[3]
46	AH0001	366.254	366.634	CONTINUER	네.	[24]	[67]	[1]
47	AH0001	370.009	371.079	UNDERSTANDING	아.	[24]	[67]	[10]
48	AH0001	380.913	381.413	CONTINUER	예.	[24]	[68]	[11]
49	AH0001	386.733	387.208	CONTINUER	예.	[24]	[70]	[1]
50	AH0001	398.156	398.736	CONTINUER	음. 음.	[26]	[72]	[9]
51	AH0001	403.656	404.131	CONTINUER	음.	[26]	[72]	[20]
52	AH0001	407.097	407.952	UNDERSTANDING	음.	[26]	[73]	[6]
53	AH0001	411.757	412.172	CONTINUER	네.	[26]	[74]	[6]
54	AH0001	414.467	414.877	CONTINUER	네.	[26]	[74]	[12]
55	AH0001	417.439	417.874	CONTINUER	네.	[26]	[75]	[5]
56	AH0001	442.367	443.232	UNDERSTANDING	음.	[26]	[80]	[26]
57	AH0001	446.305	446.88	CONTINUER	네.	[26]	[81]	[6]
58	AH0001	455.511	457.646	CONTINUER	예. 음음.	[26]	[82]	[17]
59	AH0001	468.105	468.8	UNDERSTANDING	음.	[26]	[83]	[19]
60	AH0001	479.656	480.046	CONTINUER	네.	[26]	[84]	[22]
61	AH0001	483.359	484.029	CONTINUER	음.	[26]	[85]	[6]
62	AH0001	490.074	490.469	CONTINUER	음.	[26]	[85]	[19]
63	AH0001	496.047	496.292	CONTINUER	네.	[26]	[86]	[10]
64	AH0001	506.478	507.588	UNDERSTANDING	음.	[26]	[87]	[19]
65	AH0001	515.485	515.91	CONTINUER	음.	[28]	[89]	[13]
66	AH0001	523.268	524.253	UNDERSTANDING	음.	[28]	[90]	[7]
67	AH0001	576.903	577.163	CONTINUER	네.	[32]	[101]	[6]
68	AH0001	582.111	582.551	CONTINUER	네.	[32]	[102]	[6]
69	AH0001	584.561	584.856	CONTINUER	네.	[32]	[102]	[9]
70	AH0001	589.256	589.576	CONTINUER	예.	[32]	[102]	[18]
71	AH0001	594.886	595.361	CONTINUER	네.	[32]	[103]	[11]
72	AH0001	599.135	599.35	CONTINUER	음.	[32]	[105]	[1]
73	AH0001	606.265	606.6	CONTINUER	음.	[32]	[105]	[13]
74	AH0001	608.517	608.712	CONTINUER	음.	[32]	[106]	[5]
75	AH0001	610.492	610.737	UNDERSTANDING	아.	[32]	[106]	[10]
76	AH0001	611.8	612.465	UNDERSTANDING	아.	[32]	[107]	[4]
77	AH0001	621.021	621.996	UNDERSTANDING	아.	[32]	[108]	[18]
78	AH0001	632.048	632.568	CONTINUER	예.	[32]	[111]	[3]
79	AH0001	633.833	634.173	CONTINUER	네.	[32]	[112]	[2]
80	AH0001	645.079	645.389	CONTINUER	네.	[32]	[113]	[5]
81	AH0001	651.413	651.678	CONTINUER	네.	[32]	[114]	[5]
