uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.504	0.884	약은	[]
1	1	2	SL0001	0.944	1.545	약사에게	[]
1	1	3	SL0001	1.705	1.885	병은	[]
1	1	4	SL0001	1.925	2.406	의사에게	[]
1	1	5	SL0001	2.646	2.966	그리고	[]
1	1	6	SL0001	3.087	3.307	마음이	[]
1	1	7	SL0001	3.327	3.487	아플	[]
1	1	8	SL0001	3.587	3.667	땐	[]
1	1	9	SL0001	3.727	4.248	이분에게	[]
1	1	10	SL0001	4.908	5.209	그리고	[]
1	1	11	SL0001	5.369	5.569	지금	[]
1	1	12	SL0001	5.649	5.909	나가는	[]
1	1	13	SL0001	6.009	6.43	시그널은	[]
1	1	14	SL0001	6.53	7.03	@이름1에게.	[]
1	2	1	SL0001	7.653	8.015	아픈	[]
1	2	2	SL0001	8.095	8.416	마음에	[]
1	2	3	SL0001	8.537	8.919	음악이란	[]
1	2	4	SL0001	8.999	9.401	처방전을	[]
1	2	5	SL0001	9.461	10.787	내려드립니다.	[]
1	3	1	SL0001	10.855	11.276	노래하는	[]
1	3	2	SL0001	11.316	11.537	의사	[]
1	3	3	SL0001	11.757	12.058	@이름2	[]
1	3	4	SL0001	12.158	12.56	@이름1	[]
1	3	5	SL0001	12.72	12.86	씨와	[]
1	3	6	SL0001	12.9	14.404	함께하는	[]
1	3	7	SL0001	14.424	15.006	음악처방전.	[]
1	4	1	SL0001	15.517	15.618	어	[]
1	4	2	SL0001	15.861	16.184	괜찮았어요	[]
1	4	3	SL0001	16.286	16.427	소개?	[]
2	5	1	SL0002	16.69	17.355	안녕하세요	[]
2	5	2	SL0002	17.375	17.979	반갑습니다	[]
2	5	3	SL0002	18.08	18.301	어우	[]
2	5	4	SL0002	18.402	18.563	너무	[]
2	5	5	SL0002	18.604	19.228	멋있는데요.	[]
3	6	1	SL0001	19.228	19.39	앞에	[]
3	6	2	SL0001	19.492	19.735	시그널	[]
3	6	3	SL0001	19.979	20.506	괜찮아요?	[]
4	7	1	SL0002	20.506	20.526	예	[]
4	7	2	SL0002	20.547	20.771	형이	[]
4	7	3	SL0002	20.955	21.158	치신	[]
4	7	4	SL0002	21.301	21.505	거잖아요.	[]
5	8	1	SL0001	21.503	21.543	이게	[]
5	8	2	SL0001	21.624	21.704	이	[]
5	8	3	SL0001	21.764	22.045	@이름1	[]
5	8	4	SL0001	22.146	22.226	씨	[]
5	8	5	SL0001	22.306	22.869	생각하면서	[]
5	8	6	SL0001	22.949	23.13	곡을	[]
5	8	7	SL0001	23.19	23.391	만든	[]
5	8	8	SL0001	23.451	24.114	거거든요.	[1]
5	9	1	SL0001	24.687	24.808	어이	[]
5	9	2	SL0001	25.191	25.392	듣는	[]
5	9	3	SL0001	25.473	25.513	데	[]
5	9	4	SL0001	25.574	25.796	좋네.	[2]
5	10	1	SL0001	26.642	27.147	살아있네.	[]
6	11	1	SL0002	28.138	28.198	한번	[]
6	11	2	SL0002	28.399	28.76	팔아보죠.	[]
7	12	1	SL0001	30.604	30.704	아	[]
7	12	2	SL0001	31.025	31.165	우리	[]
7	12	3	SL0001	31.265	31.746	피디가	[3]
7	12	4	SL0001	32.407	32.688	고향이	[]
7	12	5	SL0001	33.048	33.168	제가	[]
7	12	6	SL0001	33.269	34.13	부산이에요	[4]
7	12	7	SL0001	34.31	34.531	우리가	[]
7	12	8	SL0001	34.611	34.691	밥	[]
7	12	9	SL0001	34.771	35.272	먹다가	[]
7	12	10	SL0001	35.412	35.813	가끔	[]
7	12	11	SL0001	35.933	36.474	경상도	[]
7	12	12	SL0001	36.494	36.634	특유의	[]
7	12	13	SL0001	36.775	36.935	부산	[]
7	12	14	SL0001	36.995	37.235	사투리	[]
7	12	15	SL0001	37.336	37.716	쓰는데	[]
7	12	16	SL0001	37.736	38.337	그게	[]
7	12	17	SL0001	38.417	38.818	재밌는	[]
7	12	18	SL0001	38.898	39.379	거예요.	[]
7	13	1	SL0001	39.833	40.677	중독돼가지고	[]
7	13	2	SL0001	41.119	41.279	지금	[]
7	13	3	SL0001	41.36	41.52	막	[]
7	13	4	SL0001	41.581	42.545	얘기해요.	[]
8	14	1	SL0002	42.545	42.727	저는	[]
8	14	2	SL0002	42.787	43.01	방금	[]
8	14	3	SL0002	43.312	43.555	멜로디	[]
8	14	4	SL0002	43.656	43.979	들으면서	[]
8	14	5	SL0002	44.04	44.242	가사가	[]
8	14	6	SL0002	44.363	44.908	떠올랐어요.	[5]
9	15	1	SL0001	46.069	46.49	아무것도	[]
9	15	2	SL0001	46.55	46.891	없는데	[]
9	15	3	SL0001	46.911	47.212	진짜	[]
9	15	4	SL0001	47.353	48.155	멜로디만으로도	[]
9	15	5	SL0001	48.195	48.416	이렇게	[]
9	15	6	SL0001	48.456	48.777	연상	[]
9	15	7	SL0001	48.797	48.958	되는	[]
9	15	8	SL0001	49.018	49.098	거	[]
9	15	9	SL0001	49.118	49.258	보면	[]
9	15	10	SL0001	49.459	49.82	사람이	[]
9	15	11	SL0001	49.9	50.121	갖고	[]
9	15	12	SL0001	50.141	50.261	있는	[]
9	15	13	SL0001	50.342	50.783	감성이란	[]
9	15	14	SL0001	50.803	50.823	건	[]
9	15	15	SL0001	50.903	51.164	대단한가	[]
9	15	16	SL0001	51.184	51.224	봐요	[]
9	15	17	SL0001	51.264	51.284	그쵸?	[6]
9	16	1	SL0001	52.765	53.126	아	[]
9	16	2	SL0001	53.246	53.306	이	[]
9	16	3	SL0001	53.386	54.027	음악처방전	[]
9	16	4	SL0001	54.107	54.468	진짜	[]
9	16	5	SL0001	54.869	55.109	힐링	[]
9	16	6	SL0001	55.169	55.55	받았다는	[]
9	16	7	SL0001	55.61	55.81	분들	[]
9	16	8	SL0001	55.871	56.291	많은데	[]
9	16	9	SL0001	56.311	56.692	아	[]
9	16	10	SL0001	56.832	57.013	저는	[]
9	16	11	SL0001	57.594	57.694	뭐	[]
9	16	12	SL0001	57.814	58.074	물론	[]
9	16	13	SL0001	58.315	58.575	우리가	[]
9	16	14	SL0001	58.675	59.116	전문적인	[]
9	16	15	SL0001	59.196	59.457	지식을	[]
9	16	16	SL0001	59.577	59.757	취하는	[]
9	16	17	SL0001	59.777	59.878	것도	[]
9	16	18	SL0001	59.938	60.358	좋지만	[]
9	16	19	SL0001	60.599	61.32	개인적으로는	[]
9	16	20	SL0001	62.021	62.202	@이름1	[]
9	16	21	SL0001	62.262	62.522	씨하고	[7]
9	17	1	SL0001	63.402	63.823	핑계	[]
9	17	2	SL0001	63.883	64.204	대고	[]
9	17	3	SL0001	64.364	64.564	좋은	[]
9	17	4	SL0001	64.584	64.825	음악	[]
9	17	5	SL0001	64.845	65.186	틀고	[]
9	17	6	SL0001	65.206	65.546	막	[8]
9	17	7	SL0001	65.767	66.108	우리가	[]
9	17	8	SL0001	66.188	66.388	수다	[]
9	17	9	SL0001	66.689	67.21	떠는	[]
9	17	10	SL0001	67.751	67.771	게	[]
9	17	11	SL0001	68.312	68.753	좋더라고요.	[]
9	18	1	SL0001	68.778	69.398	@전화번호1	[]
9	18	2	SL0001	69.438	69.859	님께서	[]
9	18	3	SL0001	70.619	70.799	봄이	[]
9	18	4	SL0001	70.839	71.019	돼서	[]
9	18	5	SL0001	71.039	71.4	그런	[]
9	18	6	SL0001	71.42	71.44	가	[]
9	18	7	SL0001	71.98	72.24	바람만	[]
