uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.96	저희	[]
1	1	2	AH0001	1.04	1.561	친정은	[]
1	1	3	AH0001	1.701	1.981	아버지	[]
1	1	4	AH0001	2.021	2.362	아프신	[]
1	1	5	AH0001	2.442	2.682	후로	[]
1	1	6	AH0001	2.802	3.182	병원비	[]
1	1	7	AH0001	3.242	3.442	들어갈	[]
1	1	8	AH0001	3.522	3.723	일도	[]
1	1	9	AH0001	3.783	4.243	많았고	[]
1	1	10	AH0001	4.263	4.283	또	[]
1	1	11	AH0001	4.864	5.304	친정에서	[]
1	1	12	AH0001	5.364	5.444	우리	[]
1	1	13	AH0001	5.524	5.784	아이를	[]
1	1	14	AH0001	5.864	6.285	봐주시다	[]
1	1	15	AH0001	6.365	6.965	보니까	[]
1	1	16	AH0001	7.185	7.546	남편과	[]
1	1	17	AH0001	7.606	7.786	상의	[]
1	1	18	AH0001	7.866	8.226	끝에	[]
1	1	19	AH0001	8.346	8.867	시댁보단	[]
1	1	20	AH0001	8.987	9.367	친정에	[]
1	1	21	AH0001	9.427	9.788	용돈을	[]
1	1	22	AH0001	9.868	10.028	조금	[]
1	1	23	AH0001	10.088	10.148	더	[]
1	1	24	AH0001	10.208	10.928	드렸거든요	[]
1	1	25	AH0001	11.829	12.089	저는	[]
1	1	26	AH0001	12.23	12.43	저희	[]
1	1	27	AH0001	12.49	12.93	생활비를	[]
1	1	28	AH0001	13.01	13.19	조금	[]
1	1	29	AH0001	13.31	13.911	줄여서라도	[]
1	1	30	AH0001	13.991	14.251	그대로	[]
1	1	31	AH0001	14.331	14.531	드리고	[]
1	1	32	AH0001	14.591	14.932	싶은데	[]
1	2	1	AH0001	15.272	15.632	남편은	[]
1	2	2	AH0001	15.692	15.852	자꾸	[]
1	2	3	AH0001	15.932	16.252	반대를	[]
1	2	4	AH0001	16.272	16.753	하니까	[]
1	2	5	AH0001	16.773	17.253	너무	[]
1	2	6	AH0001	17.453	18.233	속상합니다	[]
1	2	7	AH0001	18.593	18.974	라고	[]
1	2	8	AH0001	19.474	19.534	좀	[]
1	2	9	AH0001	19.574	19.854	어떻게	[]
1	2	10	AH0001	19.914	19.974	해야	[]
1	2	11	AH0001	20.074	20.774	될지	[]
1	2	12	AH0001	21.315	21.755	친정에	[]
1	2	13	AH0001	21.835	22.115	드리는	[]
1	2	14	AH0001	22.195	22.615	용돈을	[]
1	2	15	AH0001	22.715	23.115	줄이자고	[]
1	2	16	AH0001	23.135	23.255	하는	[]
1	2	17	AH0001	23.295	23.756	남편에게	[]
1	2	18	AH0001	23.836	24.796	서운하다시는	[]
1	2	19	AH0001	24.976	25.756	@전화번호3번님	[]
1	2	20	AH0001	25.836	27.017	사연이었습니다.	[]
2	3	1	AH0002	27.976	28.016	아	[]
2	3	2	AH0002	28.056	28.518	이게	[]
2	3	3	AH0002	28.738	29.881	참	[]
2	3	4	AH0002	29.901	29.922	어	[]
2	3	5	AH0002	30.343	30.744	어려운	[]
2	3	6	AH0002	30.864	31.847	문제예요.	[1]
2	4	1	AH0002	31.881	32.081	근데	[]
2	4	2	AH0002	32.401	32.621	우리가	[]
2	4	3	AH0002	32.641	33.022	아까	[]
2	4	4	AH0002	33.162	33.662	앞에서	[]
2	4	5	AH0002	33.682	34.042	했던	[]
2	4	6	AH0002	34.202	34.362	그	[]
2	4	7	AH0002	34.462	34.822	아이가	[]
2	4	8	AH0002	34.902	35.022	참	[]
2	4	9	AH0002	35.182	35.543	국보급	[]
2	4	10	AH0002	35.603	35.823	아이인	[]
2	4	11	AH0002	35.883	36.303	것처럼	[]
2	4	12	AH0002	36.443	36.523	이	[]
2	4	13	AH0002	36.623	36.983	부부도	[]
2	4	14	AH0002	37.143	37.243	참	[]
2	4	15	AH0002	37.403	37.924	국보급	[]
2	4	16	AH0002	38.164	38.864	자녀	[]
2	4	17	AH0002	38.884	38.904	어	[]
2	4	18	AH0002	39.184	40.005	성인자	[2]
2	4	19	AH0002	40.025	40.085	부부가	[]
2	4	20	AH0002	40.145	40.405	아닌가	[]
2	4	21	AH0002	40.425	40.465	이런	[]
2	4	22	AH0002	40.545	40.705	생각이	[]
2	4	23	AH0002	40.805	41.285	들었는데	[]
2	4	24	AH0002	41.825	42.086	요새	[]
2	4	25	AH0002	42.186	42.486	양가	[]
2	4	26	AH0002	42.566	42.846	부모님	[]
2	4	27	AH0002	42.926	43.106	도움	[]
2	4	28	AH0002	43.166	43.406	없이	[]
2	4	29	AH0002	43.466	43.946	결혼준비	[]
2	4	30	AH0002	43.966	44.106	하기가	[]
2	4	31	AH0002	44.226	44.447	참	[]
2	4	32	AH0002	44.487	45.387	어렵습니다.	[3]
2	5	1	AH0002	45.522	45.822	그런데도	[]
2	5	2	AH0002	45.903	46.463	불구하고	[]
2	5	3	AH0002	46.964	47.044	두	[]
2	5	4	AH0002	47.165	47.445	분이	[]
2	5	5	AH0002	47.525	47.886	함께	[]
2	5	6	AH0002	47.966	48.146	힘을	[]
