uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	0.642	사랑과	[]
1	1	2	SL0001	0.722	1.183	봉사	[]
1	1	3	SL0001	1.705	2.006	나눔의	[]
1	1	4	SL0001	2.126	2.427	삶을	[]
1	1	5	SL0001	2.507	3.109	실천하면서	[]
1	1	6	SL0001	3.67	4.071	한국에서	[]
1	1	7	SL0001	4.091	4.111	오	[]
1	1	8	SL0001	4.312	4.593	대째	[]
1	1	9	SL0001	4.713	4.954	뿌리를	[]
1	1	10	SL0001	5.034	5.315	내리고	[]
1	1	11	SL0001	5.335	5.535	있는	[]
1	1	12	SL0001	5.616	5.756	한	[]
1	1	13	SL0001	5.856	6.237	일가가	[]
1	1	14	SL0001	6.257	6.879	있습니다.	[]
1	2	1	SL0001	6.879	7.961	파란	[]
1	2	2	SL0001	8.001	8.161	눈을	[]
1	2	3	SL0001	8.221	8.422	가진	[]
1	2	4	SL0001	8.482	9.163	외국인이지만	[]
1	2	5	SL0001	9.544	10.405	한국인보다	[]
1	2	6	SL0001	10.426	10.446	더	[]
1	2	7	SL0001	10.566	11.427	한국인스럽고	[]
1	2	8	SL0001	11.888	12.429	한국인보다	[]
1	2	9	SL0001	12.509	13.13	한국을	[]
1	2	10	SL0001	13.151	13.171	더	[]
1	2	11	SL0001	13.311	13.671	사랑하는	[]
1	2	12	SL0001	13.752	13.972	그런	[]
1	2	13	SL0001	13.992	14.513	분입니다.	[]
1	3	1	SL0001	14.513	15.254	이비에스	[]
1	3	2	SL0001	15.314	15.435	교육	[]
1	3	3	SL0001	15.535	15.755	초대석	[]
1	3	4	SL0001	16.236	16.496	오늘은	[]
1	3	5	SL0001	16.536	17.157	연세대학교	[]
1	3	6	SL0001	17.238	17.839	가정의학과	[]
1	3	7	SL0001	18.099	18.54	과장이자	[]
1	3	8	SL0001	18.56	19.161	교수님	[]
1	3	9	SL0001	19.181	19.862	안녕하십니까?	[]
1	4	1	SL0001	19.862	20.285	교수님	[]
1	4	2	SL0001	20.729	21.031	한국말	[]
1	4	3	SL0001	21.112	22.18	잘하시죠?	[]
2	5	1	SL0002	22.18	22.587	예	[]
2	5	2	SL0002	22.709	22.791	조금	[]
2	5	3	SL0002	22.872	23.544	합니다.	[]
3	6	1	SL0001	23.544	25.671	영어도	[]
3	6	2	SL0001	25.731	25.791	잘	[]
3	6	3	SL0001	25.831	26.313	하시겠고요.	[]
4	7	1	SL0002	26.313	27.641	영어는	[]
4	7	2	SL0002	28.063	28.365	영어도	[]
4	7	3	SL0002	28.425	28.908	조금	[]
4	7	4	SL0002	29.049	29.974	합니다.	[]
5	8	1	SL0001	29.974	31.719	한국에는	[]
5	8	2	SL0001	32.321	32.562	사신	[]
5	8	3	SL0001	32.622	32.782	지가	[]
5	8	4	SL0001	32.843	33.143	얼마나	[]
5	8	5	SL0001	33.184	34.648	되셨죠?	[]
