uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.588	0.729	이런	[]
1	1	2	AH0001	0.789	1.031	경우도	[]
1	1	3	AH0001	1.091	1.554	나옵니다	[]
1	1	4	AH0001	1.615	2.319	요즘.	[1]
1	2	1	AH0001	2.86	3.066	어띃게	[]
1	2	2	AH0001	3.128	3.664	보시나요?	[]
2	3	1	AH0002	4.63	4.65	어	[]
2	3	2	AH0002	5.071	5.392	물론	[]
2	3	3	AH0002	6.194	6.355	시를	[]
2	3	4	AH0002	6.415	6.776	사랑하는	[]
2	3	5	AH0002	6.876	7.157	최고의	[]
2	3	6	AH0002	7.217	7.638	경지는	[]
2	3	7	AH0002	7.658	7.818	이제	[]
2	3	8	AH0002	7.899	8.039	시를	[]
2	3	9	AH0002	8.099	8.54	암송하는	[]
2	3	10	AH0002	8.6	9.082	거라고	[2]
2	3	11	AH0002	9.102	9.443	말들을	[]
2	3	12	AH0002	9.523	9.944	합니다.	[]
2	4	1	AH0002	10.303	10.566	저도	[]
2	4	2	AH0002	10.667	10.809	어느	[]
2	4	3	AH0002	10.829	11.112	정도	[]
2	4	4	AH0002	11.132	11.294	동의를	[]
2	4	5	AH0002	11.354	11.678	하구요.	[]
2	5	1	AH0002	12.102	12.262	저도	[]
2	5	2	AH0002	12.403	12.703	기억력이	[]
2	5	3	AH0002	12.743	13.024	나빠서	[]
2	5	4	AH0002	13.044	13.124	그렇게	[]
2	5	5	AH0002	13.204	13.525	많지	[]
2	5	6	AH0002	13.725	13.925	외우고	[]
2	5	7	AH0002	14.005	14.246	다니지	[]
2	5	8	AH0002	14.266	14.707	않습니다.	[3]
2	6	1	AH0002	15.655	15.815	어	[]
2	6	2	AH0002	15.915	16.236	우리가	[]
2	6	3	AH0002	16.256	16.276	꼭	[]
2	6	4	AH0002	16.356	16.636	노래	[]
2	6	5	AH0002	16.696	17.036	가사를	[]
2	6	6	AH0002	17.357	17.537	많이	[]
2	6	7	AH0002	17.617	17.957	알아야	[]
2	6	8	AH0002	18.017	18.217	노래를	[]
2	6	9	AH0002	18.297	18.498	좋아하는	[]
2	6	10	AH0002	18.558	18.738	사람이	[]
2	6	11	AH0002	18.758	18.978	아니라	[]
2	6	12	AH0002	19.078	19.378	노래방	[]
2	6	13	AH0002	19.438	19.659	가서	[]
2	6	14	AH0002	19.839	20.019	가사	[]
2	6	15	AH0002	20.099	20.239	보고	[]
2	6	16	AH0002	20.319	20.539	부르면	[]
2	6	17	AH0002	20.68	21.1	됩니다.	[4]
2	7	1	AH0002	22.236	22.882	음치들이	[]
2	7	2	AH0002	23.003	23.305	가사를	[]
2	7	3	AH0002	23.406	23.789	많이	[]
2	7	4	AH0002	23.809	23.87	압니다.	[]
3	8	1	AH0001	23.87	24.251	요즘	[]
3	8	2	AH0001	24.512	24.712	시	[]
3	8	3	AH0001	24.793	24.933	뭐	[]
3	8	4	AH0001	25.013	25.214	얘기	[]
3	8	5	AH0001	25.274	25.615	나오면	[]
3	8	6	AH0001	25.735	26.156	이거보고	[]
3	8	7	AH0001	26.257	26.477	그냥	[]
3	8	8	AH0001	26.578	27.059	읽어요.	[5]
4	9	1	AH0002	27.163	27.449	그러시면	[]
4	9	2	AH0002	27.531	27.694	되는	[]
5	10	1	AH0001	27.694	27.755	다	[]
5	10	2	AH0001	27.896	28.362	나오니까.	[]
6	11	1	AH0002	28.67	28.73	또	[]
6	11	2	AH0002	28.81	28.951	너무	[]
6	11	3	AH0002	29.031	29.172	그런	[]
6	11	4	AH0002	29.232	30.275	강박보다는	[6]
6	11	5	AH0002	30.577	30.817	우리도	[]
6	11	6	AH0002	31.138	31.299	노래	[]
6	11	7	AH0002	31.339	31.48	가사	[]
6	11	8	AH0002	31.56	31.66	다	[]
6	11	9	AH0002	31.74	32.021	몰라도	[]
6	11	10	AH0002	32.062	32.222	어느	[]
6	11	11	AH0002	32.242	32.443	하나에	[]
6	11	12	AH0002	32.945	32.985	왜	[]
6	11	13	AH0002	33.105	33.346	후크	[]
6	11	14	AH0002	33.406	33.747	걸린다	[]
6	11	15	AH0002	33.767	34.229	그러잖아요?	[7]
6	12	1	AH0002	34.48	34.802	그러면	[]
6	12	2	AH0002	34.964	35.487	그거로부터	[]
6	12	3	AH0002	35.528	36.192	사랑해서	[]
6	12	4	AH0002	36.535	36.716	즐기면	[]
6	12	5	AH0002	36.857	37.361	돼요.	[]
7	13	1	AH0001	37.536	37.637	근데	[]
7	13	2	AH0001	37.658	38.063	이거를요	[]
7	13	3	AH0001	38.185	38.407	교수님.	[]
7	14	1	AH0001	38.518	38.858	자꾸	[]
7	14	2	AH0001	38.898	39.079	일케	[]
7	14	3	AH0001	39.219	39.759	읽고	[]
7	14	4	AH0001	40.18	40.34	자꾸	[]
7	14	5	AH0001	40.42	40.921	사람들하고	[]
7	14	6	AH0001	41.041	41.181	그	[]
7	14	7	AH0001	41.301	41.421	시에	[]
7	14	8	AH0001	41.482	41.662	대해서	[]
7	14	9	AH0001	41.702	41.842	얘기를	[]
7	14	10	AH0001	41.862	42.042	하다	[8]
7	14	11	AH0001	42.102	42.443	보면	[]
7	14	12	AH0001	43.023	43.184	예를	[]
7	14	13	AH0001	43.264	43.504	들어서	[]
7	14	14	AH0001	43.644	43.924	처음부터	[]
7	14	15	AH0001	43.984	44.165	끝까지	[]
7	14	16	AH0001	44.265	44.485	다	[]
7	14	17	AH0001	44.665	44.966	눈으로	[]
7	14	18	AH0001	45.146	45.666	보면서	[]
7	14	19	AH0001	45.787	46.027	읽어	[]
7	14	20	AH0001	46.107	46.668	내렸다면.	[]
7	15	1	AH0001	47.859	48.039	어느	[]
7	15	2	AH0001	48.079	48.24	정도	[]
7	15	3	AH0001	48.3	48.821	익숙해지면	[]
7	15	4	AH0001	49.161	49.382	반은	[]
7	15	5	AH0001	49.502	49.743	보고	[]
7	15	6	AH0001	49.883	50.103	반은	[]
7	15	7	AH0001	50.143	50.324	그냥	[]
7	15	8	AH0001	50.464	50.684	옆에	[]
7	15	9	AH0001	50.744	50.905	사람	[]
7	15	10	AH0001	50.985	51.245	보면서	[]
7	15	11	AH0001	51.325	51.867	얘기하면서도	[9]
7	15	12	AH0001	52.327	52.888	이게	[]
7	15	13	AH0001	53.029	53.429	읽어지게	[]
7	15	14	AH0001	53.49	54.251	되더라구요.	[10]
8	16	1	AH0002	54.637	54.778	그	[]
8	16	2	AH0002	54.778	55.32	훅	[]
8	16	3	AH0002	55.32	55.562	걸린	[]
8	16	4	AH0002	55.662	55.742	그	[]
8	16	5	AH0002	55.823	56.205	부분을	[]
8	16	6	AH0002	56.948	57.17	자기	[]
8	16	7	AH0002	57.21	57.572	가슴에	[]
8	16	8	AH0002	57.893	58.335	담아두면	[]
8	16	9	AH0002	58.436	58.657	돼요.	[]
8	17	1	AH0002	58.673	59.173	어	[11]
8	17	2	AH0002	59.354	59.554	그리고	[]
8	17	3	AH0002	59.654	59.994	지금은	[]
8	17	4	AH0002	60.094	60.375	정말	[]
8	17	5	AH0002	60.415	61.115	인터넷이라고	[]
8	17	6	AH0002	61.135	61.195	하는	[]
8	17	7	AH0002	61.316	61.516	수단의	[]
8	17	8	AH0002	61.636	62.196	발달되어있기	[]
8	17	9	AH0002	62.317	62.677	때문에	[]
8	17	10	AH0002	63.197	63.418	계속	[]
8	17	11	AH0002	63.518	63.718	그걸	[]
8	17	12	AH0002	63.858	64.218	호출해	[]
8	17	13	AH0002	64.278	64.699	내면서	[12]
8	17	14	AH0002	65.059	65.239	자주	[]
8	17	15	AH0002	65.32	65.64	즐기는	[]
8	17	16	AH0002	65.7	65.8	게	[]
8	17	17	AH0002	65.82	65.98	오히려	[]
8	17	18	AH0002	66.04	66.1	더	[]
8	17	19	AH0002	66.2	66.841	중요하구요.	[13]
8	18	1	AH0002	67.322	67.422	근데	[]
8	18	2	AH0002	67.503	67.884	그러다보면	[]
8	18	3	AH0002	67.964	68.286	저절로	[]
8	18	4	AH0002	68.647	69.229	전문에	[]
8	18	5	AH0002	69.631	69.792	눈이	[]
8	18	6	AH0002	69.872	70.213	갑니다.	[14]
8	19	1	AH0002	71.037	71.498	그러기	[]
8	19	2	AH0002	71.559	72.06	전까지는	[]
8	19	3	AH0002	72.461	72.622	좋은	[]
8	19	4	AH0002	72.722	72.942	방법	[]
8	19	5	AH0002	73.183	73.243	중에	[]
8	19	6	AH0002	73.364	73.665	하나에요	[]
8	19	7	AH0002	73.805	74.026	그것도.	[]
8	20	1	AH0002	74.226	74.406	네	[]
8	20	2	AH0002	74.547	74.927	저는	[]
8	20	3	AH0002	74.947	75.348	뭐	[]
8	20	4	AH0002	75.729	75.969	그렇게	[]
8	20	5	AH0002	76.17	76.33	뭐	[]
8	20	6	AH0002	76.55	76.971	비판하고	[]
8	20	7	AH0002	77.051	77.172	싶은	[]
8	20	8	AH0002	77.252	77.492	생각은	[]
8	20	9	AH0002	77.532	77.953	없습니다.	[]
9	21	1	AH0001	78.013	79.755	글귀로라도	[]
9	21	2	AH0001	79.816	80.176	접하기	[]
9	21	3	AH0001	80.196	80.617	시작하는	[]
9	21	4	AH0001	80.677	80.857	것도	[]
9	21	5	AH0001	81.117	81.578	괜찮죠?	[15]
9	22	1	AH0001	82.388	82.71	괜찮은	[]
9	22	2	AH0001	82.77	83.294	접근이라고	[]
9	22	3	AH0001	83.716	83.938	느껴	[]
9	22	4	AH0001	83.958	83.978	진	[]
10	23	1	AH0002	84.027	84.552	단초죠	[]
10	23	2	AH0002	84.713	84.955	우리가	[16]
10	23	3	AH0002	85.137	85.339	시를	[]
10	23	4	AH0002	85.359	85.621	읽기위한.	[17]
11	24	1	AH0001	86.959	87.06	자	[]
11	24	2	AH0001	87.16	87.341	퀴즈	[]
11	24	3	AH0001	87.382	87.704	정답	[]
11	24	4	AH0001	88.066	89.012	알려드릴게요.	[]
11	25	1	AH0001	89.046	89.77	가요	[]
11	25	2	AH0001	89.891	90.172	중에	[]
11	25	3	AH0001	90.917	91.219	제목	[]
11	25	4	AH0001	91.5	91.661	바로	[]
12	26	1	AH0002	92.031	93.491	향수입니다	[]
12	26	2	AH0002	93.551	93.572	네	[]
13	27	1	AH0001	93.694	94.195	지줄대는	[]
13	27	2	AH0001	94.275	94.616	님	[]
13	27	3	AH0001	94.636	94.656	전	[]
13	27	4	AH0001	95.337	96.319	너무	[]
13	27	5	AH0001	96.6	96.64	좋아.	[]
14	28	1	AH0002	96.768	96.91	예	[]
14	28	2	AH0002	97.073	97.174	옛	[]
14	28	3	AH0002	97.275	97.58	이야기	[18]
14	28	4	AH0002	97.803	97.966	지줄	[]
14	28	5	AH0002	98.047	98.169	되는	[]
15	29	1	AH0001	98.287	98.954	이야기	[]
15	29	2	AH0001	98.974	99.459	지줄되는	[]
15	29	3	AH0001	99.479	99.499	네	[]
15	30	1	AH0001	100.105	100.205	자	[]
15	30	2	AH0001	100.265	100.325	두	[]
15	30	3	AH0001	100.365	100.586	번째	[]
15	30	4	AH0001	100.666	100.866	키즈	[]
15	30	5	AH0001	100.946	101.386	어린이들이	[]
15	30	6	AH0001	101.506	101.807	쓰거나	[]
15	30	7	AH0001	101.867	102.147	어린이	[]
15	30	8	AH0001	102.207	102.508	독자를	[]
15	30	9	AH0001	102.568	102.988	대상으로	[]
15	30	10	AH0001	103.008	103.428	어린이의	[]
15	30	11	AH0001	103.489	103.809	정서를	[]
15	30	12	AH0001	104.069	104.169	읊은	[]
15	30	13	AH0001	104.269	104.409	시	[]
15	30	14	AH0001	104.49	104.65	바로	[]
16	31	1	AH0002	105.735	106.081	동시에	[]
16	31	2	AH0002	106.142	106.61	말할까요?	[]
17	32	1	AH0001	107.369	107.59	동시에	[]
17	32	2	AH0001	107.63	108.012	말할까요?	[]
17	32	3	AH0001	108.032	108.453	하나둘셋	[]
18	33	1	AH0002	108.906	109.208	동시.	[]
19	34	1	AH0001	109.691	110.317	너무	[]
19	34	2	AH0001	110.397	111.043	재밌어요.	[]
19	35	1	AH0001	111.458	111.518	자	[]
19	35	2	AH0001	111.699	111.9	퀴즈	[]
19	35	3	AH0001	111.981	112.704	당첨되신	[]
19	35	4	AH0001	112.805	113.146	분들	[]
19	35	5	AH0001	113.267	113.508	성함	[]
19	35	6	AH0001	113.608	113.89	저희가	[]
19	35	7	AH0001	113.95	114.312	삼삼오오	[]
19	35	8	AH0001	114.352	114.734	홈페이지에	[]
19	35	9	AH0001	114.794	115.558	올려두겠습니다.	[]
19	36	1	AH0001	115.609	116.311	당첨여부	[]
19	36	2	AH0001	116.612	117.233	확인하시고	[]
19	36	3	AH0001	117.614	117.855	주소	[]
19	36	4	AH0001	117.955	118.396	연락처	[]
19	36	5	AH0001	118.556	118.998	저희에게	[]
19	36	6	AH0001	119.138	119.479	주시면	[]
19	36	7	AH0001	119.559	119.82	선물	[]
19	36	8	AH0001	119.94	120.12	보내	[]
19	36	9	AH0001	120.201	120.481	드리도록	[]
19	36	10	AH0001	120.561	121.183	하겠습니다.	[]
19	37	1	AH0001	121.748	122.557	감사합니다	[]
19	37	2	AH0001	122.678	123.042	교수님.	[]
19	38	1	AH0001	123.233	123.375	귀한	[]
19	38	2	AH0001	123.456	123.659	시간	[]
19	38	3	AH0001	123.72	123.822	내	[]
19	38	4	AH0001	123.883	124.553	주셨습니다.	[]
20	39	1	AH0002	124.439	124.788	아닙니다.	[]
20	40	1	AH0002	124.843	125.472	고맙습니다.	[]
21	41	1	AH0001	125.501	125.682	네	[19]
21	41	2	AH0001	125.882	125.962	팔	[]
21	41	3	AH0001	126.003	126.143	월	[]
21	41	4	AH0001	126.243	126.605	이십오	[]
21	41	5	AH0001	126.645	126.705	일	[]
21	41	6	AH0001	126.825	127.226	금요일	[]
21	42	1	AH0001	127.387	127.549	이	[]
21	42	2	AH0001	127.629	127.771	자	[]
21	42	3	AH0001	127.791	127.952	오늘	[]
21	42	4	AH0001	128.033	128.195	끝	[]
21	42	5	AH0001	128.215	128.679	곡으로는	[]
21	42	6	AH0001	128.901	129.911	전해드렸구요.	[]
21	43	1	AH0001	129.953	130.094	내일	[]
21	43	2	AH0001	130.154	130.274	오후	[]
21	43	3	AH0001	130.375	130.455	세	[]
21	43	4	AH0001	130.576	130.756	시에	[]
21	43	5	AH0001	130.776	131.58	삼삼오오에서	[]
21	43	6	AH0001	131.64	131.821	다시	[]
21	43	7	AH0001	131.861	132.383	만날게요.	[]
