uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.73	0.991	노래	[]
1	1	2	AH0001	1.612	1.993	좋잖아요	[]
1	1	3	AH0001	2.033	2.574	선배님한테	[]
1	1	4	AH0001	2.635	3.035	어울리는	[]
1	1	5	AH0001	3.116	3.276	노래.	[]
1	2	1	AH0001	4.387	4.407	아.	[]
1	2	2	AH0001	4.468	4.833	저기.	[1]
1	3	1	AH0001	5.482	5.99	@이름578로	[]
1	3	2	AH0001	6.031	6.235	했어야	[]
1	3	3	AH0001	6.336	6.458	되나.	[]
1	4	1	AH0001	6.56	8.354	@이름596	[]
1	4	2	AH0001	9.039	9.442	바운스.	[]
2	5	1	AH0002	9.798	10.902	감사합니다.	[]
3	6	1	AH0001	11.161	11.563	와.	[]
3	6	2	AH0001	12.126	12.307	뭐	[]
3	6	3	AH0001	12.891	13.112	저희	[]
3	6	4	AH0001	13.474	13.916	게시판	[]
3	6	5	AH0001	14.077	14.62	불났습니다	[]
3	6	6	AH0001	14.7	14.841	지금.	[]
4	7	1	AH0002	15.081	15.407	아하.	[]
4	7	2	AH0002	15.529	16.201	감사합니다.	[]
5	8	1	AH0001	15.699	16.164	난리가	[]
5	8	2	AH0001	16.204	17.032	났습니다.	[2]
5	9	1	AH0001	17.638	18.259	와	[]
5	9	2	AH0001	19.0	19.18	근데	[]
5	9	3	AH0001	19.24	19.461	저는	[]
5	9	4	AH0001	19.561	19.861	이분	[]
5	9	5	AH0001	20.061	20.282	진짜	[]
5	9	6	AH0001	20.302	21.343	진짜	[]
5	9	7	AH0001	21.824	22.345	칭찬해드리고	[]
5	9	8	AH0001	22.425	22.745	싶어요	[]
5	9	9	AH0001	22.925	23.146	이분	[]
5	9	10	AH0001	23.406	23.486	나	[]
5	9	11	AH0001	23.586	23.747	보내	[]
5	9	12	AH0001	23.847	23.967	드릴래.	[]
5	10	1	AH0001	25.122	25.303	그	[]
5	10	2	AH0001	25.563	26.105	@전화번호6	[]
5	10	3	AH0001	26.225	26.666	님께서	[]
5	10	4	AH0001	27.128	27.669	정답은	[]
5	10	5	AH0001	27.75	28.732	임꺽정인데요	[]
5	10	6	AH0001	29.154	29.394	저는	[]
5	10	7	AH0001	29.475	29.976	지방이라서	[]
5	10	8	AH0001	30.056	30.317	갈수	[]
5	10	9	AH0001	30.357	30.718	없어서	[]
5	10	10	AH0001	30.859	31.22	티켓은	[]
5	10	11	AH0001	31.3	32.022	패스할게요.	[]
5	11	1	AH0001	32.024	32.328	얼마나	[]
5	11	2	AH0001	32.41	32.877	착하세요.	[]
5	12	1	AH0001	33.369	33.792	바나나	[]
5	12	2	AH0001	33.853	34.034	우유	[]
5	12	3	AH0001	34.095	34.397	선물로	[]
5	12	4	AH0001	34.518	35.506	보내드리겠습니다.	[3]
5	13	1	AH0001	35.506	36.309	이렇게	[]
5	13	2	AH0001	36.71	37.011	정말	[]
5	13	3	AH0001	37.111	37.593	양보하는	[]
5	13	4	AH0001	37.693	37.854	미덕.	[]
5	14	1	AH0001	38.791	38.972	자	[]
5	14	2	AH0001	39.273	39.393	고	[]
5	14	3	AH0001	39.554	40.136	@전화번호7	[]
5	14	4	AH0001	40.297	40.417	님	[]
5	14	5	AH0001	40.437	40.457	아	[]
5	14	6	AH0001	41.28	41.602	무리한	[]
5	14	7	AH0001	41.702	41.943	부탁을	[]
5	14	8	AH0001	41.983	42.144	하고	[]
5	14	9	AH0001	42.184	42.726	계십니다.	[]
5	15	1	AH0001	42.861	43.262	@이름5	[]
5	15	2	AH0001	43.283	43.543	형님	[]
5	15	3	AH0001	43.644	44.326	와이프와	[]
