bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	22.322	22.742	CONTINUER	네.	[5]	[7]	[14]
2	AH0002	26.885	27.372	CONTINUER	네.	[5]	[8]	[11]
3	AH0001	35.719	37.109	AFFIRMATIVE	음. 그렇지.	[6]	[10]	[5]
4	AH0001	41.637	42.167	CONTINUER	음.	[6]	[11]	[13]
5	AH0001	42.937	43.317	CONTINUER	네.	[6]	[11]	[15]
6	AH0001	45.887	46.147	CONTINUER	음.	[6]	[12]	[3]
7	AH0001	47.902	49.512	ASSESSMENT	오. 네.	[6]	[12]	[7]
8	AH0001	53.241	53.471	CONTINUER	네.	[6]	[13]	[10]
9	AH0001	56.908	57.307	ASSESSMENT	아.	[6]	[13]	[14]
10	AH0002	60.201	60.674	AFFIRMATIVE	그렇죠.	[7]	[15]	[4]
11	AH0001	64.82	65.035	CONTINUER	음.	[8]	[16]	[11]
12	AH0001	66.545	67.68	AFFIRMATIVE	그렇죠. 어.	[8]	[16]	[14]
13	AH0001	71.558	71.999	CONTINUER	네.	[8]	[17]	[11]
14	AH0002	76.79	77.14	CONTINUER	예.	[9]	[20]	[1]
15	AH0002	80.72	81.343	CONTINUER	네에.	[9]	[20]	[10]
16	AH0001	85.317	85.552	CONTINUER	네.	[10]	[22]	[4]
17	AH0001	86.757	87.157	CONTINUER	음.	[10]	[22]	[8]
18	AH0001	91.032	91.322	CONTINUER	네.	[10]	[23]	[6]
19	AH0001	93.647	94.107	CONTINUER	음.	[10]	[23]	[11]
20	AH0001	104.518	104.788	CONTINUER	어.	[12]	[26]	[9]
21	AH0001	106.113	106.293	CONTINUER	어.	[12]	[26]	[12]
22	AH0001	114.013	114.278	CONTINUER	네.	[14]	[28]	[12]
23	AH0001	116.48	116.949	CONTINUER	어.	[14]	[28]	[18]
24	AH0001	121.294	121.844	CONTINUER	네네네.	[]	[]	[]
25	AH0001	127.43	128.995	CONTINUER	음. 네.	[16]	[31]	[15]
26	AH0001	132.755	133.136	CONTINUER	응.	[16]	[31]	[27]
27	AH0001	135.431	136.151	CONTINUER	어.	[16]	[32]	[6]
28	AH0001	141.926	142.571	CONTINUER	음.	[16]	[32]	[18]
29	AH0001	143.416	143.806	CONTINUER	음.	[16]	[32]	[21]
30	AH0002	148.427	148.682	CONTINUER	네.	[17]	[34]	[4]
31	AH0002	151.857	152.697	CONTINUER	네. 네.	[17]	[35]	[8]
32	AH0002	155.403	155.693	CONTINUER	네.	[17]	[36]	[9]
33	AH0002	165.63	166.005	CONTINUER	네.	[17]	[38]	[12]
34	AH0001	178.628	178.943	CONTINUER	음.	[20]	[43]	[4]
35	AH0001	180.118	180.418	CONTINUER	응.	[20]	[43]	[8]
36	AH0002	192.748	193.332	AFFIRMATIVE	그르쵸.	[21]	[45]	[8]
