uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	2.095	2.395	정작	[]
1	1	2	AH0001	2.755	3.015	거사	[]
1	1	3	AH0001	3.095	3.436	당일	[1]
1	1	4	AH0001	4.136	4.216	삼	[]
1	1	5	AH0001	4.296	4.396	월	[]
1	1	6	AH0001	4.436	4.656	일	[]
1	1	7	AH0001	4.676	4.696	일	[]
1	1	8	AH0001	5.216	5.656	당일에	[]
1	1	9	AH0001	6.417	7.217	에	[]
1	1	10	AH0001	7.837	8.778	삼십삼	[]
1	1	11	AH0001	8.838	8.958	인	[]
1	1	12	AH0001	9.098	9.678	대표도	[]
1	1	13	AH0001	10.818	11.319	그렇고	[]
1	1	14	AH0001	12.139	12.239	좀	[]
1	1	15	AH0001	12.339	12.539	뒤로	[]
1	1	16	AH0001	12.619	13.179	물러섰다	[2]
1	1	17	AH0001	13.76	13.9	그런	[]
1	1	18	AH0001	13.98	14.26	평가를	[]
1	1	19	AH0001	14.32	14.98	받잖아요.	[3]
1	2	1	AH0001	15.045	16.067	그러니까	[]
1	2	2	AH0001	16.447	16.828	태화관에	[]
1	2	3	AH0001	16.888	17.168	모여서	[]
1	2	4	AH0001	17.188	17.449	그냥	[]
1	2	5	AH0001	18.33	19.151	선원서만	[]
1	2	6	AH0001	19.231	19.452	한번	[]
1	2	7	AH0001	19.512	19.953	낭독하고	[]
1	2	8	AH0001	20.033	21.054	말았단	[]
1	2	9	AH0001	21.114	21.515	말이죠.	[4]
1	3	1	AH0001	22.634	23.055	어	[]
1	3	2	AH0001	23.356	23.616	파고다	[]
1	3	3	AH0001	23.696	24.237	공원에서는	[]
1	3	4	AH0001	25.36	25.56	젊은	[]
1	3	5	AH0001	25.621	25.981	학생들이	[]
1	3	6	AH0001	26.061	26.342	기다리고	[]
1	3	7	AH0001	26.382	26.683	있는데	[5]
1	4	1	AH0001	27.872	28.674	그래서	[]
1	4	2	AH0001	28.754	28.814	그	[]
1	4	3	AH0001	28.894	30.177	부분에	[]
1	4	4	AH0001	30.237	30.478	대해서는	[]
1	4	5	AH0001	30.558	30.638	좀	[]
1	4	6	AH0001	30.738	31.44	비판적으로	[]
1	4	7	AH0001	31.841	32.041	보는	[]
1	4	8	AH0001	32.161	32.422	분들이	[]
1	4	9	AH0001	32.482	32.622	많이	[]
1	4	10	AH0001	32.703	33.344	계시죠?	[]
2	5	1	AH0002	33.397	33.58	네.	[]
2	5	2	AH0002	33.661	34.311	많습니다.	[6]
2	6	1	AH0002	34.311	34.652	그	[]
2	6	2	AH0002	35.395	35.636	사실	[]
2	6	3	AH0002	36.017	36.599	이분들이	[]
2	6	4	AH0002	36.76	37.121	시작을	[]
2	6	5	AH0002	37.161	37.182	안	[]
2	6	6	AH0002	37.262	37.603	했으면	[]
2	6	7	AH0002	37.663	37.944	삼일	[]
2	6	8	AH0002	37.964	38.306	운동은	[]
2	6	9	AH0002	38.446	38.868	없었을	[]
2	6	10	AH0002	38.988	39.47	텐데요.	[]
3	7	1	AH0001	39.513	39.656	물론	[]
3	7	2	AH0001	39.737	39.88	그렇죠.	[]
4	8	1	AH0002	40.146	40.508	그	[]
4	8	2	AH0002	40.648	41.251	부분에서는	[]
4	8	3	AH0002	42.416	42.577	그	[]
4	8	4	AH0002	42.818	43.179	최대한	[]
4	8	5	AH0002	43.42	43.782	평가를	[]
4	8	6	AH0002	43.862	44.144	해줘야	[]
4	8	7	AH0002	44.204	44.545	된다고	[]
4	8	8	AH0002	44.626	44.927	생각이	[]
4	8	9	AH0002	45.007	45.389	듭니다.	[7]
4	9	1	AH0002	45.389	45.53	그런데	[]
4	9	2	AH0002	45.71	46.092	인제	[]
4	9	3	AH0002	46.353	46.996	안타깝게도	[]
4	9	4	AH0002	47.358	47.458	이	[]
4	9	5	AH0002	47.499	47.599	월	[]
4	9	6	AH0002	47.639	48.021	이십팔	[]
4	9	7	AH0002	48.061	48.142	일	[8]
4	9	8	AH0002	48.443	48.764	그것도	[]
4	9	9	AH0002	48.784	48.945	인제	[]
4	9	10	AH0002	49.046	49.327	오늘	[]
4	9	11	AH0002	49.709	49.789	백	[]
4	9	12	AH0002	49.849	49.93	년	[]
4	9	13	AH0002	49.99	50.07	전	[]
4	9	14	AH0002	50.151	50.653	오늘이네요.	[]
4	10	1	AH0002	51.044	51.124	그	[]
4	10	2	AH0002	51.204	51.284	백	[]
4	10	3	AH0002	51.344	51.564	년	[]
4	10	4	AH0002	51.584	51.604	전	[]
4	10	5	AH0002	51.664	52.085	오늘의	[]
4	10	6	AH0002	52.685	53.025	그	[]
4	10	7	AH0002	53.746	54.166	삼십삼	[]
4	10	8	AH0002	54.206	54.266	인	[]
4	10	9	AH0002	54.386	54.687	중에서	[]
4	10	10	AH0002	54.847	55.087	만날	[]
4	10	11	AH0002	55.187	55.247	수	[]
4	10	12	AH0002	55.267	55.507	있는	[]
4	10	13	AH0002	55.667	56.008	가능한	[]
4	10	14	AH0002	56.108	56.528	분들이	[]
4	10	15	AH0002	56.688	56.808	한	[]
4	10	16	AH0002	56.868	57.048	이십	[]
4	10	17	AH0002	57.409	57.789	스물세	[]
4	10	18	AH0002	57.869	57.969	분	[]
4	10	19	AH0002	58.029	58.449	정도가	[]
4	10	20	AH0002	58.91	59.45	모였어요.	[]
4	11	1	AH0002	59.484	60.227	그래가지고	[9]
4	11	2	AH0002	60.549	60.79	여기서	[]
4	11	3	AH0002	60.87	61.252	논의를	[]
4	11	4	AH0002	61.312	61.653	했는데	[]
4	12	1	AH0002	62.312	62.552	말	[]
4	12	2	AH0002	62.652	62.972	어	[]
4	12	3	AH0002	63.373	63.853	자기들이	[]
4	12	4	AH0002	64.013	64.133	그	[]
4	12	5	AH0002	64.313	64.553	파고다	[]
4	12	6	AH0002	64.833	64.853	어	[]
4	12	7	AH0002	65.013	65.274	탑골	[]
4	12	8	AH0002	65.354	65.834	공원에	[]
4	12	9	AH0002	66.274	66.554	직접	[]
4	12	10	AH0002	66.634	67.175	가가지고	[]
4	12	11	AH0002	67.195	67.215	그	[]
4	12	12	AH0002	68.395	68.915	선언서를	[]
4	12	13	AH0002	68.995	69.616	발표하고	[]
4	12	14	AH0002	69.976	70.596	붙잡히면	[]
4	12	15	AH0002	71.457	71.757	그	[]
4	12	16	AH0002	72.037	72.417	모여있는	[]
4	12	17	AH0002	72.497	73.058	군중들이	[]
4	12	18	AH0002	73.158	73.518	폭동을	[]
4	12	19	AH0002	73.558	73.838	일으킬	[]
4	12	20	AH0002	74.018	74.198	수도	[]
4	12	21	AH0002	74.238	74.879	있다고	[10]
4	12	22	AH0002	74.979	75.259	생각을	[]
4	12	23	AH0002	75.339	75.819	했어요.	[]
4	13	1	AH0002	76.134	76.434	그래서	[]
4	13	2	AH0002	76.975	77.235	어	[]
4	13	3	AH0002	77.495	77.875	장소를	[]
4	13	4	AH0002	77.936	78.276	바꾸자	[]
4	13	5	AH0002	78.296	78.676	그래서	[11]
4	13	6	AH0002	78.796	79.097	탑골	[]
4	13	7	AH0002	79.217	79.617	공원에서	[]
4	13	8	AH0002	79.697	80.278	태화관으로	[]
4	13	9	AH0002	80.678	80.998	장소를	[]
4	13	10	AH0002	81.078	81.419	바꾸게	[]
4	13	11	AH0002	81.499	81.959	됐고요.	[]
4	14	1	AH0002	82.023	82.464	이	[12]
4	14	2	AH0002	82.544	83.005	과정에서	[]
4	14	3	AH0002	83.066	83.246	이제	[]
4	14	4	AH0002	83.487	83.767	제대로	[]
4	14	5	AH0002	83.828	84.229	설명이	[]
4	14	6	AH0002	84.529	85.371	학생들한테나	[]
4	14	7	AH0002	86.394	86.955	대중들한테는	[]
4	14	8	AH0002	87.016	87.336	설명이	[]
4	14	9	AH0002	87.397	87.477	안	[]
4	14	10	AH0002	87.497	88.098	되어서	[13]
4	14	11	AH0002	88.199	88.86	불협화음이	[14]
4	14	12	AH0002	89.021	89.923	만들어졌어요.	[]
4	15	1	AH0002	89.944	90.884	그래서	[15]
4	15	2	AH0002	90.904	90.924	어	[]
4	15	3	AH0002	90.984	91.545	학생들이	[]
4	15	4	AH0002	91.685	92.105	기다리고	[]
4	15	5	AH0002	92.165	92.745	기다려도	[]
4	15	6	AH0002	93.166	93.486	오지를	[]
4	15	7	AH0002	93.566	94.046	않으니까	[16]
4	15	8	AH0002	94.606	94.766	어	[]
4	15	9	AH0002	95.066	95.407	항의를	[]
4	15	10	AH0002	95.467	95.747	하러	[]
4	15	11	AH0002	96.107	96.167	세	[]
4	15	12	AH0002	96.247	96.507	명이	[]
4	15	13	AH0002	96.847	97.167	데리러	[]
4	15	14	AH0002	97.528	97.608	세	[17]
4	15	15	AH0002	97.728	97.848	명이	[]
4	15	16	AH0002	97.928	98.488	갔는데	[]
4	15	17	AH0002	98.788	99.048	그중에	[]
4	15	18	AH0002	99.108	99.168	한	[]
4	15	19	AH0002	99.288	99.448	명이	[]
4	15	20	AH0002	99.469	99.609	이제	[]
4	15	21	AH0002	99.729	100.449	강기덕이라고	[]
4	15	22	AH0002	100.509	100.689	하는	[]
4	15	23	AH0002	100.929	101.169	학생	[]
4	15	24	AH0002	101.209	101.61	대표가	[]
4	15	25	AH0002	101.87	102.13	직접	[]
4	15	26	AH0002	102.21	102.63	갑니다.	[]
4	16	1	AH0002	102.652	102.972	그래서	[18]
4	16	2	AH0002	103.493	103.613	어	[]
4	16	3	AH0002	103.713	103.813	왜	[]
4	16	4	AH0002	103.893	104.093	오지	[]
4	16	5	AH0002	104.133	104.573	않느냐고	[]
4	16	6	AH0002	104.653	104.873	막	[]
4	16	7	AH0002	104.933	105.194	얘기를	[]
4	16	8	AH0002	105.234	105.734	했는데	[]
4	16	9	AH0002	106.514	106.995	우리들은	[]
4	16	10	AH0002	107.155	107.375	가지	[]
4	16	11	AH0002	107.395	108.356	않겠다라고	[19]
4	16	12	AH0002	108.396	108.556	인제	[]
4	16	13	AH0002	108.916	109.216	아주	[]
4	16	14	AH0002	109.456	109.917	단호하게	[]
4	16	15	AH0002	109.937	110.277	얘기해서	[]
4	16	16	AH0002	110.317	110.517	어쩔	[]
4	16	17	AH0002	110.617	110.657	수	[]
4	16	18	AH0002	110.697	110.997	없이	[]
4	16	19	AH0002	111.298	111.698	돌아서야	[]
4	16	20	AH0002	111.738	112.038	했던	[]
4	16	21	AH0002	112.358	112.738	장면이	[]
4	16	22	AH0002	112.798	113.579	만들어졌어요.	[20]
5	17	1	AH0001	114.528	114.628	아	[]
5	17	2	AH0001	114.788	115.088	그러니까	[]
5	17	3	AH0001	115.269	115.829	처음에는	[]
5	17	4	AH0001	116.63	117.07	삼십삼	[]
5	17	5	AH0001	117.11	117.19	인	[]
5	17	6	AH0001	117.27	117.891	대표가	[]
5	17	7	AH0001	118.031	118.691	선언서를	[]
5	17	8	AH0001	118.811	119.732	낭독하려고	[]
5	17	9	AH0001	119.772	120.032	했던	[]
5	17	10	AH0001	120.132	120.653	장소가	[]
5	17	11	AH0001	120.933	121.173	파고다	[]
5	17	12	AH0001	121.253	121.934	공원이었습니까?	[]
6	18	1	AH0002	122.155	122.177	네.	[]
7	19	1	AH0001	122.396	123.22	아	[]
7	19	2	AH0001	123.824	124.005	그런데	[]
7	19	3	AH0001	124.045	124.266	이제	[]
7	19	4	AH0001	124.327	124.89	갑자기	[]
7	19	5	AH0001	125.674	125.996	장소를	[]
7	19	6	AH0001	126.076	126.418	바꾸고	[]
7	20	1	AH0001	126.666	127.608	바꾸게	[21]
7	20	2	AH0001	127.688	127.808	된	[]
7	20	3	AH0001	127.928	128.089	데는	[]
7	20	4	AH0001	128.109	128.129	뭐	[]
7	20	5	AH0001	129.03	129.331	좋게	[]
7	20	6	AH0001	129.351	129.792	얘기하면	[]
7	20	7	AH0001	129.872	130.613	이분들이	[]
7	20	8	AH0001	130.633	131.655	이	[]
7	20	9	AH0001	131.936	132.116	여러	[]
7	20	10	AH0001	132.156	132.376	가지	[]
7	20	11	AH0001	132.476	133.258	생각을	[]
7	20	12	AH0001	133.719	133.799	한	[]
7	20	13	AH0001	133.899	134.26	끝에	[]
7	20	14	AH0001	134.42	135.161	심사숙고한	[]
7	20	15	AH0001	135.282	135.803	끝에	[]
7	20	16	AH0001	136.384	136.504	에	[]
7	20	17	AH0001	136.604	136.784	그렇게	[]
7	20	18	AH0001	136.864	137.325	했다고도	[]
7	20	19	AH0001	137.405	137.506	볼	[]
7	20	20	AH0001	137.666	137.866	수	[22]
7	20	21	AH0001	138.207	138.547	있지만	[]
7	21	1	AH0001	139.204	140.485	에	[]
7	21	2	AH0001	140.505	141.045	말씀하셨던	[]
7	21	3	AH0001	141.085	141.426	것처럼	[]
7	21	4	AH0001	142.467	142.747	그	[]
7	21	5	AH0001	142.927	143.247	강기덕	[]
7	21	6	AH0001	143.287	143.507	같은	[]
7	21	7	AH0001	143.567	143.768	젊은	[]
7	21	8	AH0001	143.808	144.148	학생	[]
7	21	9	AH0001	144.188	144.808	입장에서는	[]
7	21	10	AH0001	144.828	145.689	대단히	[]
7	21	11	AH0001	145.769	146.77	불만스러워겠죠.	[]
8	22	1	AH0002	146.77	146.79	네.	[]
8	22	2	AH0002	146.871	147.033	네.	[]
8	22	3	AH0002	147.275	148.022	맞습니다.	[23]
9	23	1	AH0001	148.947	149.287	또	[]
9	23	2	AH0001	149.768	150.028	그나마	[]
9	23	3	AH0001	150.048	150.168	이제	[]
9	23	4	AH0001	150.248	150.388	잘	[]
9	23	5	AH0001	150.568	150.949	설명이	[]
9	23	6	AH0001	151.029	151.409	됐으면	[]
9	23	7	AH0001	151.769	152.41	모르겠는데	[24]
9	23	8	AH0001	152.49	152.61	서로	[]
9	23	9	AH0001	152.67	152.85	그런	[]
9	23	10	AH0001	153.03	153.951	그	[]
9	23	11	AH0001	153.971	153.991	어	[]
9	23	12	AH0001	154.051	154.391	소통이	[]
9	23	13	AH0001	154.471	154.491	잘	[]
9	23	14	AH0001	154.531	154.611	안	[]
9	23	15	AH0001	154.671	154.892	됐던	[]
9	23	16	AH0001	154.992	155.532	모양이에요?	[]
10	24	1	AH0002	155.979	156.019	그게	[]
10	24	2	AH0002	156.139	156.339	이제	[]
10	24	3	AH0002	156.439	156.62	하루	[]
10	24	4	AH0002	156.68	157.04	전날	[]
10	24	5	AH0002	157.14	157.52	결정이	[]
10	24	6	AH0002	157.58	158.221	났고	[25]
10	24	7	AH0002	158.621	158.861	그다음에	[]
10	24	8	AH0002	158.902	159.062	인제	[]
10	24	9	AH0002	159.162	159.722	그러면서	[]
10	24	10	AH0002	159.782	160.022	아마	[]
10	24	11	AH0002	160.283	160.643	연락을	[]
10	24	12	AH0002	160.723	161.123	하려고는	[]
10	24	13	AH0002	161.163	161.364	했을	[]
10	24	14	AH0002	161.464	161.764	거예요.	[]
10	25	1	AH0002	161.802	162.082	그	[26]
10	25	2	AH0002	162.443	163.344	박희도라던가	[]
10	25	3	AH0002	163.424	163.604	그때	[]
10	25	4	AH0002	163.664	163.864	당시	[]
10	25	5	AH0002	163.944	164.725	기독교인들이	[]
10	25	6	AH0002	165.166	165.846	학생들	[]
10	25	7	AH0002	166.307	167.028	학생들하고	[]
10	25	8	AH0002	167.048	167.308	이렇게	[]
10	25	9	AH0002	167.368	167.749	연락을	[]
10	25	10	AH0002	167.809	167.969	하고	[]
10	25	11	AH0002	167.989	168.309	있었기	[]
10	25	12	AH0002	168.389	168.95	때문에	[27]
10	25	13	AH0002	169.27	169.671	연락을	[]
10	25	14	AH0002	169.771	170.151	하려고는	[]
10	25	15	AH0002	170.171	170.371	했을	[]
10	25	16	AH0002	170.452	170.652	텐데	[]
11	26	1	AH0001	164.848	165.815	삼십삼명중에.	[]
11	26	2	AH0001	166.097	166.117	네.	[]
12	27	1	AH0002	171.141	171.603	납득을	[]
12	27	2	AH0002	171.683	171.704	못	[]
12	27	3	AH0002	171.824	172.126	했거나	[28]
12	27	4	AH0002	172.226	172.547	설	[]
12	27	5	AH0002	172.768	173.09	설명을	[]
12	27	6	AH0002	173.15	174.014	들었어도	[29]
12	27	7	AH0002	174.316	174.938	그랬었던	[]
12	27	8	AH0002	175.039	175.139	거	[]
12	27	9	AH0002	175.3	175.702	같고요.	[]
12	28	1	AH0002	175.841	176.202	그래서	[30]
12	28	2	AH0002	176.302	176.744	현장에	[]
12	28	3	AH0002	176.764	176.944	이제	[]
12	28	4	AH0002	177.024	177.245	직접	[]
12	28	5	AH0002	177.325	177.787	가가지고	[31]
12	28	6	AH0002	178.228	178.509	다시	[]
12	28	7	AH0002	178.85	179.05	그	[]
12	28	8	AH0002	179.291	179.652	삼십삼	[]
12	28	9	AH0002	179.712	179.872	인을	[]
12	28	10	AH0002	179.933	180.374	데려오려고	[]
12	28	11	AH0002	180.414	180.795	하다가	[32]
12	28	12	AH0002	181.136	181.477	실패를	[]
12	28	13	AH0002	181.557	181.698	한	[]
12	28	14	AH0002	182.059	182.38	상황이	[]
12	28	15	AH0002	182.46	182.761	되는	[]
12	28	16	AH0002	182.861	182.901	거죠.	[]
