uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.19	2.114	그러다보니까	[]
1	1	2	AH0001	2.295	2.516	다른	[]
1	1	3	AH0001	2.596	2.837	곳에서	[]
1	1	4	AH0001	2.898	3.078	금을	[]
1	1	5	AH0001	3.119	3.319	사는	[]
1	1	6	AH0001	3.36	3.701	것보다	[]
1	1	7	AH0001	4.023	4.123	한	[]
1	1	8	AH0001	4.203	4.525	이점	[]
1	1	9	AH0001	4.585	4.645	오	[]
1	1	10	AH0001	4.726	4.826	프로	[]
1	1	11	AH0001	4.866	5.087	정도가	[]
1	1	12	AH0001	5.148	5.71	저렴합니다.	[2]
1	2	1	AH0001	7.024	7.044	한	[]
1	2	2	AH0001	7.164	7.385	오백만	[]
1	2	3	AH0001	7.586	7.947	원어치	[]
1	2	4	AH0001	8.007	8.227	금을	[]
1	2	5	AH0001	8.267	8.869	인출한다	[]
1	2	6	AH0001	9.21	9.531	하면	[]
1	2	7	AH0001	10.233	10.333	이	[]
1	2	8	AH0001	10.413	10.754	프로면	[]
1	2	9	AH0001	10.754	10.935	꽤	[]
1	2	10	AH0001	10.935	11.336	크죠?	[]
2	3	1	AH0002	11.337	11.787	엄청	[]
2	3	2	AH0002	11.91	12.053	크죠.	[]
3	4	1	AH0001	12.359	12.781	엄청나게	[]
3	4	2	AH0001	12.841	13.123	차이가	[]
3	4	3	AH0001	13.183	13.524	난다	[]
3	4	4	AH0001	13.705	14.007	여기가	[]
3	4	5	AH0001	14.067	14.308	제일	[]
3	4	6	AH0001	14.79	15.031	싸다고	[]
3	4	7	AH0001	15.051	15.112	보시면	[]
3	4	8	AH0001	15.212	15.594	됩니다.	[]
4	5	1	AH0002	15.611	16.132	조금더	[]
4	5	2	AH0002	16.312	16.672	소량	[]
4	5	3	AH0002	16.692	17.233	그러니까	[]
4	5	4	AH0002	17.433	18.154	소액으로	[]
4	5	5	AH0002	18.314	18.594	구매를	[]
4	5	6	AH0002	18.694	19.115	하고자	[]
4	5	7	AH0002	19.135	19.455	하시는	[]
4	5	8	AH0002	19.595	20.256	분들은	[]
4	5	9	AH0002	20.416	20.977	조폐공사	[3]
4	6	1	AH0002	21.781	22.122	그런데	[]
4	6	2	AH0002	22.323	22.704	조금은	[]
4	6	3	AH0002	22.744	22.904	이제	[]
4	6	4	AH0002	23.005	23.346	단위가	[]
4	6	5	AH0002	23.366	23.386	이	[]
4	6	6	AH0002	23.687	24.068	있다.	[4]
4	6	7	AH0002	24.208	24.449	그런데	[]
4	6	8	AH0002	24.529	25.031	저렴하게	[]
4	6	9	AH0002	25.111	25.332	사고	[]
4	6	10	AH0002	25.392	25.633	싶다	[]
4	6	11	AH0002	25.713	26.094	하면은	[]
4	6	12	AH0002	26.555	27.137	케이알엑스	[]
4	6	13	AH0002	27.197	27.217	금	[]
4	6	14	AH0002	27.378	27.819	시장으로	[]
5	7	1	AH0001	27.226	27.307	금	[]
5	7	2	AH0001	27.367	27.993	시장	[]
5	7	3	AH0001	28.094	28.114	네.	[]
5	8	1	AH0001	28.748	28.949	그러면	[]
5	8	2	AH0001	29.03	29.432	케이알엑스	[]
5	8	3	AH0001	29.513	30.015	금시장에서	[]
5	8	4	AH0001	30.056	30.277	나오는	[]
5	8	5	AH0001	30.337	30.599	금은	[]
5	8	6	AH0001	30.659	30.86	어떤	[]
5	8	7	AH0001	30.941	31.243	금이냐	[]
5	8	8	AH0001	31.323	31.585	이것도	[]
5	8	9	AH0001	31.645	32.088	조폐공사의	[]
5	8	10	AH0001	32.148	32.41	인증을	[]
5	8	11	AH0001	32.45	32.812	합니다.	[]
5	9	1	AH0001	33.041	33.181	물론	[]
5	9	2	AH0001	33.241	33.642	조폐공사가	[]
5	9	3	AH0001	33.682	33.922	만든	[]
5	9	4	AH0001	33.962	34.122	아까	[]
5	9	5	AH0001	34.183	34.523	잠상이	[]
5	9	6	AH0001	34.583	34.763	찍힌	[]
5	9	7	AH0001	34.823	34.944	금은	[]
5	9	8	AH0001	34.984	35.524	아닌데	[5]
5	9	9	AH0001	35.805	36.185	케이알엑스	[]
5	9	10	AH0001	36.245	36.686	금시장에서	[]
5	9	11	AH0001	36.766	37.147	보유하고	[]
5	9	12	AH0001	37.167	37.327	있는	[]
5	9	13	AH0001	37.387	37.928	예탁결제에서	[]
5	9	14	AH0001	37.988	38.448	보관하고	[]
5	9	15	AH0001	38.489	38.629	있는	[]
5	9	16	AH0001	38.689	38.769	그	[]
5	9	17	AH0001	38.829	39.129	금도	[]
5	9	18	AH0001	39.51	40.051	조폐공사에서	[]
5	9	19	AH0001	40.091	40.311	인증을	[]
5	9	20	AH0001	40.351	40.551	해주는	[]
5	9	21	AH0001	40.611	41.012	금이에요.	[]
6	10	1	AH0002	41.057	42.879	이야	[]
6	10	2	AH0002	42.899	43.079	이런	[]
6	10	3	AH0002	43.159	43.399	방법이	[]
6	10	4	AH0002	43.459	43.74	있구나	[]
6	10	5	AH0002	43.82	44.06	이런	[]
6	10	6	AH0002	44.14	44.5	세계가	[]
6	10	7	AH0002	44.54	45.121	있는데	[]
6	10	8	AH0002	45.301	45.641	나는	[]
