bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	20.123	20.333	CONTINUER	예.	[1]	[2]	[10]
2	AH0001	30.772	31.047	CONTINUER	네.	[2]	[4]	[16]
3	AH0001	51.88	52.13	CONTINUER	네.	[4]	[7]	[11]
4	AH0001	53.175	53.655	CONTINUER	예.	[4]	[7]	[14]
5	AH0001	61.396	61.826	CONTINUER	네.	[4]	[8]	[16]
6	AH0001	65.842	66.047	CONTINUER	네.	[4]	[9]	[10]
7	AH0001	113.891	114.056	CONTINUER	네.	[6]	[14]	[19]
8	AH0001	121.677	122.017	CONTINUER	네.	[6]	[16]	[3]
9	AH0001	127.817	128.147	CONTINUER	예.	[6]	[16]	[11]
10	AH0001	131.464	131.704	CONTINUER	네.	[6]	[16]	[18]
11	AH0001	142.054	142.314	CONTINUER	네.	[6]	[17]	[21]
12	AH0001	154.537	154.747	CONTINUER	네.	[6]	[18]	[20]
13	AH0001	166.275	166.665	CONTINUER	네.	[6]	[19]	[20]
14	AH0001	174.163	174.593	AFFIRMATIVE	그렇죠.	[6]	[20]	[14]
15	AH0001	176.553	176.778	CONTINUER	네.	[6]	[20]	[20]
16	AH0001	184.881	185.131	CONTINUER	네.	[6]	[21]	[14]
17	AH0001	188.834	189.024	CONTINUER	네.	[6]	[22]	[5]
18	AH0001	190.999	191.244	CONTINUER	네.	[6]	[22]	[10]
19	AH0002	206.765	207.18	AFFIRMATIVE	맞습니다.	[7]	[23]	[16]
20	AH0001	228.886	229.586	CONTINUER	오. 네.	[8]	[26]	[6]
21	AH0001	238.341	238.646	CONTINUER	네.	[8]	[26]	[20]
22	AH0001	240.196	240.561	ASSESSMENT	어유.	[8]	[26]	[25]
23	AH0001	240.788	241.003	CONTINUER	네.	[8]	[27]	[1]
24	AH0001	250.958	251.448	CONTINUER	오. 네.	[8]	[27]	[22]
25	AH0001	256.601	256.846	CONTINUER	네.	[8]	[28]	[11]
26	AH0001	292.776	293.326	CONTINUER	네.	[8]	[32]	[1]
27	AH0001	305.421	305.851	AFFIRMATIVE	그렇죠.	[8]	[32]	[30]
28	AH0001	308.631	308.861	CONTINUER	네.	[8]	[33]	[5]
29	AH0001	311.726	312.066	CONTINUER	예.	[8]	[33]	[9]
30	AH0001	321.781	322.967	AFFIRMATIVE	아. 그렇군요.	[8]	[34]	[18]
31	AH0001	356.899	357.119	CONTINUER	네.	[10]	[38]	[9]
32	AH0001	376.223	376.533	CONTINUER	네.	[10]	[41]	[1]
33	AH0001	383.698	384.008	CONTINUER	네.	[10]	[41]	[23]
34	AH0001	397.188	397.543	CONTINUER	으흠.	[10]	[43]	[1]
35	AH0001	413.844	414.134	CONTINUER	네.	[10]	[45]	[1]
36	AH0001	433.888	434.178	CONTINUER	네.	[10]	[46]	[13]
37	AH0001	439.038	439.398	CONTINUER	예.	[10]	[46]	[23]
38	AH0001	475.12	475.42	CONTINUER	네.	[12]	[51]	[1]
39	AH0001	482.604	482.879	CONTINUER	네.	[12]	[51]	[10]
40	AH0001	487.124	487.389	CONTINUER	네.	[12]	[51]	[17]
41	AH0001	507.756	508.186	CONTINUER	네.	[12]	[53]	[11]
42	AH0001	512.406	512.676	CONTINUER	네.	[12]	[53]	[23]
43	AH0001	531.466	531.811	CONTINUER	네.	[12]	[55]	[7]
44	AH0001	545.545	546.805	CONTINUER	네. 네.	[12]	[57]	[6]
45	AH0001	552.785	553.06	CONTINUER	네.	[12]	[57]	[21]
46	AH0001	559.66	559.965	CONTINUER	예.	[12]	[58]	[12]
47	AH0001	564.71	565.005	CONTINUER	네.	[12]	[58]	[25]
48	AH0001	568.953	569.198	CONTINUER	으흠.	[12]	[59]	[6]
49	AH0001	570.018	570.263	CONTINUER	네.	[12]	[59]	[8]
50	AH0001	572.268	572.588	CONTINUER	네.	[12]	[59]	[10]
51	AH0001	582.776	583.106	CONTINUER	네.	[14]	[61]	[1]
52	AH0001	588.296	588.511	CONTINUER	네.	[14]	[61]	[11]
53	AH0001	592.091	592.401	CONTINUER	네.	[14]	[61]	[17]
54	AH0001	619.183	619.558	CONTINUER	예.	[16]	[64]	[14]
55	AH0001	622.053	622.208	CONTINUER	네.	[16]	[64]	[19]
