bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	7.716	8.161	CONTINUER	음.	[1]	[1]	[11]
2	AH0002	8.911	9.366	CONTINUER	네.	[1]	[2]	[2]
3	AH0001	13.702	13.997	CONTINUER	네.	[2]	[3]	[5]
4	AH0001	22.18	22.51	CONTINUER	예.	[2]	[3]	[17]
5	AH0001	25.088	25.388	CONTINUER	네.	[2]	[4]	[6]
6	AH0001	29.943	30.393	CONTINUER	오호.	[2]	[4]	[14]
7	AH0001	32.401	32.766	CONTINUER	네.	[2]	[4]	[19]
8	AH0001	33.915	34.21	CONTINUER	예.	[2]	[5]	[4]
9	AH0001	35.153	36.863	AFFIRMATIVE	어. 예. 그렇겠네요.	[2]	[5]	[6]
10	AH0001	42.077	42.447	CONTINUER	아.	[2]	[6]	[9]
11	AH0001	46.219	46.379	CONTINUER	예.	[4]	[9]	[3]
12	AH0001	47.992	48.426	CONTINUER	네.	[4]	[10]	[3]
13	AH0001	54.446	54.831	CONTINUER	네.	[4]	[11]	[10]
14	AH0001	56.411	57.591	UNDERSTANDING	아하. 예.	[4]	[11]	[16]
