bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	11.097	11.829	CONTINUER	네. 네.	[1]	[1]	[12]
2	AH0002	13.912	14.387	AFFIRMATIVE	그렇죠.	[1]	[2]	[4]
3	AH0002	30.831	31.246	CONTINUER	음.	[3]	[5]	[1]
4	AH0002	36.631	37.156	CONTINUER	네.	[3]	[5]	[8]
5	AH0002	44.43	44.805	CONTINUER	예.	[3]	[6]	[3]
6	AH0001	49.59	49.85	CONTINUER	예.	[4]	[7]	[5]
7	AH0001	56.284	57.214	AFFIRMATIVE	예. 예. 그렇습니다.	[6]	[9]	[3]
8	AH0001	59.109	59.494	AFFIRMATIVE	그렇죠.	[6]	[9]	[7]
9	AH0001	60.464	61.154	AFFIRMATIVE	그렇습니다. 예.	[6]	[9]	[10]
10	AH0002	83.007	83.367	CONTINUER	으음.	[9]	[14]	[2]
11	AH0002	91.668	92.108	CONTINUER	네.	[9]	[15]	[6]
12	AH0002	97.835	98.512	CONTINUER	어.	[9]	[15]	[15]
13	AH0001	102.129	102.519	AFFIRMATIVE	그렇죠.	[10]	[17]	[6]
14	AH0001	104.475	104.79	AFFIRMATIVE	그렇죠.	[10]	[17]	[10]
15	AH0002	108.278	108.703	CONTINUER	으음.	[11]	[18]	[1]
16	AH0002	117.787	118.352	CONTINUER	네.	[11]	[19]	[7]
17	AH0002	127.227	127.749	CONTINUER	음.	[11]	[19]	[16]
18	AH0001	132.95	133.165	CONTINUER	예.	[12]	[21]	[3]
19	AH0001	136.055	137.295	AFFIRMATIVE	그렇죠. 그렇죠.	[12]	[21]	[8]
20	AH0002	143.747	144.657	CONTINUER	어.	[13]	[22]	[8]
21	AH0002	150.168	150.433	CONTINUER	네.	[15]	[24]	[2]
22	AH0002	151.928	152.463	CONTINUER	음.	[15]	[24]	[5]
23	AH0001	161.159	161.399	CONTINUER	네.	[16]	[25]	[7]
24	AH0001	166.799	167.389	CONTINUER	네네네.	[16]	[25]	[21]
25	AH0001	185.214	185.559	AFFIRMATIVE	그렇죠.	[18]	[28]	[8]
26	AH0002	198.501	198.891	CONTINUER	음.	[19]	[29]	[11]
27	AH0001	208.788	209.003	CONTINUER	네.	[20]	[31]	[8]
28	AH0001	211.518	211.833	CONTINUER	예.	[20]	[31]	[14]
29	AH0001	217.832	218.373	AFFIRMATIVE	그렇습니다.	[20]	[32]	[7]
30	AH0001	218.807	220.947	AFFIRMATIVE	네. 네. 네네. 그렇습니다.	[20]	[33]	[2]
31	AH0001	230.333	230.548	CONTINUER	예.	[22]	[35]	[1]
32	AH0002	238.293	238.588	CONTINUER	어.	[23]	[36]	[2]
33	AH0001	242.885	243.12	CONTINUER	네.	[24]	[37]	[3]
34	AH0001	247.71	248.18	CONTINUER	예. 예.	[26]	[39]	[3]
35	AH0001	251.201	251.751	AFFIRMATIVE	그렇습니다.	[26]	[40]	[6]
36	AH0001	255.467	255.772	CONTINUER	네.	[26]	[41]	[3]
37	AH0001	257.067	257.317	CONTINUER	네.	[26]	[41]	[6]
38	AH0002	268.269	268.524	CONTINUER	음.	[27]	[44]	[5]
39	AH0002	272.149	272.369	CONTINUER	네.	[27]	[44]	[11]
40	AH0002	276.25	276.717	CONTINUER	예. 예.	[27]	[45]	[7]
41	AH0002	282.507	282.832	CONTINUER	어.	[27]	[46]	[5]
42	AH0002	283.812	284.307	CONTINUER	예. 예.	[27]	[46]	[8]
43	AH0002	296.282	296.657	CONTINUER	예.	[29]	[49]	[5]
44	AH0002	300.037	300.587	CONTINUER	예.	[29]	[49]	[10]
45	AH0002	304.615	305.055	CONTINUER	예.	[29]	[50]	[4]
46	AH0002	323.696	324.006	CONTINUER	음.	[33]	[55]	[4]
47	AH0001	327.099	327.374	AFFIRMATIVE	그렇죠.	[34]	[56]	[6]
48	AH0002	334.205	334.74	CONTINUER	음.	[35]	[57]	[6]
49	AH0001	339.422	339.667	CONTINUER	예.	[36]	[58]	[5]
50	AH0001	341.502	341.792	CONTINUER	예. 예.	[36]	[58]	[10]
51	AH0001	354.239	354.454	CONTINUER	예.	[38]	[61]	[1]
52	AH0001	357.024	358.004	AFFIRMATIVE	그렇습니다. 예.	[38]	[61]	[8]
53	AH0001	361.36	361.525	CONTINUER	예.	[38]	[62]	[4]
54	AH0002	365.062	365.397	CONTINUER	음.	[39]	[63]	[6]
55	AH0002	369.737	370.452	CONTINUER	아.	[39]	[63]	[11]
56	AH0001	372.863	373.153	CONTINUER	예.	[40]	[64]	[3]
57	AH0002	386.316	386.521	CONTINUER	음.	[43]	[67]	[3]
58	AH0001	391.491	392.506	AFFIRMATIVE	그렇죠. 예.	[44]	[68]	[5]
59	AH0001	393.428	393.669	CONTINUER	예.	[44]	[69]	[1]
60	AH0001	396.184	396.409	CONTINUER	예.	[44]	[69]	[9]
61	AH0001	402.558	402.778	CONTINUER	네.	[46]	[71]	[12]
62	AH0001	405.851	406.513	AFFIRMATIVE	그렇죠.	[46]	[72]	[8]
63	AH0001	421.086	422.591	AFFIRMATIVE	그렇죠. 예. 예.	[48]	[75]	[7]
64	AH0001	442.512	442.687	CONTINUER	네.	[50]	[78]	[1]
65	AH0001	443.562	443.937	CONTINUER	예예.	[50]	[78]	[3]
66	AH0002	454.943	455.348	CONTINUER	어.	[53]	[82]	[2]
67	AH0002	464.859	465.259	CONTINUER	음.	[53]	[83]	[6]
68	AH0002	477.275	477.675	REQUEST_CONFIRMATION	그래요?	[53]	[85]	[6]
69	AH0002	478.74	479.4	CONTINUER	어.	[53]	[85]	[9]
70	AH0002	482.44	482.73	CONTINUER	응.	[53]	[86]	[2]
71	AH0001	493.144	493.429	CONTINUER	네.	[54]	[87]	[4]
72	AH0001	495.039	495.264	CONTINUER	예.	[54]	[87]	[5]
73	AH0001	500.211	500.386	CONTINUER	예.	[54]	[88]	[3]
74	AH0001	505.45	505.655	CONTINUER	예.	[56]	[90]	[1]
75	AH0002	512.284	512.524	CONTINUER	응.	[57]	[91]	[6]
76	AH0002	527.75	528.77	CONTINUER	예. 예. 예.	[57]	[94]	[3]
77	AH0002	537.239	538.054	CONTINUER	네. 예.	[57]	[95]	[5]
78	AH0002	544.725	545.105	CONTINUER	어.	[57]	[96]	[8]
79	AH0001	561.715	562.32	AFFIRMATIVE	그렇습니다.	[60]	[101]	[10]
80	AH0001	563.195	563.435	CONTINUER	예.	[60]	[101]	[13]
81	AH0002	567.678	567.903	CONTINUER	예.	[61]	[102]	[5]
82	AH0002	579.475	579.75	CONTINUER	응.	[63]	[105]	[3]
83	AH0002	581.285	581.52	CONTINUER	응.	[63]	[105]	[6]
84	AH0002	589.046	589.401	CONTINUER	응.	[63]	[107]	[2]
85	AH0002	595.762	596.107	CONTINUER	응.	[65]	[110]	[2]
86	AH0002	605.413	606.533	UNDERSTANDING	음.	[65]	[111]	[3]
87	AH0001	626.39	626.6	CONTINUER	예.	[68]	[116]	[5]
88	AH0002	637.714	638.114	CONTINUER	음.	[69]	[118]	[3]
89	AH0002	645.119	645.689	CONTINUER	예. 예.	[71]	[120]	[3]
90	AH0002	656.214	656.519	CONTINUER	음.	[73]	[122]	[9]
91	AH0002	659.154	659.389	CONTINUER	예.	[73]	[122]	[14]
92	AH0002	662.679	663.52	CONTINUER	예. 예.	[73]	[123]	[4]
93	AH0002	665.765	666.306	CONTINUER	예.	[73]	[124]	[3]
94	AH0002	675.842	676.352	CONTINUER	음.	[73]	[125]	[13]
95	AH0002	677.995	678.58	CONTINUER	음.	[73]	[126]	[3]
96	AH0001	685.11	685.32	CONTINUER	네.	[74]	[127]	[5]
97	AH0001	686.976	687.526	AFFIRMATIVE	그렇죠.	[74]	[127]	[7]
