uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.64	0.82	어	[]
1	1	2	AH0001	0.94	1.181	그렇지	[]
1	1	3	AH0001	1.201	1.521	않았으면	[]
1	1	4	AH0001	1.641	2.262	지금까지도	[]
1	1	5	AH0001	2.843	3.604	활동하셨을	[]
1	1	6	AH0001	3.684	3.724	것	[]
1	1	7	AH0001	3.744	4.044	같은데	[]
1	1	8	AH0001	4.224	4.304	예	[]
1	1	9	AH0001	4.365	5.045	좀	[]
1	1	10	AH0001	5.546	5.826	아쉬운	[]
1	1	11	AH0001	5.906	6.247	생각도	[]
1	1	12	AH0001	6.327	6.607	들고.	[]
1	2	1	AH0001	7.458	7.879	또	[]
1	2	2	AH0001	8.259	8.6	그야말로	[]
1	2	3	AH0001	8.68	8.981	전후	[]
1	2	4	AH0001	9.061	9.301	독일	[]
1	2	5	AH0001	9.321	9.602	문학의	[]
1	2	6	AH0001	9.722	10.203	계보를	[]
1	2	7	AH0001	10.283	10.644	잇는	[]
1	2	8	AH0001	10.664	11.746	어	[]
1	2	9	AH0001	12.026	12.387	자타가	[]
1	2	10	AH0001	12.467	12.788	공인하는	[]
1	2	11	AH0001	12.868	13.028	그런	[]
1	2	12	AH0001	13.108	13.87	작가였던	[]
1	2	13	AH0001	13.91	13.97	것	[]
1	2	14	AH0001	14.01	14.571	같고요.	[]
2	3	1	AH0002	14.572	14.855	네	[]
2	3	2	AH0002	14.996	15.44	대표적인	[]
2	3	3	AH0002	15.501	16.147	작가구요.	[1]
2	4	1	AH0002	17.003	17.103	제	[]
2	4	2	AH0002	17.203	17.504	짧은	[]
2	4	3	AH0002	17.584	17.845	독서	[]
2	4	4	AH0002	17.905	18.546	이력에	[]
2	4	5	AH0002	18.627	19.168	비춰봐도	[]
2	4	6	AH0002	19.749	20.892	제발트를	[]
2	4	7	AH0002	21.393	21.894	빼고서는	[2]
2	4	8	AH0002	22.255	22.615	독일	[]
2	4	9	AH0002	22.856	23.157	문학의	[]
2	4	10	AH0002	23.257	23.698	계보를	[3]
2	4	11	AH0002	24.259	24.62	제대로	[]
2	4	12	AH0002	24.82	25.101	얘기할	[]
2	4	13	AH0002	25.221	25.281	수	[]
2	4	14	AH0002	25.301	25.522	없을	[]
2	4	15	AH0002	25.582	25.642	것	[]
2	4	16	AH0002	25.722	26.083	같다.	[4]
2	5	1	AH0002	26.604	27.325	생각합니다.	[]
3	6	1	AH0001	27.435	27.615	네	[]
3	6	2	AH0001	28.256	28.436	지난	[]
3	6	3	AH0001	28.516	28.616	주에	[]
3	6	4	AH0001	28.677	28.917	저희가	[]
3	6	5	AH0001	28.957	28.997	인제	[]
3	6	6	AH0001	29.057	29.397	이탈리아	[]
3	6	7	AH0001	29.478	29.998	작가를	[]
3	6	8	AH0001	30.038	30.799	읽었습니다만은	[]
3	6	9	AH0001	30.999	31.48	그때도	[]
3	6	10	AH0001	31.5	32.021	그렇게	[]
3	6	11	AH0001	32.121	32.421	일찍	[]
3	6	12	AH0001	32.722	33.162	그	[]
3	6	13	AH0001	33.503	33.763	세상을	[]
3	6	14	AH0001	33.863	34.123	떠나지	[]
3	6	15	AH0001	34.163	34.684	않았으면	[]
3	6	16	AH0001	35.285	35.505	노벨	[]
3	6	17	AH0001	35.585	36.286	문학상까지도	[]
3	6	18	AH0001	36.386	36.827	수상했을	[]
3	6	19	AH0001	36.907	37.828	작가였다.	[]
3	7	1	AH0001	37.829	38.069	하는	[]
3	7	2	AH0001	38.089	38.45	얘기를	[]
3	7	3	AH0001	38.55	38.771	같이	[]
3	7	4	AH0001	38.811	39.552	나눴었는데	[]
3	7	5	AH0001	40.013	40.353	제발트	[]
3	7	6	AH0001	40.374	40.554	역시	[]
3	7	7	AH0001	40.594	41.215	그렇겠어요.	[]
4	8	1	AH0002	41.215	41.296	네.	[]
4	8	2	AH0002	41.397	41.619	많은	[]
4	8	3	AH0002	41.68	42.225	사람들이	[]
4	8	4	AH0002	42.488	42.69	그렇게	[5]
4	8	5	AH0002	42.731	43.256	인정합니다.	[]
4	9	1	AH0002	43.669	43.79	어	[]
4	9	2	AH0002	43.89	44.091	이렇게	[]
4	9	3	AH0002	44.192	44.513	빨리	[]
4	9	4	AH0002	44.654	44.935	세상을	[]
4	9	5	AH0002	45.036	45.357	떠날	[]
4	9	6	AH0002	45.779	45.9	줄	[]
4	9	7	AH0002	46.141	46.483	몰랐던	[]
4	9	8	AH0002	46.543	46.784	거죠.	[6]
5	10	1	AH0001	48.182	48.362	네	[]
5	10	2	AH0001	48.563	48.764	어	[]
5	10	3	AH0001	48.864	48.984	오늘	[]
5	10	4	AH0001	49.044	49.205	조금	[]
5	10	5	AH0001	49.305	49.586	낯선	[]
5	10	6	AH0001	49.666	50.208	작가일	[]
5	10	7	AH0001	50.328	50.428	수도	[]
5	10	8	AH0001	50.448	51.311	있겠습니다만은	[]
5	10	9	AH0001	51.391	51.511	우리	[]
5	10	10	AH0001	51.591	51.852	청취자	[]
5	10	11	AH0001	51.872	52.534	여러분들도	[]
5	10	12	AH0001	52.554	52.714	또	[]
5	10	13	AH0001	52.855	53.176	새로운	[]
5	10	14	AH0001	53.276	53.717	작가를	[]
5	10	15	AH0001	53.837	53.918	한	[]
5	10	16	AH0001	53.998	54.178	사람	[]
5	10	17	AH0001	54.218	54.419	알게	[]
5	10	18	AH0001	54.499	54.76	되는	[]
5	10	19	AH0001	55.021	55.422	기회로	[]
5	10	20	AH0001	55.502	55.723	삼아	[]
5	10	21	AH0001	55.823	56.144	주시기를	[]
5	10	22	AH0001	56.204	57.006	바랍니다.	[]
5	11	1	AH0001	57.006	57.247	독일	[]
5	11	2	AH0001	57.367	57.788	작가	[]
5	11	3	AH0001	57.949	58.491	제발트	[]
5	11	4	AH0001	58.631	58.832	얘기를	[]
5	11	5	AH0001	58.912	58.972	해	[]
5	11	6	AH0001	59.012	59.935	보겠는데요.	[]
5	12	1	AH0001	59.935	60.396	어	[]
5	12	2	AH0001	60.516	60.636	오늘	[]
5	12	3	AH0001	60.656	60.836	인제	[]
5	12	4	AH0001	60.916	61.337	제발트의	[]
5	12	5	AH0001	61.377	61.517	여러	[]
5	12	6	AH0001	61.577	61.858	작품	[]
5	12	7	AH0001	61.938	62.799	가운데서도	[]
5	12	8	AH0001	63.079	63.86	현기증	[]
5	12	9	AH0001	64.181	66.083	감정들이라는	[]
5	12	10	AH0001	66.203	66.764	제목의	[]
5	12	11	AH0001	67.124	67.785	작품을	[]
5	12	12	AH0001	67.845	68.066	가지고	[]
5	12	13	AH0001	68.106	68.306	얘기를	[]
5	12	14	AH0001	68.326	69.067	합니다.	[]
5	13	1	AH0001	69.067	69.429	어떤	[]
5	13	2	AH0001	69.59	70.134	내용인가요?	[]
5	13	3	AH0001	70.295	70.456	큰	[]
5	13	4	AH0001	70.919	71.261	틀부터	[]
5	13	5	AH0001	71.321	71.402	좀	[]
5	13	6	AH0001	71.502	71.764	설명을	[]
5	13	7	AH0001	71.865	71.965	좀	[]
5	13	8	AH0001	72.146	72.891	부탁드릴까요?	[]
6	14	1	AH0002	72.888	72.968	네.	[]
6	14	2	AH0002	73.39	74.333	제발트의	[]
6	14	3	AH0002	74.393	74.955	작품들은	[]
6	14	4	AH0002	75.135	75.256	다	[]
6	14	5	AH0002	75.356	75.597	번역이	[]
6	14	6	AH0002	75.637	75.978	됐습니다.	[7]
6	14	7	AH0002	76.179	76.62	당국에는	[]
6	15	1	AH0002	77.868	78.13	아	[]
6	15	2	AH0002	78.371	78.834	이민자들	[]
6	15	3	AH0002	78.935	79.297	토성의	[]
6	15	4	AH0002	79.377	79.518	고리.	[]
6	16	1	AH0002	79.941	80.284	어	[]
6	16	2	AH0002	80.445	81.191	비평적	[]
6	16	3	AH0002	81.211	81.473	에세이인	[]
6	16	4	AH0002	81.655	82.26	공중전과	[]
6	16	5	AH0002	82.28	82.34	문학.	[]
6	17	1	AH0002	82.562	83.584	아우스터리츠까지	[]
6	17	2	AH0002	84.225	85.446	그중에서	[]
6	17	3	AH0002	85.466	85.486	이	[]
6	17	4	AH0002	85.907	86.308	현기증	[]
6	17	5	AH0002	86.368	87.229	감정들이	[]
6	17	6	AH0002	87.249	87.269	어	[]
6	17	7	AH0002	88.391	88.791	제발트를	[]
6	17	8	AH0002	88.872	89.192	대표하는	[]
6	17	9	AH0002	89.252	89.973	작품이자	[]
6	17	10	AH0002	90.895	91.055	이른바	[]
6	17	11	AH0002	91.135	91.616	데뷔작이라	[]
6	17	12	AH0002	91.656	92.076	해야할까요?	[]
6	17	13	AH0002	92.577	92.858	자신의	[]
6	17	14	AH0002	92.918	93.178	이름을	[]
6	17	15	AH0002	93.278	93.519	알린.	[8]
6	18	1	AH0002	94.341	95.104	어	[]
6	18	2	AH0002	95.264	95.425	이런	[]
6	18	3	AH0002	95.505	95.706	말을	[]
6	18	4	AH0002	95.907	96.208	굳이	[]
6	18	5	AH0002	96.93	97.071	써야	[]
6	18	6	AH0002	97.271	97.352	할	[]
6	18	7	AH0002	97.412	97.472	것	[]
6	18	8	AH0002	97.512	98.315	같은데요.	[9]
6	18	9	AH0002	98.516	99.138	걸작입니다.	[10]
6	19	1	AH0002	99.766	99.986	에	[]
