uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.462	분야별	[]
1	1	2	DG0001	0.542	0.883	전문가와	[]
1	1	3	DG0001	0.924	1.265	함께하는	[]
1	1	4	DG0001	1.325	1.546	요즘	[]
1	1	5	DG0001	1.626	1.787	뜨는	[]
1	1	6	DG0001	1.867	2.249	정보가	[]
1	1	7	DG0001	2.369	2.751	이야기가	[]
1	1	8	DG0001	2.771	2.911	있는	[]
1	1	9	DG0001	2.992	3.112	시간	[]
1	2	1	DG0001	3.314	3.774	뜨더라	[]
1	2	2	DG0001	4.054	4.335	카더라	[]
1	2	3	DG0001	4.475	4.535	내	[]
1	2	4	DG0001	4.595	4.795	삶을	[]
1	2	5	DG0001	4.875	5.095	채우는	[]
1	2	6	DG0001	5.155	5.375	오늘의	[]
1	2	7	DG0001	5.475	5.735	토픽	[]
1	2	8	DG0001	5.915	6.216	뜨더라	[]
1	2	9	DG0001	6.316	6.676	카더라	[]
1	2	10	DG0001	6.756	6.976	화요일	[]
1	2	11	DG0001	6.996	7.196	아침은	[]
1	2	12	DG0001	7.476	7.656	나우	[]
1	2	13	DG0001	7.857	8.117	오늘의	[]
1	2	14	DG0001	8.197	8.517	세상	[]
1	2	15	DG0001	8.637	9.017	확실한	[]
1	2	16	DG0001	9.157	9.578	트렌드를	[]
1	2	17	DG0001	9.758	10.318	살펴봅니다	[]
1	2	18	DG0001	10.378	10.638	오늘도	[]
1	2	19	DG0001	10.678	11.098	스튜디오의	[]
1	2	20	DG0001	11.198	11.359	트렌드	[]
1	2	21	DG0001	11.419	11.679	전문가	[]
1	2	22	DG0001	11.739	12.159	@이름1	[]
1	2	23	DG0001	12.239	12.499	박사와	[]
1	2	24	DG0001	12.539	12.999	함께합니다	[]
1	2	25	DG0001	13.019	13.5	안녕하세요?	[]
2	3	1	DG0002	14.0	14.447	안녕하세요?	[]
3	4	1	DG0001	14.447	14.488	날씨	[]
3	4	2	DG0001	14.529	14.55	춥죠?	[]
4	5	1	DG0002	15.288	15.829	어우	[]
4	5	2	DG0002	15.949	16.15	추워요	[]
4	5	3	DG0002	16.17	16.591	추워요.	[1]
4	5	4	DG0002	16.611	16.811	진짜	[]
4	5	5	DG0002	16.952	17.072	겨울	[]
4	5	6	DG0002	17.112	17.333	같네요.	[]
