bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	3.29	3.565	CONTINUER	네.	[1]	[1]	[10]
2	AH0002	14.646	14.866	CONTINUER	예.	[1]	[2]	[5]
3	AH0001	19.774	20.254	CONTINUER	네.	[2]	[3]	[9]
4	AH0001	21.924	22.149	CONTINUER	네.	[2]	[3]	[12]
5	AH0001	26.529	26.799	CONTINUER	음.	[2]	[3]	[22]
6	AH0001	30.893	31.478	UNDERSTANDING	네.	[2]	[4]	[5]
7	AH0001	33.233	33.633	CONTINUER	음.	[2]	[4]	[10]
8	AH0001	36.439	37.006	AFFIRMATIVE	맞아요.	[2]	[4]	[14]
9	AH0001	38.181	38.626	AFFIRMATIVE	그쵸.	[2]	[5]	[2]
10	AH0001	43.86	44.165	CONTINUER	음.	[2]	[6]	[3]
11	AH0001	48.07	48.965	UNDERSTANDING	아. 네.	[2]	[6]	[11]
12	AH0002	54.432	54.737	CONTINUER	네.	[3]	[7]	[3]
13	AH0001	58.487	58.647	CONTINUER	음.	[4]	[9]	[3]
14	AH0001	62.027	62.367	CONTINUER	네.	[4]	[9]	[8]
15	AH0001	64.405	64.92	UNDERSTANDING	음.	[4]	[10]	[2]
16	AH0001	67.535	67.805	CONTINUER	네.	[4]	[10]	[11]
17	AH0001	72.03	73.215	UNDERSTANDING	음.	[4]	[10]	[21]
18	AH0001	74.857	75.207	CONTINUER	네.	[4]	[11]	[4]
19	AH0001	78.552	79.327	UNDERSTANDING	음.	[4]	[11]	[9]
20	AH0001	113.878	114.158	CONTINUER	음.	[8]	[16]	[7]
21	AH0001	118.643	119.028	CONTINUER	네.	[8]	[16]	[14]
22	AH0001	121.89	122.115	CONTINUER	음.	[8]	[17]	[2]
23	AH0001	125.305	125.595	UNDERSTANDING	아.	[8]	[17]	[10]
24	AH0001	126.835	127.1	CONTINUER	네.	[8]	[17]	[12]
25	AH0001	129.02	130.035	UNDERSTANDING	음. 네.	[8]	[17]	[17]
26	AH0001	133.744	134.084	CONTINUER	음.	[8]	[18]	[6]
27	AH0001	151.006	151.456	CONTINUER	예.	[10]	[21]	[5]
28	AH0001	153.741	154.221	UNDERSTANDING	음.	[10]	[21]	[8]
29	AH0001	157.307	157.839	AFFIRMATIVE	맞아요.	[10]	[21]	[20]
30	AH0001	160.344	160.944	UNDERSTANDING	음.	[10]	[22]	[6]
31	AH0001	162.049	162.429	UNDERSTANDING	음.	[10]	[22]	[11]
32	AH0001	163.249	163.459	CONTINUER	네.	[10]	[22]	[14]
33	AH0002	169.014	169.244	CONTINUER	예.	[11]	[23]	[8]
34	AH0002	175.439	175.794	CONTINUER	음.	[11]	[23]	[25]
35	AH0002	182.108	182.318	CONTINUER	네.	[13]	[25]	[3]
36	AH0002	183.513	183.823	CONTINUER	음.	[13]	[25]	[8]
37	AH0001	205.548	205.853	CONTINUER	네.	[16]	[29]	[6]
38	AH0001	211.868	213.338	UNDERSTANDING	음. 네.	[16]	[29]	[17]
39	AH0001	215.936	216.306	CONTINUER	네.	[16]	[30]	[4]
40	AH0001	218.756	218.971	CONTINUER	음.	[16]	[30]	[6]
41	AH0001	221.136	222.351	UNDERSTANDING	아.	[16]	[30]	[9]
42	AH0001	223.476	223.776	CONTINUER	네.	[16]	[30]	[13]
43	AH0001	228.514	228.819	CONTINUER	네.	[16]	[31]	[4]
44	AH0001	230.939	231.634	UNDERSTANDING	음.	[16]	[31]	[6]
45	AH0001	250.282	251.432	UNDERSTANDING	음.	[18]	[35]	[9]
46	AH0001	256.401	256.701	CONTINUER	네.	[18]	[36]	[4]
47	AH0001	266.421	266.706	CONTINUER	으흠.	[18]	[36]	[16]
48	AH0001	270.265	270.69	UNDERSTANDING	아.	[18]	[37]	[6]
49	AH0001	274.028	274.338	CONTINUER	음.	[18]	[38]	[4]
50	AH0001	281.163	282.313	UNDERSTANDING	음.	[18]	[38]	[17]
51	AH0002	297.311	297.661	CONTINUER	네.	[21]	[42]	[6]
52	AH0001	304.96	306.405	NEGATIVE_SURPRISE	아! 네.	[22]	[43]	[6]
53	AH0001	308.526	308.776	CONTINUER	음.	[22]	[44]	[3]
54	AH0001	313.531	313.791	CONTINUER	네.	[22]	[44]	[11]
55	AH0001	317.951	318.821	UNDERSTANDING	아.	[22]	[44]	[22]
56	AH0001	323.09	323.66	UNDERSTANDING	음.	[22]	[45]	[10]
57	AH0001	325.525	325.93	CONTINUER	네.	[22]	[45]	[15]
58	AH0001	329.62	330.255	UNDERSTANDING	아.	[22]	[45]	[22]
59	AH0001	332.674	333.669	UNDERSTANDING	음. 네.	[22]	[46]	[6]
60	AH0001	336.519	337.444	POSITIVE_SURPRISE	아! 네.	[22]	[46]	[15]
61	AH0001	345.391	346.006	CONTINUER	네.	[22]	[48]	[7]
62	AH0001	349.271	350.031	UNDERSTANDING	음.	[22]	[48]	[12]
63	AH0001	373.499	373.904	UNDERSTANDING	음.	[28]	[54]	[5]
64	AH0001	377.179	377.494	CONTINUER	네.	[28]	[54]	[14]
65	AH0001	379.929	380.189	CONTINUER	음.	[28]	[54]	[17]
66	AH0001	382.639	383.034	CONTINUER	네.	[28]	[54]	[24]
