bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	19.188	21.728	CONTINUER	아. 네네네. 네.	[6]	[7]	[6]
2	AH0001	52.948	53.268	CONTINUER	네.	[10]	[13]	[8]
3	AH0001	86.447	87.032	CONTINUER	네.	[16]	[21]	[12]
4	AH0001	93.362	94.027	ASSESSMENT	어.	[16]	[22]	[12]
5	AH0001	119.373	120.583	UNDERSTANDING	네.	[18]	[27]	[9]
6	AH0001	134.211	134.546	CONTINUER	네.	[20]	[30]	[4]
7	AH0002	152.74	154.54	AFFIRMATIVE	그렇죠. 네.	[21]	[32]	[8]
8	AH0002	156.826	157.626	CONTINUER	네.	[21]	[33]	[5]
9	AH0002	160.892	162.062	CONTINUER	네. 네.	[21]	[33]	[14]
10	AH0001	193.398	194.233	CONTINUER	음.	[26]	[40]	[15]
11	AH0002	203.207	204.186	AFFIRMATIVE	그렇죠.	[27]	[42]	[8]
12	AH0001	210.948	211.393	CONTINUER	어.	[28]	[44]	[10]
13	AH0002	253.148	253.593	CONTINUER	네.	[31]	[50]	[12]
14	AH0001	284.303	284.683	CONTINUER	네.	[34]	[54]	[18]
15	AH0001	296.637	297.187	CONTINUER	음.	[34]	[56]	[12]
16	AH0001	311.363	311.733	CONTINUER	네.	[34]	[58]	[1]
17	AH0001	318.08	319.22	CONTINUER	음.	[34]	[58]	[18]
18	AH0001	356.643	357.008	CONTINUER	네.	[38]	[63]	[15]
19	AH0001	375.702	376.452	CONTINUER	네.	[40]	[66]	[2]
20	AH0002	393.687	394.112	CONTINUER	네.	[41]	[68]	[6]
21	AH0002	398.352	398.957	AFFIRMATIVE	그렇죠.	[41]	[68]	[16]
22	AH0001	403.601	404.731	AFFIRMATIVE	그렇군요. 네.	[42]	[69]	[6]
23	AH0001	418.344	419.084	CONTINUER	네.	[42]	[71]	[17]
24	AH0001	427.02	427.571	CONTINUER	음.	[42]	[72]	[15]
25	AH0002	479.547	481.042	NEGATIVE_SURPRISE	네. 음.	[47]	[81]	[7]
26	AH0002	489.108	489.803	CONTINUER	네.	[47]	[81]	[23]
27	AH0002	493.963	494.628	CONTINUER	네.	[47]	[82]	[10]
28	AH0002	496.714	497.439	AFFIRMATIVE	그렇죠.	[47]	[83]	[1]
29	AH0001	530.188	531.043	CONTINUER	네.	[50]	[88]	[10]
30	AH0001	538.209	539.334	CONTINUER	음.	[50]	[89]	[14]
31	AH0001	547.21	548.049	CONTINUER	네.	[50]	[91]	[1]
32	AH0001	592.429	592.634	CONTINUER	네.	[54]	[97]	[7]
33	AH0001	600.784	601.529	CONTINUER	음.	[54]	[97]	[24]
34	AH0001	649.259	649.559	CONTINUER	네.	[56]	[103]	[5]
35	AH0001	660.248	660.673	CONTINUER	네.	[56]	[104]	[9]
36	AH0002	679.201	679.551	CONTINUER	네.	[57]	[107]	[6]
37	AH0002	683.445	683.83	CONTINUER	네.	[57]	[107]	[13]
38	AH0002	688.391	688.751	CONTINUER	네.	[57]	[108]	[9]
39	AH0001	707.206	708.211	CONTINUER	음.	[58]	[113]	[1]
40	AH0001	714.001	714.471	CONTINUER	네.	[58]	[113]	[15]
41	AH0002	742.684	743.379	CONTINUER	네.	[61]	[117]	[9]
42	AH0002	773.468	773.878	CONTINUER	네.	[63]	[122]	[7]
43	AH0001	783.111	783.406	CONTINUER	네.	[64]	[123]	[6]
44	AH0001	799.354	800.229	CONTINUER	네.	[66]	[126]	[7]
45	AH0002	804.706	805.336	CONTINUER	네.	[67]	[127]	[7]
46	AH0002	810.161	810.426	CONTINUER	네.	[67]	[127]	[17]
47	AH0001	838.71	839.075	CONTINUER	네.	[68]	[131]	[12]
48	AH0002	843.006	843.376	CONTINUER	네.	[69]	[132]	[7]
49	AH0002	845.866	846.206	CONTINUER	네.	[69]	[132]	[13]
50	AH0002	850.556	851.076	CONTINUER	네.	[69]	[133]	[9]
51	AH0001	876.291	877.436	CONTINUER	네.	[70]	[137]	[1]
52	AH0001	884.607	884.917	CONTINUER	네.	[70]	[137]	[16]
53	AH0001	905.616	905.961	CONTINUER	네.	[70]	[139]	[27]
54	AH0002	929.443	930.258	CONTINUER	네.	[71]	[142]	[12]
55	AH0001	938.673	939.088	CONTINUER	네.	[72]	[144]	[10]
56	AH0001	947.535	948.005	CONTINUER	네.	[72]	[145]	[16]
57	AH0001	987.355	987.91	CONTINUER	음.	[74]	[150]	[14]
58	AH0001	1002.467	1003.332	UNDERSTANDING	음.	[74]	[152]	[10]
59	AH0002	1018.722	1019.057	CONTINUER	네.	[75]	[155]	[9]
60	AH0001	1035.214	1035.639	CONTINUER	네.	[76]	[157]	[1]
61	AH0001	1043.161	1043.692	CONTINUER	네.	[76]	[158]	[1]
62	AH0001	1056.861	1057.821	CONTINUER	네.	[78]	[160]	[11]
63	AH0001	1063.591	1064.391	UNDERSTANDING	음.	[78]	[161]	[7]
64	AH0001	1094.435	1094.76	CONTINUER	네.	[78]	[165]	[1]
65	AH0001	1102.216	1102.841	CONTINUER	네.	[78]	[166]	[1]
