uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.754	1.196	친구는	[]
1	1	2	AH0001	1.518	2.02	소수정예가	[]
1	1	3	AH0001	2.08	2.221	제일	[]
1	1	4	AH0001	2.281	2.422	좋은	[]
1	1	5	AH0001	2.462	2.522	것	[]
1	1	6	AH0001	2.562	2.984	같아요.	[]
1	1	7	AH0001	3.326	3.547	라고	[]
1	1	8	AH0001	3.688	4.19	보내셨습니다.	[]
1	2	1	AH0001	4.466	5.589	이렇게	[1]
1	2	2	AH0001	5.749	5.87	그	[]
1	2	3	AH0001	6.03	6.331	정말	[]
1	2	4	AH0001	6.792	6.972	실제	[]
1	2	5	AH0001	7.053	7.835	친구와	[2]
1	2	6	AH0001	8.195	8.276	큰	[]
1	2	7	AH0001	8.396	8.637	차이가	[]
1	2	8	AH0001	8.677	9.078	없이	[]
1	2	9	AH0001	9.318	9.659	소수의	[]
1	2	10	AH0001	9.8	10.481	친구만으로	[]
1	2	11	AH0001	10.541	10.822	운영하는	[]
1	2	12	AH0001	10.922	11.183	분들도	[]
1	2	13	AH0001	11.223	11.584	많더라고요.	[]
1	2	14	AH0001	11.684	12.206	에스엔에스를	[]
2	3	1	AH0002	12.463	12.643	이런	[]
2	3	2	AH0002	12.743	13.464	분들은	[]
2	3	3	AH0002	14.185	14.285	딱	[]
2	3	4	AH0002	14.906	15.186	실제	[]
2	3	5	AH0002	15.306	15.867	친구를	[]
2	3	6	AH0002	15.887	16.508	에스엔에스	[]
2	3	7	AH0002	16.588	17.008	공간에	[]
2	3	8	AH0002	17.169	17.569	옮겨서	[]
2	3	9	AH0002	17.649	18.33	메신저	[]
2	3	10	AH0002	18.35	18.47	화	[]
2	3	11	AH0002	18.51	19.231	하는	[]
2	3	12	AH0002	19.271	19.371	정도의	[]
2	3	13	AH0002	19.511	19.752	역할을	[]
2	3	14	AH0002	20.773	20.793	네.	[]
2	4	1	AH0002	21.839	22.061	그런데	[]
2	4	2	AH0002	22.082	22.122	이게	[]
2	4	3	AH0002	22.142	22.183	또	[]
2	4	4	AH0002	22.264	22.466	편해	[]
2	4	5	AH0002	22.506	22.607	보일	[]
2	4	6	AH0002	22.709	22.83	때도	[]
