uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.084	그	[]
1	1	2	AH0001	1.145	1.608	대표성을	[]
1	1	3	AH0001	1.709	1.991	누가	[]
1	1	4	AH0001	2.213	2.737	부여합니까?	[]
1	2	1	AH0001	3.039	3.927	뭐	[]
1	2	2	AH0001	4.149	4.451	투표로	[]
1	2	3	AH0001	4.532	4.693	뽑은	[]
1	2	4	AH0001	4.774	5.157	사람들도	[]
1	2	5	AH0001	5.178	5.682	아니고.	[]
2	3	1	AH0002	5.682	6.562	저희가	[]
2	3	2	AH0002	6.663	7.263	인제	[]
2	3	3	AH0002	7.483	7.923	그	[]
2	3	4	AH0002	8.824	9.664	이번	[]
2	3	5	AH0002	9.984	10.425	인제	[]
2	3	6	AH0002	10.905	11.365	이른바	[]
2	3	7	AH0002	11.865	11.926	공론	[]
2	3	8	AH0002	12.026	12.286	조사	[]
2	3	9	AH0002	12.366	13.026	과정에서	[]
2	3	10	AH0002	13.126	13.506	사실은	[]
2	3	11	AH0002	14.207	14.447	제일	[]
2	3	12	AH0002	14.727	15.007	크게	[]
2	3	13	AH0002	15.047	16.508	핵심적으로	[]
2	3	14	AH0002	16.768	17.329	설계하는	[]
2	3	15	AH0002	17.449	17.929	과정에서	[]
2	4	1	AH0002	18.173	19.855	고려했던	[]
2	4	2	AH0002	19.895	21.217	것은	[]
2	4	3	AH0002	21.417	21.497	지금	[]
2	4	4	AH0002	21.577	22.118	말씀하신	[]
2	4	5	AH0002	22.258	23.439	시민의	[]
2	4	6	AH0002	23.499	24.381	대표성을	[1]
2	4	7	AH0002	24.501	25.081	어띃게	[]
2	4	8	AH0002	25.302	25.462	갖게	[]
2	4	9	AH0002	25.782	26.183	하느냐인	[]
2	4	10	AH0002	26.263	26.283	것	[]
2	4	11	AH0002	26.343	26.423	같습니다.	[]
2	5	1	AH0002	27.033	27.674	어	[]
2	5	2	AH0002	27.694	27.734	그건	[]
2	5	3	AH0002	27.834	28.415	인제	[]
2	5	4	AH0002	28.556	29.096	의제의	[]
2	5	5	AH0002	29.116	29.136	이	[]
2	5	6	AH0002	29.297	30.479	성격하고도	[]
2	5	7	AH0002	30.559	30.919	관련이	[]
2	5	8	AH0002	30.939	31.28	있을	[2]
2	5	9	AH0002	31.34	31.4	것	[]
2	5	10	AH0002	31.52	31.881	같은데요.	[]
2	6	1	AH0002	31.895	32.215	이건	[]
2	6	2	AH0002	32.376	32.977	이제	[]
2	6	3	AH0002	33.177	34.058	저희가	[]
