uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	2.081	좀	[]
1	1	2	AH0001	2.201	2.401	크게	[]
1	1	3	AH0001	2.461	2.661	그리면	[]
1	1	4	AH0001	2.761	2.901	잘	[]
1	1	5	AH0001	2.981	3.922	보이겠네라고	[]
1	1	6	AH0001	3.962	4.322	했더니	[]
1	1	7	AH0001	5.463	5.703	말	[]
1	1	8	AH0001	5.783	6.163	그림을	[]
1	1	9	AH0001	6.683	7.183	크게	[]
1	1	10	AH0001	8.304	8.644	싸우는	[]
1	1	11	AH0001	8.744	9.425	말	[]
1	1	12	AH0001	9.805	9.985	그림을	[]
1	2	1	AH0001	10.329	10.55	이	[]
1	2	2	AH0001	10.651	10.993	마음이	[]
1	2	3	AH0001	11.073	11.757	뭔지	[1]
1	2	4	AH0001	11.979	12.14	제가	[]
1	2	5	AH0001	12.2	12.341	이거	[]
1	2	6	AH0001	12.401	12.542	보고	[]
1	2	7	AH0001	12.622	12.864	마음이	[]
1	2	8	AH0001	12.944	13.206	편치	[]
1	2	9	AH0001	13.226	13.508	않아서	[]
1	3	1	AH0001	13.913	14.734	마침	[2]
1	3	2	AH0001	14.754	14.774	최	[]
1	3	3	AH0001	15.014	15.395	소장님	[]
1	3	4	AH0001	15.475	15.976	나오신다고	[]
1	3	5	AH0001	16.056	16.256	하니	[]
1	3	6	AH0001	16.316	16.697	여쭤보고	[]
1	3	7	AH0001	16.737	17.237	싶습니다.	[]
1	3	8	AH0001	17.317	17.558	이런	[]
1	3	9	AH0001	17.678	17.878	그림	[]
1	3	10	AH0001	17.978	18.299	그리는	[]
1	3	11	AH0001	18.459	18.619	우리	[]
1	3	12	AH0001	18.679	18.94	아들	[]
1	3	13	AH0001	19.34	19.56	괜찮은	[]
1	3	14	AH0001	19.62	20.241	건지요	[]
1	3	15	AH0001	20.341	20.802	해주셨어요.	[]
2	4	1	AH0002	21.052	21.514	중요한	[]
2	4	2	AH0002	21.634	21.795	건	[]
2	4	3	AH0002	22.076	22.558	그	[]
2	4	4	AH0002	22.759	22.819	까	[]
2	4	5	AH0002	22.92	23.281	보면은	[]
2	4	6	AH0002	23.301	23.522	이제	[]
2	4	7	AH0002	23.663	24.004	사람은	[]
2	4	8	AH0002	24.064	24.526	졸라맨으로	[]
2	4	9	AH0002	24.546	24.968	그렸어요.	[3]
2	5	1	AH0002	25.561	25.762	그래갖고	[]
2	5	2	AH0002	25.822	26.304	어머님이	[]
2	5	3	AH0002	26.465	26.505	요	[]
