bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	31.368	31.608	CONTINUER	네.	[2]	[3]	[11]
2	AH0001	35.641	35.826	CONTINUER	음.	[2]	[4]	[9]
3	AH0001	39.476	39.871	CONTINUER	네.	[2]	[4]	[17]
4	AH0001	45.692	46.021	CONTINUER	음.	[2]	[5]	[12]
5	AH0001	50.007	50.827	CONTINUER	네네네.	[2]	[5]	[21]
6	AH0001	54.739	55.044	CONTINUER	음.	[2]	[6]	[6]
7	AH0001	58.934	59.509	CONTINUER	음음.	[2]	[6]	[14]
8	AH0002	73.721	74.036	CONTINUER	네.	[3]	[7]	[26]
9	AH0002	81.998	82.399	CONTINUER	네.	[3]	[8]	[18]
10	AH0002	99.718	100.099	CONTINUER	네.	[3]	[10]	[6]
11	AH0001	109.394	109.709	CONTINUER	네.	[4]	[12]	[9]
12	AH0001	112.904	113.149	CONTINUER	네.	[4]	[12]	[15]
13	AH0001	117.054	117.456	CONTINUER	음.	[4]	[12]	[22]
14	AH0001	123.356	123.826	CONTINUER	네.	[4]	[13]	[14]
15	AH0001	127.286	127.681	CONTINUER	네.	[4]	[13]	[21]
16	AH0001	131.648	132.018	CONTINUER	음.	[4]	[14]	[4]
17	AH0001	141.168	141.518	CONTINUER	네.	[4]	[14]	[23]
18	AH0001	143.539	143.938	CONTINUER	음.	[4]	[14]	[28]
19	AH0001	149.231	149.645	CONTINUER	네.	[4]	[15]	[13]
20	AH0001	151.362	151.787	CONTINUER	음.	[4]	[16]	[5]
21	AH0001	153.876	154.371	CONTINUER	네.	[4]	[16]	[9]
22	AH0001	164.749	165.034	CONTINUER	네.	[4]	[17]	[10]
