bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	24.693	24.888	CONTINUER	예.	[1]	[7]	[4]
2	DG0002	29.011	29.416	CONTINUER	네.	[3]	[9]	[1]
3	DG0002	34.675	35.235	CONTINUER	예.	[3]	[10]	[7]
4	DG0002	41.25	41.694	CONTINUER	예.	[3]	[11]	[15]
5	DG0001	62.577	63.082	CONTINUER	네.	[4]	[13]	[15]
6	DG0001	66.456	67.051	CONTINUER	네.	[4]	[14]	[8]
7	DG0001	101.913	102.448	CONTINUER	네.	[6]	[19]	[11]
8	DG0002	118.19	118.735	CONTINUER	예.	[7]	[22]	[13]
9	DG0001	134.91	135.36	CONTINUER	네.	[8]	[23]	[14]
10	DG0001	151.595	152.149	CONTINUER	네.	[8]	[25]	[8]
11	DG0001	169.564	170.129	CONTINUER	네.	[8]	[27]	[6]
12	DG0001	187.202	187.657	CONTINUER	네.	[8]	[29]	[9]
13	DG0002	193.085	193.621	CONTINUER	네.	[9]	[30]	[8]
14	DG0002	200.895	201.139	CONTINUER	네.	[9]	[31]	[11]
15	DG0001	262.74	263.476	AFFIRMATIVE	그렇군요.	[10]	[37]	[13]
16	DG0001	310.156	310.681	CONTINUER	네.	[12]	[43]	[9]
17	DG0001	327.545	328.07	CONTINUER	예.	[]	[]	[]
18	DG0001	347.418	347.898	CONTINUER	네.	[14]	[48]	[11]
19	DG0001	355.287	355.743	CONTINUER	예.	[14]	[48]	[19]
20	DG0002	367.538	367.853	CONTINUER	네.	[15]	[50]	[10]
21	DG0002	376.805	377.025	CONTINUER	네.	[15]	[51]	[8]
22	DG0002	380.755	381.165	CONTINUER	네.	[15]	[51]	[19]
23	DG0001	393.684	394.1	CONTINUER	예.	[16]	[53]	[8]
24	DG0001	409.93	410.638	CONTINUER	네.	[16]	[55]	[13]
25	DG0001	416.562	417.201	CONTINUER	네.	[16]	[56]	[8]
26	DG0001	428.963	429.528	CONTINUER	네.	[16]	[57]	[12]
27	DG0001	450.829	451.424	CONTINUER	네.	[16]	[60]	[7]
28	DG0001	485.17	485.585	CONTINUER	네.	[16]	[64]	[9]
29	DG0002	493.355	493.65	CONTINUER	네.	[17]	[65]	[10]
30	DG0001	530.988	531.483	CONTINUER	네.	[18]	[70]	[10]
31	DG0001	542.836	543.517	CONTINUER	예.	[18]	[71]	[6]
32	DG0001	563.749	564.221	CONTINUER	네.	[18]	[74]	[6]
33	DG0001	567.569	568.114	CONTINUER	네.	[18]	[76]	[2]
34	DG0001	615.354	616.143	UNDERSTANDING	네.	[20]	[82]	[13]
35	DG0001	632.487	633.088	CONTINUER	네.	[20]	[84]	[10]
36	DG0001	650.398	650.903	CONTINUER	네.	[20]	[87]	[5]
37	DG0001	660.807	661.648	UNDERSTANDING	네.	[20]	[88]	[11]
38	DG0001	666.33	666.929	CONTINUER	네.	[20]	[89]	[7]
39	DG0001	688.355	688.58	CONTINUER	예.	[20]	[92]	[2]
40	DG0001	694.081	694.516	CONTINUER	예.	[20]	[93]	[6]
41	DG0001	705.375	705.784	CONTINUER	네.	[20]	[95]	[9]
42	DG0001	720.328	720.947	CONTINUER	네.	[20]	[97]	[12]
43	DG0001	729.578	729.978	CONTINUER	네.	[20]	[99]	[5]
44	DG0001	741.719	741.984	CONTINUER	네.	[20]	[100]	[13]
45	DG0001	749.182	749.603	CONTINUER	예.	[20]	[101]	[8]
46	DG0001	764.51	765.401	UNDERSTANDING	예.	[20]	[104]	[6]
47	DG0001	769.098	769.564	CONTINUER	네.	[20]	[105]	[6]
48	DG0001	780.273	781.008	CONTINUER	네.	[20]	[107]	[9]
49	DG0001	794.752	795.497	CONTINUER	네.	[20]	[108]	[15]
50	DG0001	802.539	803.2	CONTINUER	네.	[20]	[109]	[12]
51	DG0001	807.015	807.44	CONTINUER	네.	[20]	[110]	[6]
52	DG0001	812.403	812.788	CONTINUER	네.	[20]	[110]	[12]
53	DG0001	816.843	817.668	AFFIRMATIVE	그러셨군요.	[20]	[111]	[10]
54	DG0002	817.822	818.187	CONTINUER	네.	[]	[]	[]
55	DG0002	823.27	823.57	CONTINUER	네.	[21]	[112]	[9]
56	DG0002	846.484	846.968	CONTINUER	네.	[23]	[117]	[13]
57	DG0001	878.282	878.607	CONTINUER	네.	[24]	[121]	[8]
58	DG0001	891.387	891.737	CONTINUER	네.	[24]	[123]	[5]
59	DG0001	895.408	895.953	CONTINUER	네.	[24]	[123]	[10]
60	DG0001	901.656	902.218	CONTINUER	네.	[24]	[124]	[10]
61	DG0001	912.892	913.377	CONTINUER	네.	[24]	[126]	[3]
62	DG0001	916.916	917.366	CONTINUER	네.	[24]	[127]	[8]
63	DG0001	927.559	928.029	CONTINUER	네.	[26]	[130]	[2]
64	DG0001	932.894	933.464	CONTINUER	예.	[26]	[131]	[6]
65	DG0001	942.553	942.833	CONTINUER	예.	[26]	[132]	[11]
66	DG0001	970.281	970.752	AFFIRMATIVE	그렇군요.	[26]	[137]	[4]
67	DG0001	980.721	981.176	CONTINUER	예.	[26]	[138]	[13]
68	DG0002	992.44	992.726	CONTINUER	예.	[27]	[141]	[3]
69	DG0002	1000.53	1000.76	CONTINUER	예.	[27]	[143]	[7]
70	DG0001	1014.671	1015.096	CONTINUER	예.	[28]	[145]	[13]
71	DG0001	1057.182	1057.748	CONTINUER	예.	[30]	[153]	[3]
72	DG0001	1061.483	1062.138	CONTINUER	예.	[30]	[154]	[7]
73	DG0001	1079.223	1079.774	CONTINUER	네.	[30]	[156]	[7]
74	DG0002	1081.005	1081.105	CONTINUER	예.	[31]	[157]	[3]
75	DG0001	1090.946	1091.446	CONTINUER	네.	[32]	[158]	[8]
76	DG0001	1094.177	1094.652	CONTINUER	네.	[32]	[159]	[4]
77	DG0001	1105.79	1106.165	CONTINUER	네.	[32]	[161]	[11]
78	DG0001	1126.62	1126.99	CONTINUER	네.	[32]	[164]	[9]
79	DG0001	1138.307	1138.628	CONTINUER	네.	[32]	[166]	[9]
80	DG0001	1147.085	1147.66	CONTINUER	네.	[32]	[167]	[13]
81	DG0001	1157.869	1158.274	CONTINUER	네.	[32]	[169]	[7]
82	DG0001	1171.237	1171.661	CONTINUER	예.	[34]	[172]	[4]
83	DG0001	1177.142	1177.872	CONTINUER	예.	[34]	[173]	[8]
84	DG0001	1185.816	1186.602	CONTINUER	예.	[34]	[174]	[15]
85	DG0001	1192.859	1193.324	CONTINUER	예.	[34]	[176]	[7]
86	DG0001	1203.453	1204.06	AFFIRMATIVE	그렇군요.	[34]	[178]	[7]
87	DG0002	1208.99	1209.16	CONTINUER	예.	[35]	[179]	[8]
88	DG0002	1217.84	1218.125	CONTINUER	네.	[35]	[180]	[13]
89	DG0002	1221.531	1221.846	CONTINUER	네.	[35]	[181]	[7]
90	DG0002	1234.682	1235.261	CONTINUER	예.	[35]	[183]	[10]
91	DG0001	1245.324	1245.839	CONTINUER	예.	[36]	[186]	[7]
92	DG0001	1262.737	1263.171	CONTINUER	네.	[36]	[191]	[9]
93	DG0001	1274.13	1274.791	CONTINUER	네.	[36]	[192]	[16]
94	DG0001	1283.409	1283.961	CONTINUER	네.	[36]	[194]	[6]
95	DG0001	1296.863	1297.373	CONTINUER	네.	[36]	[196]	[11]
96	DG0001	1309.358	1309.927	CONTINUER	네.	[36]	[198]	[8]
97	DG0001	1323.62	1324.316	CONTINUER	네.	[36]	[200]	[4]
98	DG0001	1355.121	1355.741	CONTINUER	네.	[38]	[205]	[1]
99	DG0001	1366.008	1366.599	CONTINUER	예.	[38]	[207]	[7]
100	DG0001	1391.26	1391.786	CONTINUER	네.	[38]	[211]	[5]
101	DG0001	1396.821	1397.36	CONTINUER	예.	[38]	[212]	[4]
102	DG0001	1407.812	1408.371	CONTINUER	네.	[38]	[214]	[8]
103	DG0001	1419.529	1419.984	CONTINUER	네.	[38]	[216]	[3]
104	DG0001	1430.432	1430.733	CONTINUER	네.	[38]	[217]	[9]
105	DG0001	1460.982	1461.522	CONTINUER	네.	[38]	[222]	[8]
106	DG0001	1471.355	1471.961	CONTINUER	네.	[38]	[224]	[8]
107	DG0001	1500.709	1501.209	CONTINUER	네.	[38]	[228]	[8]
108	DG0001	1511.951	1512.456	CONTINUER	네.	[38]	[230]	[12]
109	DG0001	1535.468	1535.973	CONTINUER	네.	[38]	[233]	[8]
110	DG0001	1545.985	1546.455	CONTINUER	네.	[38]	[235]	[4]
111	DG0001	1550.364	1550.895	CONTINUER	네.	[38]	[235]	[11]
112	DG0002	1568.468	1568.922	CONTINUER	네.	[39]	[239]	[6]
113	DG0001	1590.057	1590.666	CONTINUER	네.	[40]	[243]	[11]
114	DG0001	1599.191	1600.043	AFFIRMATIVE	그렇죠.	[40]	[244]	[11]
115	DG0001	1603.983	1604.734	CONTINUER	네.	[40]	[245]	[6]
116	DG0001	1621.323	1621.779	CONTINUER	네.	[40]	[247]	[12]
117	DG0001	1632.447	1632.822	CONTINUER	네.	[40]	[249]	[9]
118	DG0001	1651.862	1652.452	CONTINUER	네.	[40]	[252]	[7]
119	DG0001	1664.635	1665.02	CONTINUER	네.	[40]	[254]	[3]
120	DG0001	1676.594	1677.14	CONTINUER	네.	[40]	[256]	[6]
121	DG0001	1690.666	1691.041	CONTINUER	네.	[40]	[258]	[9]
122	DG0001	1701.187	1702.297	AFFIRMATIVE	그렇군요. 예.	[40]	[259]	[20]
123	DG0001	1704.046	1704.566	CONTINUER	네.	[40]	[260]	[4]
124	DG0001	1714.192	1714.562	CONTINUER	예.	[42]	[262]	[6]
125	DG0001	1724.48	1724.989	CONTINUER	예.	[42]	[265]	[2]
126	DG0001	1735.251	1736.036	CONTINUER	네.	[42]	[267]	[5]
127	DG0001	1769.066	1769.431	CONTINUER	네.	[44]	[273]	[2]
128	DG0001	1794.0	1794.515	CONTINUER	네.	[44]	[276]	[5]
129	DG0001	1801.613	1802.167	CONTINUER	네.	[44]	[277]	[15]
130	DG0001	1806.161	1806.811	CONTINUER	예.	[44]	[278]	[7]
131	DG0001	1816.614	1817.104	CONTINUER	네.	[44]	[279]	[16]
132	DG0002	1828.411	1828.957	CONTINUER	네.	[45]	[281]	[6]
133	DG0001	1855.572	1855.906	CONTINUER	예.	[50]	[288]	[11]
134	DG0001	1862.232	1862.646	CONTINUER	예.	[50]	[289]	[3]
135	DG0001	1875.953	1876.418	CONTINUER	예.	[52]	[292]	[10]
136	DG0002	1908.484	1908.854	CONTINUER	네.	[55]	[300]	[3]
137	DG0001	1927.714	1928.069	CONTINUER	예.	[56]	[303]	[2]
138	DG0001	1950.876	1951.396	CONTINUER	네.	[56]	[306]	[10]
139	DG0001	1966.036	1966.781	CONTINUER	네.	[56]	[309]	[11]
140	DG0001	2016.881	2017.357	CONTINUER	네.	[56]	[315]	[10]
141	DG0001	2028.912	2029.593	CONTINUER	네.	[56]	[317]	[9]
142	DG0001	2039.212	2039.776	CONTINUER	네.	[56]	[318]	[13]
143	DG0001	2055.803	2056.474	CONTINUER	예.	[56]	[320]	[16]
144	DG0001	2063.995	2064.76	CONTINUER	네.	[56]	[321]	[13]
145	DG0001	2073.115	2073.672	CONTINUER	네.	[56]	[322]	[9]
146	DG0001	2092.186	2092.651	CONTINUER	네.	[56]	[326]	[8]
147	DG0001	2101.288	2101.974	CONTINUER	네.	[56]	[327]	[6]
148	DG0001	2107.319	2107.769	CONTINUER	네.	[56]	[328]	[8]
149	DG0001	2112.083	2112.528	CONTINUER	네.	[56]	[329]	[6]
150	DG0001	2119.983	2120.549	CONTINUER	네.	[56]	[330]	[8]
151	DG0001	2140.0	2140.295	CONTINUER	네.	[56]	[333]	[3]
152	DG0001	2151.392	2151.872	CONTINUER	네.	[56]	[335]	[4]
153	DG0001	2153.667	2154.405	CONTINUER	예.	[56]	[336]	[5]
154	DG0001	2164.729	2165.27	CONTINUER	네.	[56]	[337]	[12]
155	DG0001	2175.266	2176.101	UNDERSTANDING	예.	[56]	[338]	[12]
156	DG0001	2188.602	2189.092	CONTINUER	예.	[56]	[339]	[16]
157	DG0001	2196.01	2196.662	CONTINUER	네.	[56]	[340]	[8]
158	DG0001	2207.326	2207.876	CONTINUER	네.	[56]	[341]	[16]
159	DG0001	2217.479	2217.945	CONTINUER	네.	[56]	[342]	[11]
160	DG0001	2223.225	2223.715	CONTINUER	예.	[56]	[343]	[6]
161	DG0001	2246.159	2246.878	CONTINUER	네.	[56]	[346]	[10]
162	DG0001	2263.691	2264.217	CONTINUER	네.	[56]	[348]	[8]
163	DG0001	2284.118	2284.654	CONTINUER	네.	[56]	[351]	[11]
164	DG0002	2303.488	2303.693	CONTINUER	네.	[57]	[354]	[5]
165	DG0002	2311.025	2311.186	CONTINUER	네.	[57]	[355]	[16]
166	DG0002	2317.017	2317.382	CONTINUER	네.	[57]	[356]	[12]
167	DG0002	2330.927	2331.431	CONTINUER	네.	[57]	[358]	[12]
168	DG0001	2351.677	2352.047	CONTINUER	네.	[58]	[361]	[8]
169	DG0001	2355.985	2356.489	AFFIRMATIVE	그렇죠.	[58]	[362]	[6]
170	DG0001	2381.103	2381.583	CONTINUER	응.	[58]	[366]	[13]
171	DG0001	2388.731	2389.352	CONTINUER	네.	[58]	[367]	[10]
172	DG0001	2391.097	2391.502	CONTINUER	예.	[58]	[368]	[5]
173	DG0001	2392.895	2393.385	CONTINUER	네.	[58]	[368]	[9]
174	DG0001	2405.145	2405.675	CONTINUER	네.	[58]	[370]	[11]
175	DG0001	2411.164	2411.648	CONTINUER	네.	[58]	[371]	[11]
176	DG0001	2423.805	2424.371	CONTINUER	네.	[58]	[372]	[14]
177	DG0001	2429.565	2430.16	CONTINUER	네.	[58]	[373]	[6]
178	DG0002	2444.219	2444.499	CONTINUER	네.	[59]	[376]	[6]
179	DG0002	2449.104	2449.309	CONTINUER	예.	[59]	[376]	[19]
180	DG0002	2454.339	2454.479	CONTINUER	예.	[59]	[377]	[11]
181	DG0001	2474.324	2474.854	CONTINUER	네.	[60]	[380]	[6]
182	DG0001	2483.08	2483.735	CONTINUER	예.	[60]	[381]	[9]
183	DG0001	2513.978	2514.343	CONTINUER	네.	[60]	[386]	[8]
184	DG0001	2522.82	2523.33	CONTINUER	예.	[60]	[387]	[17]
185	DG0001	2528.162	2528.771	AFFIRMATIVE	그렇군요.	[60]	[390]	[5]
