bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	6.145	7.025	NEGATIVE_SURPRISE	음.	[1]	[1]	[8]
2	AH0002	13.486	14.256	CONTINUER	네.	[1]	[2]	[11]
3	AH0001	19.356	19.731	CONTINUER	음.	[2]	[4]	[7]
4	AH0001	21.836	22.261	CONTINUER	네.	[2]	[5]	[3]
5	AH0001	28.156	28.447	CONTINUER	네.	[2]	[6]	[9]
6	AH0001	29.252	29.807	CONTINUER	어. 음.	[2]	[7]	[1]
7	AH0001	33.601	33.926	CONTINUER	네.	[2]	[8]	[3]
8	AH0001	41.341	41.776	CONTINUER	음.	[2]	[8]	[16]
9	AH0002	44.289	44.614	CONTINUER	네.	[3]	[10]	[3]
10	AH0002	58.526	58.944	CONTINUER	네.	[3]	[12]	[11]
11	AH0002	73.555	73.955	CONTINUER	음.	[3]	[16]	[4]
12	AH0002	87.41	88.125	CONTINUER	네.	[3]	[20]	[1]
13	AH0002	92.011	92.551	CONTINUER	네.	[3]	[20]	[12]
14	AH0002	95.627	96.087	CONTINUER	음.	[3]	[21]	[11]
15	AH0002	100.416	100.966	CONTINUER	네.	[3]	[22]	[13]
16	AH0002	103.961	104.271	CONTINUER	네.	[3]	[23]	[6]
17	AH0002	106.26	106.715	CONTINUER	음.	[3]	[24]	[7]
18	AH0001	118.427	118.732	CONTINUER	네.	[4]	[27]	[7]
19	AH0001	120.567	120.891	CONTINUER	네.	[4]	[27]	[10]
20	AH0001	124.924	125.089	CONTINUER	네.	[4]	[28]	[7]
21	AH0001	127.521	127.836	CONTINUER	네.	[4]	[28]	[14]
22	AH0001	133.191	133.481	CONTINUER	네.	[4]	[29]	[10]
23	AH0001	147.645	148.38	CONTINUER	음.	[6]	[34]	[1]
24	AH0001	159.946	162.051	CONTINUER	네. 음.	[8]	[36]	[12]
25	AH0001	165.796	166.136	CONTINUER	네.	[8]	[37]	[9]
26	AH0001	171.061	171.551	CONTINUER	음.	[8]	[38]	[11]
27	AH0001	173.814	174.319	CONTINUER	아.	[8]	[39]	[5]
28	AH0001	175.204	175.384	CONTINUER	네.	[8]	[39]	[8]
29	AH0001	178.367	178.592	CONTINUER	네.	[8]	[40]	[5]
30	AH0001	182.279	183.094	CONTINUER	음음.	[8]	[41]	[5]
31	AH0001	186.379	187.519	CONTINUER	음음. 네.	[8]	[41]	[12]
32	AH0001	189.607	189.992	CONTINUER	네.	[10]	[43]	[4]
33	AH0001	192.824	193.134	CONTINUER	네.	[10]	[44]	[1]
34	AH0001	197.694	198.189	CONTINUER	음음.	[10]	[44]	[12]
35	AH0001	203.564	203.809	CONTINUER	네.	[10]	[45]	[11]
36	AH0001	207.164	208.244	CONTINUER	음음음.	[10]	[46]	[9]
37	AH0001	210.755	211.085	CONTINUER	네.	[10]	[47]	[6]
38	AH0001	212.91	213.25	CONTINUER	음.	[10]	[47]	[10]
39	AH0002	216.105	216.57	CONTINUER	예.	[11]	[48]	[3]
40	AH0002	223.326	223.957	CONTINUER	네.	[13]	[50]	[8]
