bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	14.864	15.164	CONTINUER	어.	[2]	[3]	[8]
2	AH0001	16.019	16.604	AFFIRMATIVE	그렇죠.	[2]	[3]	[12]
3	AH0001	20.624	20.914	CONTINUER	음.	[2]	[3]	[21]
4	AH0001	50.673	51.073	CONTINUER	음.	[2]	[9]	[9]
5	AH0001	55.8	55.95	CONTINUER	네.	[2]	[11]	[3]
6	AH0001	58.19	58.785	CONTINUER	음.	[2]	[11]	[7]
7	AH0001	60.535	60.825	CONTINUER	네.	[2]	[11]	[10]
8	AH0001	67.02	67.32	CONTINUER	음.	[4]	[13]	[4]
9	AH0001	70.67	71.16	CONTINUER	어.	[4]	[13]	[11]
10	AH0001	72.375	73.145	UNDERSTANDING	음.	[4]	[13]	[14]
11	AH0001	76.101	76.456	CONTINUER	네.	[4]	[14]	[5]
12	AH0001	77.647	78.252	AFFIRMATIVE	맞아요.	[4]	[14]	[10]
