uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.681	최근	[]
1	1	2	AH0001	2.062	2.262	집안	[]
1	1	3	AH0001	2.362	2.622	분위기가	[]
1	1	4	AH0001	2.703	2.823	좀	[]
1	1	5	AH0001	3.403	3.504	안	[]
1	1	6	AH0001	3.584	4.024	좋으셨을	[]
1	1	7	AH0001	4.064	4.124	것	[]
1	1	8	AH0001	4.164	4.785	같아요.	[]
1	2	1	AH0001	4.786	5.868	@상호명195	[]
1	2	2	AH0001	5.928	6.449	라이온즈	[]
1	2	3	AH0001	6.549	6.909	성적이	[]
1	2	4	AH0001	7.01	7.05	워낙	[]
1	2	5	AH0001	7.41	7.49	안	[]
1	2	6	AH0001	7.631	8.272	좋아가지고	[]
1	2	7	AH0001	8.712	9.033	그런데	[]
1	2	8	AH0001	9.053	9.073	저	[]
1	2	9	AH0001	9.674	10.215	지난주부터	[]
1	2	10	AH0001	10.255	10.475	아주	[]
1	2	11	AH0001	10.796	11.116	좋아지고	[]
1	2	12	AH0001	11.156	11.737	있더라고요.	[]
2	3	1	AH0002	11.737	12.373	그렇습니다.	[]
3	4	1	AH0001	12.373	12.835	더불어서	[]
3	4	2	AH0001	12.855	13.076	아마	[]
3	4	3	AH0001	13.217	13.337	이	[]
3	4	4	AH0001	13.458	13.639	집안	[]
3	4	5	AH0001	13.799	14.281	분위기도	[]
3	4	6	AH0001	14.482	14.944	좋아지고	[]
3	4	7	AH0001	14.964	15.226	있지	[]
3	4	8	AH0001	15.467	15.668	않을까	[]
3	4	9	AH0001	16.632	17.576	싶습니다.	[]
3	5	1	AH0001	17.576	18.839	우와우와봄	[]
3	5	2	AH0001	18.959	19.22	님	[]
3	5	3	AH0001	20.282	20.583	요즘	[]
3	5	4	AH0001	20.703	21.305	미세먼지만	[]
3	5	5	AH0001	21.345	21.605	없으면	[]
3	5	6	AH0001	21.665	21.866	기분	[]
3	5	7	AH0001	21.946	22.327	좋아요.	[]
3	6	1	AH0001	22.327	24.109	공기청정기	[]
3	6	2	AH0001	24.209	24.67	팡팡	[]
3	6	3	AH0001	24.77	25.271	틀면	[]
3	6	4	AH0001	25.911	26.272	전기	[]
3	6	5	AH0001	26.292	26.592	에너지	[]
3	6	6	AH0001	26.672	26.933	소비로	[]
3	6	7	AH0001	26.973	27.774	이어지고	[]
3	6	8	AH0001	28.254	28.294	아	[]
3	6	9	AH0001	28.374	28.855	그래요.	[]
3	7	1	AH0001	28.855	29.557	장기적	[]
3	7	2	AH0001	29.677	30.038	대책은	[]
3	7	3	AH0001	30.058	30.339	아닌	[]
3	7	4	AH0001	30.359	30.379	것	[]
3	7	5	AH0001	30.419	31.301	같아요.	[]
3	8	1	AH0001	31.301	32.723	@이름7	[]
3	8	2	AH0001	32.903	33.003	님	[]
3	8	3	AH0001	33.124	33.224	아	[]
3	8	4	AH0001	33.384	33.624	그래서	[]
