uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.065	1.348	뭐랄까	[]
1	1	2	AH0001	1.408	1.953	선생님은	[]
1	1	3	AH0001	1.993	2.014	한	[]
1	2	1	AH0001	3.064	3.89	인생을	[]
1	2	2	AH0001	3.91	3.931	한	[]
1	2	3	AH0001	4.031	4.112	세	[]
1	2	4	AH0001	4.253	4.334	번	[]
1	2	5	AH0001	4.414	4.495	쯤	[]
1	2	6	AH0001	4.575	4.757	사신	[]
1	2	7	AH0001	4.858	4.958	거	[]
1	2	8	AH0001	4.978	5.321	같아요.	[]
1	3	1	AH0001	5.625	6.16	아나운서로	[]
1	3	2	AH0001	6.18	6.201	한	[]
1	3	3	AH0001	6.365	6.386	번	[]
2	4	1	AH0002	6.468	6.55	네	[]
2	4	2	AH0002	6.571	6.715	헤	[]
2	4	3	AH0002	6.818	6.839	헤	[]
3	5	1	AH0001	6.839	7.364	교수로	[]
3	5	2	AH0001	7.424	7.525	한	[]
3	5	3	AH0001	7.666	7.868	번	[1]
3	5	4	AH0001	8.231	8.251	또	[]
3	5	5	AH0001	8.332	8.574	지금	[]
3	5	6	AH0001	8.695	8.978	현재	[]
4	6	1	AH0002	9.26	9.629	저술	[]
5	7	1	AH0001	9.956	10.117	예	[]
5	7	2	AH0001	10.217	10.559	저술	[]
5	7	3	AH0001	10.7	10.8	및	[]
5	7	4	AH0001	11.162	11.343	지금	[]
5	7	5	AH0001	11.424	11.886	활동으로	[]
5	7	6	AH0001	11.906	11.926	한	[]
5	7	7	AH0001	12.047	12.067	번	[2]
5	8	1	AH0001	13.526	14.27	지금	[]
5	8	2	AH0001	14.29	14.411	이제	[]
5	8	3	AH0001	14.511	14.994	그런	[]
5	8	4	AH0001	15.154	15.436	고민을	[]
5	8	5	AH0001	15.516	15.657	하는	[]
5	8	6	AH0001	15.737	15.959	분들이	[]
5	8	7	AH0001	16.019	16.743	많잖습니까?	[3]
5	9	1	AH0001	17.503	17.864	수	[]
5	9	2	AH0001	18.024	18.425	수명도	[]
5	9	3	AH0001	18.505	19.107	늘고	[]
5	9	4	AH0001	19.507	19.928	정년은	[]
5	9	5	AH0001	20.049	20.429	빠르고	[4]
5	10	1	AH0001	21.568	21.789	자	[]
5	10	2	AH0001	21.889	22.05	그런	[]
5	10	3	AH0001	22.131	22.372	분들을	[]
5	10	4	AH0001	22.432	22.673	위해서	[]
5	10	5	AH0001	22.753	22.874	좀	[]
5	10	6	AH0001	23.316	23.718	어	[]
5	10	7	AH0001	23.898	24.139	좋은	[]
5	10	8	AH0001	24.26	24.602	조언이	[]
5	10	9	AH0001	24.622	25.224	있으시다면	[]
5	10	10	AH0001	25.244	25.345	한	[]
5	10	11	AH0001	25.405	26.269	말씀	[]
5	10	12	AH0001	26.309	26.329	좀	[]
