uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.54	뭐	[]
1	1	2	AH0001	0.62	0.86	이런	[]
1	1	3	AH0001	0.98	1.301	결국은	[]
1	1	4	AH0001	1.381	1.541	그런	[]
1	1	5	AH0001	1.621	1.721	쪽으로	[]
1	1	6	AH0001	1.801	2.001	생각이	[]
1	1	7	AH0001	2.061	2.562	흐르면서	[]
1	1	8	AH0001	2.582	2.602	뭐	[]
1	1	9	AH0001	3.302	3.643	선처를	[]
1	1	10	AH0001	3.703	3.863	하고	[]
1	1	11	AH0001	4.023	4.103	뭐	[]
1	1	12	AH0001	4.303	4.583	집유로	[]
1	1	13	AH0001	4.623	5.324	내보낸다든지	[]
1	1	14	AH0001	5.364	5.644	이렇게	[]
1	1	15	AH0001	5.704	5.884	가게	[]
1	1	16	AH0001	5.944	6.345	되는데	[]
1	1	17	AH0001	6.825	7.206	이것	[]
1	1	18	AH0001	7.266	7.646	또한	[]
1	1	19	AH0001	7.746	8.407	예전에	[]
1	1	20	AH0001	8.987	9.287	성인지	[]
1	1	21	AH0001	9.327	9.728	감수성	[]
1	1	22	AH0001	9.828	10.028	부족	[]
1	1	23	AH0001	10.108	10.388	시절의	[]
1	1	24	AH0001	10.488	10.788	어떤	[]
1	1	25	AH0001	10.929	11.149	판단	[]
1	1	26	AH0001	11.169	11.429	기형이	[]
1	1	27	AH0001	11.469	11.849	아니었나	[]
1	1	28	AH0001	11.909	12.11	싶기도	[]
1	1	29	AH0001	12.15	12.65	하거든요.	[]
1	2	1	AH0001	12.691	12.997	어떻게	[]
1	2	2	AH0001	13.038	13.629	생각하세요?	[]
2	3	1	AH0002	13.793	14.134	네	[]
2	3	2	AH0002	14.195	14.998	맞습니다.	[]
2	4	1	AH0002	15.041	15.381	그래서	[]
2	4	2	AH0002	15.722	15.862	아	[]
2	4	3	AH0002	16.022	16.242	그	[]
2	4	4	AH0002	16.382	16.843	이제	[]
2	4	5	AH0002	17.023	17.584	이게	[]
2	4	6	AH0002	17.604	17.624	어	[]
2	4	7	AH0002	18.144	18.184	또	[]
2	4	8	AH0002	18.224	18.405	이런	[]
2	4	9	AH0002	18.505	18.825	사건을	[]
2	4	10	AH0002	18.925	19.205	진행할	[]
2	4	11	AH0002	19.266	19.326	때	[]
2	4	12	AH0002	19.486	19.626	주로	[]
2	4	13	AH0002	19.666	19.906	이게	[]
2	4	14	AH0002	20.066	20.867	형사사건에서	[]
2	4	15	AH0002	20.947	21.348	공판에	[]
2	4	16	AH0002	21.408	21.989	올려지면	[1]
2	4	17	AH0002	22.489	22.589	좀	[]
2	4	18	AH0002	22.889	23.31	피고인의	[]
2	4	19	AH0002	23.43	23.911	방어권이	[]
2	4	20	AH0002	23.991	24.211	굉장히	[]
2	4	21	AH0002	24.271	24.671	강해지기	[]
2	4	22	AH0002	24.751	24.992	때문에	[2]
2	4	23	AH0002	25.392	25.733	한편으로는	[]
2	4	24	AH0002	25.853	25.913	또	[]
2	4	25	AH0002	26.053	26.453	피해자의	[]
2	4	26	AH0002	26.533	26.974	목소리가	[]
2	4	27	AH0002	27.034	27.134	잘	[]
2	4	28	AH0002	27.274	27.575	전달이	[]
2	4	29	AH0002	27.635	27.755	되지	[]
2	4	30	AH0002	27.815	27.995	않는	[]
