bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	49.54	49.955	CONTINUER	네.	[5]	[14]	[7]
2	DG0001	86.008	86.402	CONTINUER	네.	[8]	[20]	[4]
3	DG0001	118.525	119.307	CONTINUER	예.	[10]	[24]	[12]
4	DG0002	123.956	124.196	CONTINUER	네.	[11]	[25]	[12]
5	DG0002	173.675	173.975	CONTINUER	예.	[13]	[33]	[1]
6	DG0001	196.787	197.257	CONTINUER	네.	[14]	[37]	[10]
7	DG0001	218.611	219.097	CONTINUER	네.	[14]	[40]	[9]
8	DG0001	229.598	230.205	CONTINUER	네.	[14]	[41]	[16]
9	DG0001	268.26	268.555	CONTINUER	네.	[14]	[46]	[21]
10	DG0001	285.071	285.421	CONTINUER	네.	[14]	[48]	[11]
11	DG0001	297.263	297.799	CONTINUER	네.	[14]	[50]	[10]
12	DG0002	319.138	319.567	CONTINUER	네.	[15]	[55]	[5]
13	DG0001	386.46	386.766	CONTINUER	네.	[16]	[68]	[9]
14	DG0001	399.403	399.919	CONTINUER	네.	[16]	[70]	[8]
15	DG0001	439.694	440.069	CONTINUER	네.	[16]	[75]	[11]
16	DG0001	446.835	447.414	CONTINUER	네.	[16]	[76]	[10]
17	DG0002	464.467	464.932	CONTINUER	네.	[17]	[79]	[9]
18	DG0002	473.021	473.461	CONTINUER	네.	[17]	[81]	[6]
19	DG0002	480.727	480.917	CONTINUER	네.	[17]	[82]	[7]
20	DG0001	518.565	519.265	CONTINUER	네.	[18]	[87]	[9]
21	DG0001	536.19	536.775	CONTINUER	네.	[18]	[90]	[8]
22	DG0002	564.578	564.958	CONTINUER	예.	[19]	[95]	[12]
23	DG0001	582.098	582.625	CONTINUER	네.	[20]	[98]	[12]
24	DG0001	588.929	589.255	CONTINUER	예.	[20]	[99]	[14]
25	DG0001	602.78	603.175	CONTINUER	네.	[22]	[103]	[6]
26	DG0001	643.344	643.76	CONTINUER	네.	[22]	[110]	[7]
27	DG0001	648.585	648.95	AFFIRMATIVE	그렇죠.	[22]	[111]	[9]
28	DG0001	658.284	658.589	CONTINUER	예.	[22]	[113]	[11]
29	DG0002	673.114	673.39	CONTINUER	네.	[23]	[116]	[4]
30	DG0002	678.989	679.314	CONTINUER	네.	[23]	[117]	[10]
31	DG0001	688.867	689.197	CONTINUER	네.	[24]	[118]	[11]
32	DG0001	698.918	699.192	CONTINUER	예.	[24]	[122]	[8]
33	DG0001	745.344	746.031	CONTINUER	네.	[24]	[130]	[4]
34	DG0001	759.728	760.473	AFFIRMATIVE	그렇죠.	[24]	[132]	[10]
35	DG0001	791.187	791.708	CONTINUER	네.	[24]	[137]	[12]
36	DG0002	811.251	811.366	CONTINUER	예.	[25]	[142]	[3]
37	DG0002	813.375	813.981	CONTINUER	네.	[25]	[142]	[10]
38	DG0001	843.741	844.245	CONTINUER	네.	[26]	[147]	[10]
39	DG0001	869.416	869.826	CONTINUER	네.	[26]	[150]	[13]
40	DG0001	891.368	891.833	CONTINUER	네.	[26]	[154]	[5]
41	DG0001	903.395	903.799	CONTINUER	네.	[26]	[156]	[4]
42	DG0001	908.981	909.476	CONTINUER	네.	[26]	[157]	[8]
43	DG0001	930.155	930.747	CONTINUER	네.	[26]	[160]	[6]
44	DG0002	940.984	941.408	CONTINUER	네.	[27]	[163]	[11]
45	DG0002	946.459	946.669	CONTINUER	예.	[27]	[164]	[12]
46	DG0002	951.854	952.27	CONTINUER	네.	[27]	[165]	[8]
47	DG0002	955.491	955.95	CONTINUER	네.	[27]	[166]	[6]
48	DG0001	977.908	978.228	CONTINUER	예.	[28]	[170]	[4]
49	DG0001	994.937	995.362	CONTINUER	네.	[28]	[172]	[3]
50	DG0001	1001.567	1001.913	CONTINUER	네.	[28]	[173]	[8]
51	DG0001	1033.745	1034.166	CONTINUER	네.	[28]	[179]	[10]
52	DG0001	1045.489	1045.989	CONTINUER	네.	[28]	[181]	[4]
53	DG0001	1050.076	1050.636	CONTINUER	음.	[28]	[183]	[6]
