bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	8.095	8.4	CONTINUER	음.	[1]	[1]	[18]
2	AH0001	23.572	23.947	ASSESSMENT	크.	[4]	[6]	[5]
3	AH0001	24.992	25.292	CONTINUER	네.	[4]	[6]	[9]
4	AH0001	28.052	28.412	CONTINUER	네.	[4]	[6]	[15]
5	AH0001	33.575	35.055	ASSESSMENT	헤 네.	[6]	[9]	[3]
6	AH0001	36.771	37.321	CONTINUER	음.	[6]	[10]	[4]
7	AH0001	39.386	39.671	CONTINUER	네.	[6]	[10]	[11]
8	AH0001	43.041	43.376	CONTINUER	네.	[6]	[10]	[19]
9	AH0001	44.786	45.176	ASSESSMENT	헤!	[6]	[10]	[25]
10	AH0001	47.588	48.653	CONTINUER	어. 네.	[6]	[11]	[5]
11	AH0001	50.828	52.693	ASSESSMENT	크. 아.	[6]	[11]	[10]
12	AH0001	55.263	55.593	CONTINUER	어.	[6]	[11]	[21]
13	AH0001	56.698	57.043	CONTINUER	음.	[6]	[11]	[25]
14	AH0001	60.07	61.125	CONTINUER	어허.	[6]	[12]	[5]
15	AH0001	62.385	62.785	CONTINUER	예.	[6]	[12]	[10]
16	AH0001	68.108	68.448	CONTINUER	네.	[6]	[13]	[9]
17	AH0001	69.233	69.593	CONTINUER	음.	[6]	[13]	[12]
18	AH0001	72.143	72.823	UNDERSTANDING	아.	[6]	[13]	[18]
19	AH0001	75.259	75.549	CONTINUER	에.	[6]	[14]	[5]
20	AH0002	84.045	84.708	AFFIRMATIVE	그렇죠.	[7]	[15]	[13]
21	AH0002	86.814	87.449	CONTINUER	음.	[7]	[16]	[6]
22	AH0002	90.649	91.114	CONTINUER	네.	[7]	[16]	[18]
23	AH0002	94.496	94.836	CONTINUER	음.	[7]	[17]	[7]
24	AH0001	97.555	97.965	CONTINUER	예.	[8]	[18]	[2]
25	AH0001	103.455	104.115	CONTINUER	음.	[8]	[18]	[15]
26	AH0001	109.326	110.061	CONTINUER	음음.	[8]	[19]	[6]
27	AH0001	111.941	112.246	CONTINUER	예.	[8]	[19]	[12]
28	AH0001	114.011	114.841	CONTINUER	음.	[8]	[19]	[16]
29	AH0001	121.995	122.39	CONTINUER	네.	[8]	[20]	[18]
30	AH0001	130.635	131.075	CONTINUER	음.	[8]	[22]	[8]
31	AH0001	132.655	133.0	CONTINUER	네.	[8]	[22]	[14]
32	AH0001	135.305	135.695	CONTINUER	으흠.	[8]	[22]	[19]
33	AH0002	143.056	143.606	UNDERSTANDING	아.	[9]	[23]	[14]
34	AH0002	153.083	153.96	AFFIRMATIVE	음 맞아요.	[11]	[28]	[14]
35	AH0001	158.617	159.062	UNDERSTANDING	음.	[12]	[30]	[9]
36	AH0001	160.277	160.637	CONTINUER	네.	[12]	[30]	[12]
37	AH0001	163.562	164.267	UNDERSTANDING	아.	[12]	[30]	[20]
38	AH0001	166.975	168.02	ASSESSMENT	하! 예.	[12]	[31]	[7]
39	AH0001	169.545	169.98	ASSESSMENT	아오.	[12]	[31]	[11]
40	AH0001	172.35	172.555	CONTINUER	네.	[12]	[31]	[18]
41	AH0001	174.32	174.52	CONTINUER	네.	[12]	[31]	[21]
42	AH0001	175.43	176.005	ASSESSMENT	허!	[12]	[31]	[24]
43	AH0001	177.22	177.6	CONTINUER	음.	[12]	[32]	[2]
44	AH0001	179.1	179.445	CONTINUER	음.	[12]	[32]	[6]
45	AH0002	185.167	185.422	CONTINUER	음.	[13]	[33]	[11]
46	AH0002	187.504	188.289	UNDERSTANDING	음.	[13]	[34]	[1]
47	AH0002	191.104	191.509	CONTINUER	음.	[13]	[34]	[7]
48	AH0002	194.099	194.314	CONTINUER	네.	[13]	[34]	[15]
49	AH0002	195.659	195.814	CONTINUER	네.	[13]	[34]	[18]
50	AH0001	199.699	199.919	CONTINUER	네.	[14]	[35]	[3]
51	AH0001	202.594	203.179	AFFIRMATIVE	그쵸.	[14]	[35]	[11]
52	AH0002	207.598	207.873	CONTINUER	음.	[17]	[38]	[3]
53	AH0001	211.258	211.613	CONTINUER	네.	[18]	[39]	[6]
54	AH0001	212.788	213.163	CONTINUER	아.	[18]	[39]	[9]
55	AH0002	250.63	250.92	CONTINUER	음.	[21]	[47]	[1]
56	AH0002	255.446	255.741	CONTINUER	음.	[23]	[51]	[1]
57	AH0002	257.871	258.196	CONTINUER	음.	[23]	[51]	[4]
58	AH0001	260.033	260.363	CONTINUER	아.	[24]	[52]	[4]
59	AH0001	261.983	262.383	CONTINUER	음.	[24]	[52]	[8]
60	AH0001	276.9	277.225	CONTINUER	네.	[28]	[58]	[1]
61	AH0001	278.965	279.18	CONTINUER	음.	[28]	[58]	[7]
62	AH0001	280.575	280.89	CONTINUER	음.	[28]	[58]	[10]
63	AH0001	283.119	284.274	CONTINUER	어. 예.	[28]	[58]	[18]
64	AH0002	291.542	292.682	UNDERSTANDING	음.	[29]	[59]	[12]
65	AH0002	293.623	293.943	CONTINUER	음.	[29]	[59]	[18]
66	AH0002	295.613	295.798	CONTINUER	음.	[29]	[59]	[23]
67	AH0002	297.098	297.433	CONTINUER	음.	[29]	[59]	[27]
68	AH0002	299.848	300.113	CONTINUER	음.	[29]	[59]	[37]
69	AH0001	308.688	309.098	CONTINUER	네.	[30]	[60]	[16]
70	AH0001	311.448	311.713	CONTINUER	음.	[30]	[61]	[2]
71	AH0001	316.678	317.738	UNDERSTANDING	아.	[30]	[61]	[14]
72	AH0001	319.493	320.383	ASSESSMENT	하	[30]	[62]	[1]
73	AH0001	328.238	328.683	CONTINUER	음.	[32]	[66]	[6]
74	AH0001	336.835	337.11	CONTINUER	네.	[36]	[70]	[4]
75	AH0001	337.625	338.375	ASSESSMENT	허!	[36]	[70]	[7]
76	AH0002	345.572	345.772	CONTINUER	음.	[37]	[72]	[5]
77	AH0002	348.397	348.887	CONTINUER	음.	[37]	[72]	[11]
78	AH0002	349.697	349.987	CONTINUER	음.	[37]	[72]	[14]
79	AH0002	351.982	352.312	CONTINUER	음.	[37]	[72]	[18]
80	AH0002	353.817	354.252	CONTINUER	음.	[37]	[72]	[21]
81	AH0002	355.71	356.125	CONTINUER	음.	[37]	[73]	[1]
82	AH0002	359.395	360.035	CONTINUER	음.	[37]	[73]	[10]
83	AH0002	362.218	362.688	CONTINUER	음.	[37]	[75]	[1]
84	AH0001	368.623	368.918	CONTINUER	네.	[38]	[76]	[11]
85	AH0001	369.886	371.261	UNDERSTANDING	아. 네.	[38]	[76]	[13]
86	AH0002	378.185	378.52	CONTINUER	네.	[41]	[79]	[7]
87	AH0002	387.848	388.063	CONTINUER	음.	[43]	[82]	[6]
88	AH0002	389.598	390.123	CONTINUER	네.	[43]	[82]	[10]
89	AH0001	396.839	397.619	CONTINUER	음.	[44]	[84]	[10]
90	AH0001	402.184	402.994	UNDERSTANDING	아. 네.	[46]	[86]	[5]
91	AH0001	408.569	409.419	UNDERSTANDING	음.	[46]	[86]	[19]
92	AH0001	412.454	413.009	UNDERSTANDING	아.	[46]	[86]	[26]
93	AH0002	417.417	417.822	CONTINUER	음.	[47]	[88]	[7]
94	AH0002	418.788	419.208	CONTINUER	음.	[49]	[90]	[3]
95	AH0002	420.734	421.302	AFFIRMATIVE	맞아요.	[49]	[91]	[6]
96	AH0002	422.812	423.152	CONTINUER	어.	[49]	[92]	[5]
97	AH0002	430.479	430.829	CONTINUER	음.	[49]	[94]	[18]
98	AH0001	439.436	439.576	CONTINUER	아.	[50]	[97]	[14]
99	AH0001	441.906	442.286	CONTINUER	예.	[50]	[98]	[6]
100	AH0001	446.821	447.321	CONTINUER	음.	[50]	[98]	[21]
101	AH0001	453.251	453.451	CONTINUER	음.	[52]	[101]	[6]
102	AH0001	454.316	454.606	CONTINUER	네.	[52]	[101]	[8]
103	AH0001	459.376	460.041	CONTINUER	아. 예.	[52]	[101]	[16]
104	AH0001	461.051	461.916	CONTINUER	음. 네.	[52]	[101]	[21]
105	AH0001	464.906	466.511	UNDERSTANDING	아.	[52]	[101]	[28]
106	AH0001	471.78	472.745	UNDERSTANDING	음.	[52]	[102]	[11]
107	AH0002	478.995	479.305	CONTINUER	어.	[53]	[104]	[5]
108	AH0002	487.604	487.969	AFFIRMATIVE	맞아요.	[55]	[106]	[5]
109	AH0001	494.077	494.332	CONTINUER	음.	[56]	[107]	[9]
110	AH0002	497.609	497.884	CONTINUER	음.	[57]	[108]	[5]
111	AH0002	501.816	504.641	CONTINUER	네. 음. 음.	[59]	[110]	[11]
112	AH0002	509.566	510.066	CONTINUER	음.	[59]	[110]	[24]
113	AH0002	516.805	517.305	CONTINUER	어.	[61]	[112]	[6]
