bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	0.86	1.195	CONTINUER	네.	[1]	[1]	[1]
2	AH0002	11.829	12.199	AFFIRMATIVE	그렇죠.	[3]	[3]	[9]
3	AH0002	17.492	17.702	CONTINUER	어.	[5]	[6]	[5]
4	AH0002	18.812	19.052	CONTINUER	네.	[5]	[6]	[8]
5	AH0002	20.192	20.367	CONTINUER	네.	[5]	[6]	[10]
6	AH0002	34.099	34.679	UNDERSTANDING	음.	[7]	[11]	[1]
7	AH0002	40.772	41.122	CONTINUER	네.	[7]	[11]	[12]
8	AH0002	51.57	52.845	UNDERSTANDING	음. 음.	[7]	[13]	[16]
9	AH0002	60.679	60.929	UNDERSTANDING	아.	[7]	[14]	[6]
10	AH0001	63.369	63.694	CONTINUER	네.	[8]	[16]	[3]
11	AH0001	67.746	68.311	AFFIRMATIVE	그렇죠.	[10]	[19]	[4]
12	AH0001	69.903	70.683	AFFIRMATIVE	맞습니다.	[10]	[19]	[9]
13	AH0001	71.534	71.639	CONTINUER	예.	[10]	[20]	[2]
14	AH0001	76.179	76.354	CONTINUER	네.	[10]	[20]	[10]
15	AH0002	93.181	93.521	CONTINUER	네.	[15]	[27]	[10]
16	AH0002	120.669	121.254	UNDERSTANDING	아.	[15]	[29]	[25]
17	AH0001	148.269	148.719	AFFIRMATIVE	맞아요.	[20]	[37]	[5]
18	AH0002	154.355	154.555	CONTINUER	네.	[21]	[41]	[1]
19	AH0002	157.45	157.635	CONTINUER	음.	[21]	[41]	[6]
20	AH0002	160.33	161.39	UNDERSTANDING	음.	[21]	[41]	[13]
21	AH0001	165.593	165.853	CONTINUER	예.	[22]	[44]	[2]
22	AH0001	167.523	167.773	CONTINUER	네.	[22]	[44]	[5]
23	AH0001	171.198	171.508	CONTINUER	네.	[22]	[44]	[14]
24	AH0001	176.188	176.693	CONTINUER	음.	[22]	[44]	[22]
25	AH0001	179.498	180.358	AFFIRMATIVE	그렇죠. 그렇죠. 그렇죠.	[22]	[44]	[29]
26	AH0001	182.521	182.751	CONTINUER	네.	[22]	[45]	[5]
27	AH0001	185.691	185.901	CONTINUER	예.	[22]	[45]	[12]
28	AH0001	188.186	188.486	CONTINUER	네.	[22]	[45]	[18]
29	AH0002	197.037	197.212	CONTINUER	네.	[23]	[47]	[12]
30	AH0002	213.234	214.319	CONTINUER	네. 네.	[27]	[53]	[6]
31	AH0002	216.549	216.839	CONTINUER	네.	[27]	[53]	[14]
32	AH0002	236.343	236.718	CONTINUER	음.	[31]	[59]	[15]
33	AH0002	259.613	259.753	CONTINUER	네.	[39]	[68]	[10]
34	AH0002	266.197	266.597	CONTINUER	네.	[39]	[69]	[1]
35	AH0002	273.613	274.268	UNDERSTANDING	어.	[39]	[70]	[7]
36	AH0002	275.891	276.446	UNDERSTANDING	어.	[39]	[70]	[14]
37	AH0001	284.416	284.646	CONTINUER	네.	[40]	[73]	[4]
38	AH0002	291.574	293.719	UNDERSTANDING	아. 네.	[41]	[75]	[13]
39	AH0002	296.704	296.924	CONTINUER	네.	[41]	[75]	[25]
40	AH0002	303.498	303.713	CONTINUER	음.	[41]	[76]	[4]
41	AH0002	308.183	308.488	CONTINUER	음.	[41]	[77]	[1]
42	AH0002	314.131	314.436	UNDERSTANDING	어.	[]	[]	[]
43	AH0002	317.416	317.706	CONTINUER	네.	[45]	[81]	[8]
44	AH0001	331.504	331.659	CONTINUER	음.	[46]	[84]	[3]
45	AH0001	340.885	341.505	ASSESSMENT	오.	[48]	[87]	[1]
46	AH0001	342.785	342.97	CONTINUER	예.	[48]	[87]	[4]
47	AH0002	348.582	348.842	CONTINUER	네.	[49]	[89]	[8]
48	AH0002	354.164	354.374	ASSESSMENT	와.	[49]	[89]	[21]
49	AH0002	358.572	358.697	CONTINUER	예.	[49]	[90]	[14]
50	AH0002	376.641	377.216	UNDERSTANDING	아.	[55]	[96]	[15]
51	AH0001	398.431	398.671	CONTINUER	네.	[58]	[102]	[1]
52	AH0001	401.136	401.331	CONTINUER	네.	[58]	[102]	[3]
53	AH0001	432.387	432.607	CONTINUER	음.	[62]	[112]	[7]
54	AH0001	436.007	436.162	CONTINUER	네.	[62]	[112]	[15]
55	AH0001	443.112	443.347	ASSESSMENT	오.	[]	[]	[]
56	AH0001	448.259	448.424	CONTINUER	네.	[64]	[115]	[1]
57	AH0001	451.723	451.963	CONTINUER	네.	[64]	[115]	[7]
58	AH0001	455.759	456.289	CONTINUER	네. 네네.	[64]	[116]	[8]
59	AH0001	457.984	458.364	UNDERSTANDING	아.	[64]	[116]	[12]
60	AH0002	470.641	470.936	CONTINUER	네.	[65]	[117]	[14]
61	AH0002	479.985	481.03	UNDERSTANDING	어.	[65]	[119]	[21]
62	AH0002	485.607	485.987	UNDERSTANDING	아.	[67]	[122]	[6]
63	AH0002	490.564	490.904	CONTINUER	예.	[69]	[126]	[4]
64	AH0002	496.162	496.707	UNDERSTANDING	어.	[69]	[127]	[8]
65	AH0002	497.594	498.229	UNDERSTANDING	네.	[69]	[127]	[12]
66	AH0002	503.068	503.678	UNDERSTANDING	음.	[69]	[128]	[11]
67	AH0002	504.718	505.078	CONTINUER	네네.	[69]	[128]	[15]
68	AH0002	531.765	532.02	CONTINUER	예.	[75]	[135]	[1]
69	AH0002	537.225	537.39	CONTINUER	어.	[75]	[135]	[12]
70	AH0002	542.58	542.88	ASSESSMENT	허.	[75]	[135]	[25]
71	AH0002	546.563	547.748	ASSESSMENT	우와.	[]	[]	[]
72	AH0002	550.478	550.918	CONTINUER	네.	[77]	[137]	[11]
73	AH0002	596.948	597.178	CONTINUER	음.	[87]	[149]	[19]
74	AH0001	603.989	604.139	CONTINUER	예.	[88]	[151]	[3]
75	AH0001	605.814	605.969	CONTINUER	네.	[88]	[151]	[6]
76	AH0001	607.619	607.924	AFFIRMATIVE	그쵸.	[88]	[151]	[9]
77	AH0002	614.205	614.54	CONTINUER	네.	[89]	[152]	[8]
78	AH0002	645.063	645.323	CONTINUER	네.	[93]	[159]	[18]
79	AH0002	648.344	649.399	AFFIRMATIVE	그렇죠.	[93]	[160]	[7]
80	AH0002	653.898	655.548	AFFIRMATIVE	그렇죠. 음. 음.	[93]	[161]	[12]
81	AH0002	669.579	670.634	ASSESSMENT	엄마야.	[95]	[164]	[17]
82	AH0002	675.671	676.681	UNDERSTANDING	오.	[95]	[165]	[14]
83	AH0002	701.946	702.986	ASSESSMENT	오야.	[103]	[176]	[5]
84	AH0002	721.491	722.146	UNDERSTANDING	음.	[107]	[182]	[7]
85	AH0002	725.291	725.536	CONTINUER	네.	[107]	[182]	[17]
86	AH0001	736.951	737.286	CONTINUER	으흠.	[108]	[183]	[10]
87	AH0002	764.911	765.461	UNDERSTANDING	어.	[119]	[196]	[3]
