bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	20.686	21.131	CONTINUER	예.	[3]	[3]	[20]
2	DG0002	24.863	25.133	CONTINUER	네.	[3]	[4]	[10]
3	DG0001	26.215	26.48	CONTINUER	네.	[4]	[5]	[1]
4	DG0001	35.195	35.435	CONTINUER	응.	[4]	[5]	[28]
5	DG0001	39.642	39.857	CONTINUER	네.	[4]	[6]	[7]
6	DG0001	41.892	42.187	CONTINUER	네.	[4]	[6]	[13]
7	DG0001	46.349	46.704	CONTINUER	네.	[6]	[8]	[2]
8	DG0001	48.824	49.119	CONTINUER	네.	[6]	[8]	[8]
9	DG0001	54.933	55.233	CONTINUER	네.	[6]	[9]	[13]
10	DG0001	61.776	62.216	CONTINUER	응.	[6]	[10]	[12]
11	DG0001	66.686	67.116	CONTINUER	네네.	[6]	[11]	[5]
12	DG0001	71.127	71.557	CONTINUER	네.	[6]	[11]	[18]
13	DG0001	76.772	77.117	CONTINUER	음.	[6]	[11]	[30]
14	DG0001	81.636	82.101	CONTINUER	네.	[8]	[13]	[11]
15	DG0001	91.085	91.705	CONTINUER	네.	[8]	[14]	[8]
16	DG0002	98.054	98.394	CONTINUER	네.	[9]	[15]	[19]
17	DG0001	109.181	109.441	CONTINUER	응.	[10]	[16]	[24]
18	DG0001	112.974	113.359	CONTINUER	네.	[10]	[17]	[9]
19	DG0001	118.564	118.969	CONTINUER	네네.	[10]	[17]	[24]
20	DG0001	127.579	127.824	CONTINUER	네.	[10]	[18]	[19]
21	DG0001	135.681	136.066	CONTINUER	네.	[10]	[19]	[17]
22	DG0001	144.705	144.995	CONTINUER	네.	[12]	[22]	[4]
23	DG0001	149.595	149.845	CONTINUER	응.	[12]	[22]	[16]
24	DG0001	150.67	150.965	CONTINUER	네.	[12]	[22]	[19]
25	DG0001	153.881	154.446	CONTINUER	음.	[12]	[23]	[1]
26	DG0001	156.886	157.216	CONTINUER	네.	[12]	[23]	[6]
27	DG0002	161.805	162.55	CONTINUER	네.	[13]	[24]	[2]
28	DG0001	174.958	175.413	CONTINUER	네네.	[14]	[25]	[7]
29	DG0001	185.946	186.311	CONTINUER	네.	[16]	[27]	[10]
30	DG0001	188.721	189.191	CONTINUER	응.	[16]	[27]	[15]
31	DG0001	194.431	195.296	CONTINUER	어.	[16]	[28]	[1]
32	DG0001	226.845	227.415	CONTINUER	음.	[16]	[31]	[20]
33	DG0001	235.007	235.567	CONTINUER	아.	[16]	[32]	[9]
34	DG0001	238.427	238.812	CONTINUER	네네.	[16]	[32]	[16]
35	DG0001	239.647	240.667	AFFIRMATIVE	맞아요. 네네.	[16]	[32]	[19]
36	DG0002	254.04	254.26	CONTINUER	네.	[17]	[34]	[13]
37	DG0002	257.715	258.2	AFFIRMATIVE	그렇죠.	[17]	[34]	[19]
38	DG0002	272.967	273.535	AFFIRMATIVE	아. 그럼요.	[19]	[36]	[19]
39	DG0002	292.486	292.896	CONTINUER	네.	[19]	[38]	[15]
40	DG0001	299.252	299.567	CONTINUER	네.	[20]	[39]	[11]
41	DG0001	302.872	303.237	CONTINUER	네.	[20]	[39]	[20]
42	DG0001	306.621	306.826	CONTINUER	네.	[20]	[40]	[4]
43	DG0001	308.551	308.771	CONTINUER	응.	[20]	[40]	[9]
44	DG0001	312.466	312.756	CONTINUER	네.	[20]	[40]	[17]
45	DG0001	316.346	316.626	CONTINUER	응.	[20]	[40]	[26]
46	DG0001	321.254	321.609	CONTINUER	네.	[20]	[41]	[9]
47	DG0001	323.384	324.044	AFFIRMATIVE	그러니까요.	[20]	[41]	[14]
48	DG0001	329.514	329.819	CONTINUER	네.	[20]	[41]	[25]
49	DG0001	341.527	342.102	AFFIRMATIVE	그렇죠.	[20]	[43]	[1]
50	DG0001	347.587	347.977	CONTINUER	음.	[20]	[43]	[12]
51	DG0002	355.2	355.54	CONTINUER	네.	[21]	[44]	[7]
52	DG0002	357.3	357.575	CONTINUER	네.	[21]	[44]	[13]
53	DG0002	362.77	362.98	CONTINUER	네.	[21]	[44]	[26]
54	DG0001	365.853	366.173	CONTINUER	네네.	[22]	[46]	[1]
55	DG0001	382.923	383.108	CONTINUER	응.	[22]	[47]	[10]
56	DG0001	384.868	385.288	CONTINUER	네네.	[22]	[47]	[16]
57	DG0001	390.568	390.863	CONTINUER	응.	[22]	[47]	[29]
58	DG0001	406.674	407.259	CONTINUER	네네.	[22]	[49]	[16]
59	DG0001	408.679	408.959	CONTINUER	응.	[22]	[49]	[20]
60	DG0001	421.577	421.827	CONTINUER	네.	[24]	[52]	[8]
61	DG0001	427.522	428.742	AFFIRMATIVE	그러니까요. 네.	[24]	[52]	[20]
62	DG0001	449.229	449.544	CONTINUER	네.	[26]	[55]	[21]
63	DG0001	471.11	471.505	CONTINUER	응.	[28]	[58]	[12]
64	DG0001	475.08	475.875	CONTINUER	음.	[28]	[58]	[20]
65	DG0001	476.73	477.11	CONTINUER	네.	[28]	[58]	[22]
66	DG0001	478.98	480.15	REQUEST_CONFIRMATION	아, 그래요? 음.	[28]	[59]	[6]
67	DG0001	485.965	486.435	CONTINUER	네네.	[28]	[59]	[22]
68	DG0001	487.055	487.405	CONTINUER	네네.	[28]	[59]	[26]
69	DG0001	497.238	497.593	CONTINUER	음.	[28]	[60]	[25]
70	DG0001	502.273	502.878	CONTINUER	음.	[28]	[61]	[7]
71	DG0002	511.335	511.705	AFFIRMATIVE	그렇죠.	[29]	[62]	[21]
72	DG0002	518.447	518.742	CONTINUER	네.	[29]	[63]	[12]
73	DG0001	526.403	526.683	CONTINUER	네.	[32]	[66]	[1]
74	DG0001	528.083	528.423	CONTINUER	응.	[32]	[66]	[7]
75	DG0001	531.588	532.253	CONTINUER	아, 네네.	[32]	[66]	[16]
76	DG0001	547.871	548.381	CONTINUER	네네.	[32]	[68]	[16]
77	DG0001	552.296	552.83	AFFIRMATIVE	그렇죠.	[32]	[68]	[26]
78	DG0001	556.795	557.22	CONTINUER	음.	[32]	[69]	[9]
