uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.095	1.579	요즘은	[]
1	1	2	AH0001	1.659	2.183	보니까	[]
1	1	3	AH0001	2.506	2.667	뭐	[]
1	1	4	AH0001	2.768	3.07	스트리밍	[]
1	1	5	AH0001	3.151	3.614	사이트에서	[]
1	2	1	AH0001	4.437	4.537	한	[]
1	2	2	AH0001	4.757	4.897	곡을	[]
1	2	3	AH0001	4.957	5.118	몇번	[]
1	2	4	AH0001	5.238	5.738	들었는지	[]
1	2	5	AH0001	5.758	5.778	뭐	[]
1	2	6	AH0001	5.898	6.018	이런	[]
1	2	7	AH0001	6.059	6.399	것들도	[]
1	2	8	AH0001	6.659	7.82	나오더라고요	[]
1	2	9	AH0001	8.06	8.221	네	[]
1	2	10	AH0001	8.621	9.822	그래서	[]
1	2	11	AH0001	10.162	10.443	혹시	[]
1	2	12	AH0001	10.523	11.143	보내주세요	[]
1	2	13	AH0001	11.223	11.384	캡쳐해서	[]
2	3	1	AH0002	11.825	12.967	한	[]
2	3	2	AH0002	13.067	13.267	스무	[]
2	3	3	AH0002	13.327	13.448	번	[]
2	3	4	AH0002	13.528	13.788	정도일	[]
2	3	5	AH0002	13.808	13.828	것	[]
2	3	6	AH0002	13.908	14.229	같네요.	[]
3	4	1	AH0001	15.01	15.17	아니	[]
3	4	2	AH0001	15.231	15.531	근데	[]
3	4	3	AH0001	17.216	17.356	그	[]
3	4	4	AH0001	17.657	18.299	이렇게	[]
3	4	5	AH0001	18.519	19.261	얘기하실	[]
3	4	6	AH0001	19.341	19.803	정도면	[]
3	4	7	AH0001	20.144	20.625	적어도	[]
3	4	8	AH0001	21.006	21.166	천	[]
3	4	9	AH0001	21.287	21.387	번	[]
3	4	10	AH0001	21.467	21.848	가까이는	[]
3	4	11	AH0001	21.988	22.349	들으셨을	[]
3	4	12	AH0001	22.45	23.312	겁니다.	[]
3	5	1	AH0001	23.947	24.208	@이름6	[]
3	5	2	AH0001	24.288	24.468	씨가,	[]
3	5	3	AH0001	24.829	25.611	싱글에는	[]
3	5	4	AH0001	25.691	25.771	이	[]
3	5	5	AH0001	25.872	26.393	띄어쓰기가	[]
3	5	6	AH0001	26.453	27.235	되어있었는데,	[1]
3	5	7	AH0001	27.636	27.716	일	[]
3	5	8	AH0001	27.876	28.217	집에는	[]
3	5	9	AH0001	28.297	28.879	붙어있던,	[]
3	5	10	AH0001	28.979	29.139	너와	[]
3	5	11	AH0001	29.199	29.36	나의.	[]
3	6	1	AH0001	29.966	30.086	이	[]
3	6	2	AH0001	30.246	30.447	@이름196	[]
3	6	3	AH0001	30.587	30.927	님의	[]
3	6	4	AH0001	31.067	31.668	마음에도	[]
3	6	5	AH0001	32.089	32.369	봄이	[]
3	6	6	AH0001	32.489	32.95	들었던	[]
3	6	7	AH0001	33.05	33.891	건가라고	[]
3	6	8	AH0001	34.051	34.391	굉장히	[]
4	7	1	AH0002	34.954	35.801	저보다	[]
4	7	2	AH0002	35.862	35.962	더	[]
4	7	3	AH0002	36.043	36.648	잘하시네요	[]
4	7	4	AH0002	36.749	37.072	진짜로	[]
5	8	1	AH0001	37.233	37.635	네	[]
5	8	2	AH0001	38.098	38.319	뭔가	[]
5	8	3	AH0001	38.922	39.203	심경의	[]
5	8	4	AH0001	39.264	39.505	변화가	[]
5	8	5	AH0001	39.545	39.927	있으셨던	[]
5	8	6	AH0001	39.967	40.189	겁니까?	[]
6	9	1	AH0002	41.04	41.321	전혀	[]
6	9	2	AH0002	41.401	41.561	그런	[]
6	9	3	AH0002	41.602	41.822	의도는	[]
6	9	4	AH0002	41.882	42.384	없었고요.	[2]
6	9	5	AH0002	42.645	43.086	그때도	[]
6	9	6	AH0002	43.427	43.868	처음부터,	[]
6	9	7	AH0002	43.928	44.149	저는	[]
6	9	8	AH0002	44.209	44.47	항상	[]
6	9	9	AH0002	44.49	44.791	이렇게	[]
6	9	10	AH0002	45.152	45.472	붙여서	[]
