uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.342	게다가	[]
1	1	2	AH0001	1.422	1.863	저출산	[]
1	1	3	AH0001	1.983	2.464	고령화라고	[]
1	1	4	AH0001	2.544	2.684	하는	[]
1	1	5	AH0001	2.844	3.506	생산인력	[]
1	1	6	AH0001	3.706	4.087	감소	[]
1	1	7	AH0001	4.147	4.227	인구	[]
1	1	8	AH0001	4.468	4.788	절벽	[]
1	1	9	AH0001	4.989	5.289	현상까지	[]
1	1	10	AH0001	5.449	5.73	곧	[]
1	1	11	AH0001	5.75	5.89	닥칠	[]
1	1	12	AH0001	5.95	6.732	거란	[]
1	1	13	AH0001	6.772	6.832	말이죠.	[]
1	2	1	AH0001	6.832	6.912	이	[]
1	2	2	AH0001	7.012	7.993	쯤되면	[]
1	2	3	AH0001	8.194	8.374	이제	[]
1	2	4	AH0001	8.394	9.075	우리나라도	[]
1	2	5	AH0001	9.535	9.976	일본처럼	[]
1	2	6	AH0001	10.076	10.517	장기불황으로	[]
1	2	7	AH0001	10.557	10.657	가는	[]
1	2	8	AH0001	10.857	11.077	겁니까	[]
1	2	9	AH0001	11.238	11.318	어떻게	[]
1	2	10	AH0001	11.358	12.259	되는	[]
1	2	11	AH0001	12.339	12.399	겁니까?	[]
2	3	1	AH0002	12.512	12.713	어	[]
2	3	2	AH0002	12.934	13.175	실제로	[]
2	3	3	AH0002	13.215	13.315	지금	[]
2	3	4	AH0002	13.476	14.139	일본과	[]
2	3	5	AH0002	14.219	14.32	같은	[]
2	3	6	AH0002	14.42	15.163	장기불황에	[]
2	3	7	AH0002	15.224	15.405	대한	[]
2	3	8	AH0002	15.505	15.927	우려가	[]
2	3	9	AH0002	15.947	16.469	높아지고	[]
2	3	10	AH0002	16.529	16.61	있는	[]
2	3	11	AH0002	16.73	16.991	것은	[]
2	3	12	AH0002	17.072	17.594	사실입니다.	[1]
2	4	1	AH0002	18.114	18.395	어	[]
2	4	2	AH0002	18.455	18.676	이제	[]
2	4	3	AH0002	18.696	19.62	크게는	[]
2	4	4	AH0002	20.122	20.343	지금	[]
2	4	5	AH0002	20.363	20.424	경기	[]
2	4	6	AH0002	20.966	21.608	침체가	[]
2	4	7	AH0002	21.93	22.05	상당히	[]
2	4	8	AH0002	22.231	22.251	좀	[]
2	4	9	AH0002	22.271	22.713	지속되고	[]
2	4	10	AH0002	22.733	23.115	있는	[]
2	4	11	AH0002	23.215	23.918	상황이구요.	[]
2	5	1	AH0002	23.918	24.219	그러다	[]
2	5	2	AH0002	24.299	24.719	보니까	[]
2	5	3	AH0002	24.739	25.04	여러	[]
2	5	4	AH0002	25.1	25.321	가지	[]
2	5	5	AH0002	25.421	25.841	노동시장	[]
2	5	6	AH0002	25.922	26.262	사정을	[]
2	5	7	AH0002	26.362	26.823	비롯해서	[]
2	5	8	AH0002	27.004	27.525	어려움이	[]
2	5	9	AH0002	27.625	27.925	진행되고	[]
2	5	10	AH0002	27.985	28.907	있습니다.	[]
2	6	1	AH0002	28.907	29.568	결국은	[]
2	6	2	AH0002	30.088	30.589	어	[]
2	6	3	AH0002	30.789	30.929	제가	[]
2	6	4	AH0002	30.949	30.989	이제	[]
2	6	5	AH0002	31.049	31.129	가끔	[]
2	6	6	AH0002	31.189	31.65	표현하는	[]
2	6	7	AH0002	31.77	31.81	것	[]
2	6	8	AH0002	31.93	32.45	중에서	[]
2	6	9	AH0002	34.192	34.272	지금	[]
2	6	10	AH0002	34.292	34.472	인제	[]
2	6	11	AH0002	34.532	35.253	라틴아메리카의	[]
2	6	12	AH0002	35.333	35.553	많은	[]
2	6	13	AH0002	35.613	36.094	국가들이	[]
2	6	14	AH0002	36.194	36.634	어려움을	[]
2	6	15	AH0002	36.855	37.095	이미	[]
2	6	16	AH0002	37.115	37.275	겪고	[]
2	6	17	AH0002	37.315	37.696	있습니다	[]
2	6	18	AH0002	37.856	37.896	이제	[]
2	7	1	AH0002	38.196	38.94	반복되는	[]
2	7	2	AH0002	39.162	39.604	위기에	[]
2	7	3	AH0002	39.745	40.65	직면해	[]
2	7	4	AH0002	40.671	40.751	있는데요.	[]
2	8	1	AH0002	40.751	40.952	이	[]
2	8	2	AH0002	41.113	41.816	국가들의	[]
2	8	3	AH0002	41.937	42.359	상황을	[]
2	8	4	AH0002	42.459	42.801	보면	[]
2	8	5	AH0002	42.962	43.324	우리가	[]
2	8	6	AH0002	43.625	44.067	상당히	[]
2	8	7	AH0002	44.108	44.409	유의해야	[]
2	8	8	AH0002	44.449	44.53	될	[]
2	8	9	AH0002	44.63	44.731	바가	[]
2	8	10	AH0002	44.791	45.595	있다.	[]
2	9	1	AH0002	45.595	45.675	그	[]
2	9	2	AH0002	45.795	45.976	중에	[]
2	9	3	AH0002	46.016	46.637	하나는	[]
2	9	4	AH0002	46.978	47.439	결국은	[]
2	9	5	AH0002	48.341	48.922	해외에서	[]
2	9	6	AH0002	49.162	49.744	경쟁력을	[]
2	9	7	AH0002	49.844	50.425	갖추고	[]
2	9	8	AH0002	51.146	51.607	성취를	[]
2	9	9	AH0002	51.728	51.748	할	[]
2	9	10	AH0002	51.928	52.028	수	[]
2	9	11	AH0002	52.088	52.409	있는	[]
2	9	12	AH0002	52.77	53.451	기업들이	[]
2	9	13	AH0002	53.972	54.032	그	[]
2	9	14	AH0002	54.093	54.413	나라들도	[]
2	9	15	AH0002	54.433	54.974	과거에는	[]
2	9	16	AH0002	55.115	55.415	있었던	[]
2	9	17	AH0002	55.475	55.856	나라들이	[2]
2	9	18	AH0002	55.896	56.277	있습니다.	[]
2	10	1	AH0002	56.279	56.68	사실	[]
2	10	2	AH0002	56.801	57.583	아르헨티나	[]
2	10	3	AH0002	57.623	57.704	같은	[]
2	10	4	AH0002	57.784	57.864	나라는	[]
2	10	5	AH0002	57.984	58.205	과거에	[]
2	10	6	AH0002	58.305	58.687	부유한	[]
2	10	7	AH0002	58.907	59.429	국가였거든요.	[]
2	11	1	AH0002	59.429	59.811	그러나	[]
