uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.57	0.971	여러분	[]
1	1	2	AH0001	1.011	1.754	안녕하십니까	[]
1	1	3	AH0001	1.974	2.275	@상호명91	[]
1	1	4	AH0001	2.396	2.516	초대석	[]
1	1	5	AH0001	2.556	2.817	입니다.	[]
1	2	1	AH0001	3.873	4.395	오늘	[]
1	2	2	AH0001	4.536	4.656	저희	[]
1	2	3	AH0001	4.777	5.159	스튜디오에	[]
1	2	4	AH0001	5.681	5.962	참으로	[]
1	2	5	AH0001	6.083	6.505	특별한	[]
1	2	6	AH0001	6.585	7.148	손님	[]
1	2	7	AH0001	7.188	7.71	모셨습니다.	[]
1	3	1	AH0001	7.71	8.491	어	[]
1	3	2	AH0001	8.571	8.991	새삼	[]
1	3	3	AH0001	9.011	9.292	소개가	[]
1	3	4	AH0001	9.372	9.592	필요	[]
1	3	5	AH0001	9.612	9.952	없는	[]
1	3	6	AH0001	10.173	10.653	우리	[]
1	3	7	AH0001	10.713	10.773	한국	[]
1	3	8	AH0001	10.793	11.654	현대문학의	[]
1	3	9	AH0001	12.175	12.615	거봉	[]
1	3	10	AH0001	12.775	12.855	예	[]
1	3	11	AH0001	13.576	13.816	시인	[]
1	3	12	AH0001	14.097	14.637	선생님	[]
1	3	13	AH0001	14.737	15.458	나오셨습니다.	[]
1	4	1	AH0001	15.458	15.68	선생님	[]
1	4	2	AH0001	15.7	15.902	어서	[]
1	4	3	AH0001	16.043	16.587	오십시오	[]
2	5	1	AH0002	16.587	17.247	안녕하십니까	[]
3	6	1	AH0001	17.247	18.24	네	[]
3	6	2	AH0001	18.26	18.28	네	[]
3	6	3	AH0001	18.422	19.03	건강하시죠?	[]
4	7	1	AH0002	19.03	20.9	예	[]
4	7	2	AH0002	20.96	21.02	뭐	[]
4	7	3	AH0002	21.241	22.327	네	[]
4	7	4	AH0002	22.387	22.407	뭐	[]
4	7	5	AH0002	22.428	22.508	좋습니다.	[]
4	8	1	AH0002	22.762	22.783	네	[]
5	9	1	AH0001	23.055	23.537	요즘도	[]
5	9	2	AH0001	23.598	23.839	약주	[]
5	9	3	AH0001	23.899	24.0	좀	[]
5	9	4	AH0001	24.04	24.462	하십니까?	[]
6	10	1	AH0002	25.197	25.903	에	[]
6	10	2	AH0002	26.024	26.206	천천히	[]
6	10	3	AH0002	26.287	26.912	하지요.	[]
7	11	1	AH0001	26.912	27.697	천천히	[]
8	12	1	AH0002	27.756	28.722	네	[]
8	12	2	AH0002	28.843	28.863	어	[]
8	12	3	AH0002	28.883	28.943	한	[]
8	12	4	AH0002	29.104	29.205	잔	[]
8	12	5	AH0002	29.527	29.889	마시고	[]
8	12	6	AH0002	30.131	30.513	또	[]
8	12	7	AH0002	30.714	31.399	천천히	[]
8	12	8	AH0002	31.419	31.519	있다가	[]
9	13	1	AH0001	31.593	32.041	쉬셨다가	[]
10	14	1	AH0002	32.254	32.275	네	[]
11	15	1	AH0001	32.707	33.27	식사	[]
11	15	2	AH0001	33.35	33.431	때	[]
11	15	3	AH0001	33.511	33.893	반주도	[]
11	15	4	AH0001	33.933	34.195	하시고?	[]
12	16	1	AH0002	34.826	34.947	더러	[]
12	16	2	AH0002	35.109	36.564	합니다.	[1]
12	16	3	AH0002	36.665	36.685	네.	[]
13	17	1	AH0001	36.99	37.05	뭐	[]
