bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	12.961	13.286	CONTINUER	네.	[2]	[3]	[4]
2	AH0001	22.304	22.714	CONTINUER	네.	[2]	[4]	[8]
3	AH0001	86.956	87.676	CONTINUER	네.	[4]	[14]	[10]
4	AH0001	125.303	125.678	CONTINUER	네.	[8]	[21]	[15]
5	AH0001	127.919	128.484	CONTINUER	네네.	[8]	[22]	[4]
6	AH0001	140.784	141.199	CONTINUER	음.	[8]	[23]	[13]
7	AH0002	153.564	153.774	CONTINUER	네.	[11]	[27]	[3]
8	AH0001	181.781	182.261	CONTINUER	네.	[16]	[34]	[23]
9	AH0001	193.066	193.496	CONTINUER	네.	[16]	[36]	[8]
10	AH0001	196.328	197.133	CONTINUER	어.	[16]	[37]	[7]
11	AH0001	202.238	202.813	CONTINUER	어.	[16]	[37]	[17]
12	AH0001	242.111	242.731	CONTINUER	네.	[16]	[43]	[13]
13	AH0001	255.052	255.622	CONTINUER	네.	[16]	[45]	[7]
14	AH0001	271.286	271.606	AFFIRMATIVE	그렇죠.	[18]	[49]	[2]
15	AH0001	307.089	307.764	CONTINUER	네.	[20]	[55]	[10]
16	AH0001	320.134	320.844	CONTINUER	어.	[20]	[59]	[1]
17	AH0001	342.056	342.381	CONTINUER	예.	[20]	[62]	[1]
18	AH0001	356.591	357.021	CONTINUER	예.	[20]	[63]	[12]
19	AH0001	363.493	363.958	CONTINUER	음.	[20]	[65]	[1]
20	AH0001	383.124	383.964	CONTINUER	음.	[20]	[67]	[11]
21	AH0001	392.216	392.696	CONTINUER	예.	[20]	[68]	[16]
22	AH0001	416.929	417.649	CONTINUER	예.	[20]	[73]	[1]
23	AH0001	423.989	424.629	CONTINUER	음.	[20]	[73]	[16]
24	AH0001	430.529	431.264	CONTINUER	어.	[20]	[75]	[1]
25	AH0001	446.53	446.85	CONTINUER	예.	[22]	[77]	[9]
26	AH0001	452.618	453.113	CONTINUER	네.	[22]	[78]	[12]
27	AH0001	461.338	461.788	CONTINUER	음.	[22]	[79]	[15]
28	AH0001	477.665	478.065	CONTINUER	예.	[22]	[81]	[22]
29	AH0001	491.023	491.448	CONTINUER	예.	[22]	[83]	[16]
30	AH0001	499.804	500.374	CONTINUER	어.	[22]	[85]	[11]
31	AH0001	509.335	510.22	CONTINUER	어.	[22]	[87]	[1]
32	AH0001	511.57	512.31	CONTINUER	네.	[22]	[87]	[3]
33	AH0001	525.932	526.372	CONTINUER	예.	[22]	[89]	[1]
34	AH0001	544.071	544.651	CONTINUER	예.	[22]	[92]	[1]
35	AH0001	549.858	550.673	CONTINUER	음.	[22]	[93]	[1]
36	AH0001	565.039	566.124	CONTINUER	음.	[22]	[96]	[1]
37	AH0001	587.602	588.722	UNDERSTANDING	음.	[24]	[99]	[2]
38	AH0001	596.644	597.239	CONTINUER	네.	[24]	[101]	[1]
39	AH0001	602.824	603.219	CONTINUER	예.	[24]	[101]	[13]
40	AH0001	639.775	640.195	CONTINUER	네.	[26]	[107]	[19]
41	AH0001	672.325	672.955	CONTINUER	음.	[26]	[114]	[1]
42	AH0001	690.442	691.177	CONTINUER	네.	[26]	[115]	[13]
43	AH0001	707.66	708.04	CONTINUER	네.	[26]	[118]	[5]
44	AH0001	736.91	737.41	CONTINUER	네.	[28]	[121]	[17]
45	AH0001	754.121	754.496	CONTINUER	예.	[28]	[124]	[1]
46	AH0001	822.518	822.963	CONTINUER	네.	[32]	[135]	[1]
47	AH0001	829.215	829.67	CONTINUER	예.	[32]	[136]	[1]
48	AH0002	867.244	868.004	CONTINUER	아. 네.	[33]	[141]	[10]
49	AH0002	872.72	872.95	CONTINUER	네.	[35]	[144]	[2]
50	AH0002	878.682	878.952	CONTINUER	네.	[35]	[146]	[4]
51	AH0001	917.592	918.082	CONTINUER	네.	[36]	[152]	[18]
52	AH0001	966.046	966.551	CONTINUER	네.	[38]	[159]	[15]
53	AH0001	974.085	974.585	CONTINUER	네.	[38]	[160]	[12]
54	AH0001	989.888	990.408	CONTINUER	어.	[38]	[163]	[8]
55	AH0001	995.981	996.456	CONTINUER	네.	[38]	[164]	[8]
56	AH0001	1000.261	1000.996	CONTINUER	음.	[38]	[165]	[7]
57	AH0001	1017.132	1017.707	CONTINUER	네.	[38]	[169]	[1]
58	AH0001	1028.024	1028.569	CONTINUER	네.	[38]	[170]	[1]
59	AH0001	1065.628	1066.028	CONTINUER	예.	[38]	[175]	[4]
60	AH0001	1078.858	1079.403	CONTINUER	네.	[38]	[177]	[5]
61	AH0001	1096.361	1096.946	CONTINUER	네.	[40]	[181]	[1]
62	AH0001	1125.8	1126.25	CONTINUER	네.	[40]	[186]	[1]
63	AH0001	1135.569	1136.139	CONTINUER	네.	[42]	[188]	[2]
64	AH0001	1146.143	1146.488	CONTINUER	네.	[44]	[191]	[1]
65	AH0001	1154.613	1155.253	CONTINUER	음.	[44]	[191]	[16]
66	AH0001	1162.045	1162.64	CONTINUER	어.	[44]	[192]	[14]
67	AH0001	1187.425	1187.82	CONTINUER	네.	[44]	[195]	[15]
68	AH0001	1201.831	1202.636	CONTINUER	음.	[44]	[198]	[1]
69	AH0001	1210.066	1210.716	CONTINUER	네.	[44]	[198]	[13]
70	AH0001	1235.005	1235.465	CONTINUER	네.	[46]	[203]	[1]
71	AH0001	1240.794	1241.534	CONTINUER	음.	[46]	[203]	[10]
72	AH0001	1257.922	1258.542	CONTINUER	예.	[46]	[206]	[7]
