bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	20.713	20.878	CONTINUER	네.	[2]	[3]	[4]
2	AH0001	23.008	23.223	CONTINUER	예.	[2]	[3]	[7]
3	AH0001	27.918	28.173	CONTINUER	음.	[2]	[3]	[13]
4	AH0001	30.638	30.873	CONTINUER	네.	[2]	[3]	[19]
5	AH0001	35.05	35.37	CONTINUER	예.	[2]	[4]	[7]
6	AH0001	42.84	43.14	CONTINUER	네.	[2]	[5]	[14]
7	AH0001	62.888	63.023	CONTINUER	예.	[4]	[9]	[9]
8	AH0001	67.534	68.039	CONTINUER	어.	[4]	[10]	[1]
9	AH0001	71.205	71.625	AFFIRMATIVE	그래요.	[4]	[10]	[8]
10	AH0001	85.832	86.022	CONTINUER	네.	[4]	[12]	[18]
11	AH0001	87.919	88.529	AFFIRMATIVE	그랬겠죠.	[4]	[13]	[1]
12	AH0001	98.879	99.279	CONTINUER	네.	[4]	[13]	[25]
13	AH0002	111.083	111.442	AFFIRMATIVE	그렇죠.	[5]	[15]	[2]
14	AH0001	117.444	117.929	CONTINUER	예.	[6]	[17]	[13]
15	AH0001	125.676	125.931	CONTINUER	네.	[6]	[18]	[3]
16	AH0001	134.229	134.584	CONTINUER	네.	[6]	[18]	[16]
17	AH0001	135.724	136.069	CONTINUER	예.	[6]	[18]	[20]
18	AH0001	142.608	142.918	CONTINUER	음. 음.	[6]	[19]	[14]
19	AH0001	150.424	150.779	CONTINUER	예.	[6]	[20]	[7]
20	AH0002	165.487	165.702	CONTINUER	네.	[9]	[24]	[10]
21	AH0001	186.202	186.772	CONTINUER	아아.	[12]	[27]	[14]
22	AH0001	187.834	188.014	CONTINUER	네.	[12]	[28]	[1]
23	AH0001	194.544	194.924	CONTINUER	네.	[12]	[28]	[17]
24	AH0001	198.644	199.179	CONTINUER	오호.	[12]	[28]	[25]
25	AH0001	214.942	215.326	CONTINUER	네.	[12]	[29]	[24]
26	AH0001	221.997	222.362	CONTINUER	네.	[12]	[30]	[16]
27	AH0001	229.411	229.796	AFFIRMATIVE	그렇죠.	[12]	[31]	[16]
28	AH0001	232.121	232.396	AFFIRMATIVE	그래요.	[12]	[32]	[5]
29	AH0001	235.206	235.401	CONTINUER	네.	[12]	[32]	[11]
30	AH0001	253.394	253.724	CONTINUER	음.	[14]	[35]	[2]
31	AH0001	259.814	259.994	CONTINUER	네.	[14]	[35]	[19]
32	AH0001	261.409	263.229	AFFIRMATIVE	어이구. 그럼요. 네.	[14]	[35]	[22]
33	AH0001	281.256	282.466	CONTINUER	네. 예.	[14]	[37]	[9]
34	AH0001	292.954	293.299	CONTINUER	오.	[14]	[39]	[5]
35	AH0001	307.455	307.96	CONTINUER	네.	[14]	[40]	[23]
36	AH0001	311.811	312.201	CONTINUER	으흠.	[14]	[41]	[3]
37	AH0001	313.691	314.081	AFFIRMATIVE	그래요.	[14]	[41]	[7]
38	AH0001	334.799	335.099	CONTINUER	으흠.	[16]	[45]	[1]
39	AH0001	336.654	336.934	CONTINUER	네.	[16]	[45]	[2]
40	AH0001	337.974	338.169	CONTINUER	음.	[16]	[45]	[4]
41	AH0001	347.896	348.261	CONTINUER	네.	[16]	[46]	[11]
42	AH0001	355.541	356.091	CONTINUER	아.	[16]	[46]	[22]
43	AH0001	368.596	369.081	CONTINUER	네.	[16]	[47]	[30]
44	AH0001	379.348	379.668	CONTINUER	네.	[16]	[49]	[11]
45	AH0001	389.58	390.04	CONTINUER	네.	[16]	[50]	[1]
46	AH0001	395.855	396.42	CONTINUER	네.	[16]	[50]	[16]
47	AH0001	397.26	397.805	AFFIRMATIVE	그래요.	[16]	[50]	[20]
48	AH0001	414.28	414.5	CONTINUER	네.	[18]	[53]	[8]
49	AH0002	423.198	423.323	CONTINUER	네.	[19]	[55]	[1]
50	AH0002	441.329	441.779	AFFIRMATIVE	그렇죠.	[19]	[56]	[13]
51	AH0001	448.322	448.522	CONTINUER	네.	[20]	[57]	[18]
52	AH0001	451.322	451.582	CONTINUER	음.	[20]	[57]	[24]
53	AH0001	457.223	457.488	CONTINUER	네.	[20]	[58]	[1]
54	AH0001	461.098	461.418	CONTINUER	예.	[20]	[58]	[12]
55	AH0001	467.078	468.338	CONTINUER	음. 네.	[20]	[58]	[21]
56	AH0001	477.893	478.253	CONTINUER	네.	[20]	[59]	[16]
57	AH0001	486.609	486.968	AFFIRMATIVE	그래요.	[20]	[60]	[9]
58	AH0002	515.516	515.736	CONTINUER	네.	[21]	[65]	[3]
59	AH0001	522.199	522.564	CONTINUER	네.	[22]	[66]	[9]
60	AH0001	539.868	540.188	CONTINUER	네.	[26]	[73]	[5]
61	AH0001	581.395	581.645	CONTINUER	네.	[28]	[83]	[3]
62	AH0001	582.48	582.705	CONTINUER	네.	[28]	[83]	[5]
63	AH0001	584.13	584.88	CONTINUER	그래. 알겠습니다.	[28]	[83]	[10]
