uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	1.404	안녕하십니까	[]
1	1	2	SL0001	1.725	2.247	정치	[]
1	1	3	SL0001	2.367	3.109	경제교육	[]
1	1	4	SL0001	3.972	4.373	다양한	[]
1	1	5	SL0001	4.453	4.754	분야를	[]
1	1	6	SL0001	4.814	5.015	말	[]
1	1	7	SL0001	5.035	5.235	그대로	[]
1	1	8	SL0001	5.356	5.556	두루	[]
1	1	9	SL0001	5.576	6.439	섭렵하시면서	[]
1	2	1	SL0001	6.84	6.9	이	[]
1	2	2	SL0001	6.92	7.241	시대의	[]
1	2	3	SL0001	7.341	7.802	지식인으로	[]
1	2	4	SL0001	7.882	7.963	그	[]
1	2	5	SL0001	8.043	8.444	역할을	[]
1	2	6	SL0001	8.664	8.965	보여주고	[]
1	2	7	SL0001	9.005	9.165	계신	[]
1	2	8	SL0001	9.245	9.386	분이	[]
1	2	9	SL0001	9.406	10.348	있습니다.	[]
1	3	1	SL0001	10.348	10.829	가장	[]
1	3	2	SL0001	10.849	11.07	부러운	[]
1	3	3	SL0001	11.13	11.411	것은	[]
1	3	4	SL0001	11.631	11.932	많은	[]
1	3	5	SL0001	12.033	12.333	제자를	[]
1	3	6	SL0001	12.414	13.055	길러내셨고	[]
1	3	7	SL0001	13.617	14.078	그들로부터	[]
1	3	8	SL0001	14.178	14.62	존경과	[]
1	3	9	SL0001	14.7	14.98	사랑을	[]
1	3	10	SL0001	15.001	15.021	한	[]
1	3	11	SL0001	15.281	15.462	몸에	[]
1	3	12	SL0001	15.582	15.763	받고	[]
1	3	13	SL0001	15.783	16.063	계신다는	[]
1	3	14	SL0001	16.104	17.026	사실인데요.	[]
1	4	1	SL0001	17.026	17.688	이비에스	[]
1	4	2	SL0001	17.808	17.909	교육	[]
1	4	3	SL0001	17.969	18.25	초대석	[]
1	4	4	SL0001	18.731	18.992	오늘은	[]
1	4	5	SL0001	19.112	19.714	서울대학교	[]
1	4	6	SL0001	19.854	20.295	명예교수를	[]
1	4	7	SL0001	20.336	20.636	모시고	[]
1	4	8	SL0001	20.717	20.998	말씀	[]
1	4	9	SL0001	21.018	21.298	나눠보도록	[]
1	4	10	SL0001	21.419	22.201	하겠습니다.	[]
1	5	1	SL0001	22.201	22.383	선생님	[]
1	5	2	SL0001	22.666	23.374	안녕하십니까?	[]
1	6	1	SL0001	23.374	23.817	선생님	[]
1	6	2	SL0001	23.857	24.2	오랜만에	[]
1	6	3	SL0001	24.24	24.582	뵙는데	[]
1	6	4	SL0001	24.623	24.804	아주	[]
1	6	5	SL0001	24.925	25.187	건강해	[]
1	6	6	SL0001	25.307	26.113	보이시는데요?	[]
2	7	1	SL0002	26.113	26.72	네	[]
2	7	2	SL0002	26.801	27.124	건강	[]
2	7	3	SL0002	27.145	27.246	뭐	[]
2	7	4	SL0002	27.367	28.075	좋은	[]
2	7	5	SL0002	28.095	28.176	편입니다.	[]
3	8	1	SL0001	28.176	28.518	그	[]
3	8	2	SL0001	28.619	29.042	비결이	[]
3	8	3	SL0001	29.263	29.445	어디	[]
3	8	4	SL0001	29.465	30.371	있으실까요?	[]
4	9	1	SL0002	30.371	31.396	특별한	[]
4	9	2	SL0002	31.717	32.019	비결은	[]
4	9	3	SL0002	32.079	33.003	없고요.	[]
