bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	25.399	25.649	CONTINUER	네.	[7]	[10]	[5]
2	AH0001	31.364	31.684	CONTINUER	네.	[10]	[13]	[2]
3	AH0002	34.231	34.721	CONTINUER	예.	[11]	[15]	[2]
4	AH0001	41.324	42.699	UNDERSTANDING	아.	[12]	[16]	[12]
5	AH0001	47.429	47.954	UNDERSTANDING	음.	[14]	[18]	[2]
6	AH0001	49.569	50.379	UNDERSTANDING	음.	[14]	[18]	[3]
7	AH0001	62.104	62.449	CONTINUER	네.	[18]	[23]	[3]
8	AH0002	71.823	72.169	CONTINUER	네.	[19]	[25]	[10]
9	AH0002	79.988	80.433	UNDERSTANDING	아아.	[21]	[28]	[6]
10	AH0002	83.443	83.918	CONTINUER	예.	[21]	[28]	[11]
11	AH0001	89.29	89.83	CONTINUER	네.	[22]	[29]	[3]
12	AH0002	95.58	95.91	CONTINUER	네.	[23]	[30]	[8]
13	AH0002	101.498	101.903	CONTINUER	네.	[27]	[34]	[4]
14	AH0001	116.543	116.823	CONTINUER	네.	[28]	[36]	[9]
15	AH0001	125.845	126.96	UNDERSTANDING	아. 네.	[28]	[38]	[12]
16	AH0002	134.96	135.38	CONTINUER	네.	[31]	[42]	[4]
17	AH0002	140.254	140.454	CONTINUER	네.	[31]	[43]	[14]
18	AH0001	142.803	142.973	CONTINUER	네.	[32]	[44]	[5]
19	AH0001	150.995	151.59	CONTINUER	네.	[32]	[45]	[20]
20	AH0001	157.639	158.254	ASSESSMENT	어.	[32]	[47]	[5]
21	AH0001	164.471	164.756	CONTINUER	네.	[32]	[48]	[15]
22	AH0001	166.48	166.865	ASSESSMENT	어.	[32]	[49]	[4]
23	AH0002	178.092	178.612	CONTINUER	네네.	[33]	[51]	[4]
24	AH0001	182.588	183.293	ASSESSMENT	이야.	[34]	[52]	[10]
25	AH0001	186.952	187.527	REQUEST_CONFIRMATION	아 정말요?	[34]	[53]	[9]
26	AH0001	196.654	197.149	CONTINUER	네.	[36]	[56]	[11]
27	AH0001	198.981	199.566	ASSESSMENT	하.	[36]	[57]	[6]
28	AH0001	201.461	201.846	CONTINUER	음.	[36]	[57]	[12]
29	AH0001	205.126	205.741	ASSESSMENT	어.	[36]	[57]	[24]
30	AH0002	211.468	211.799	CONTINUER	네.	[37]	[58]	[8]
31	AH0001	228.33	228.78	UNDERSTANDING	아.	[38]	[61]	[12]
32	AH0001	232.184	232.564	AFFIRMATIVE	그쵸.	[38]	[61]	[25]
33	AH0001	235.249	235.589	CONTINUER	음.	[38]	[62]	[9]
34	AH0001	238.754	238.889	CONTINUER	음.	[38]	[62]	[17]
35	AH0001	246.344	246.984	UNDERSTANDING	아.	[40]	[64]	[11]
36	AH0002	250.514	250.784	CONTINUER	예.	[41]	[65]	[7]
37	AH0002	253.781	254.281	AFFIRMATIVE	맞아요.	[41]	[65]	[14]
38	AH0001	259.514	259.759	CONTINUER	네.	[42]	[67]	[7]
39	AH0001	262.594	263.369	AFFIRMATIVE	맞습니다.	[42]	[67]	[15]
40	AH0001	264.728	265.003	CONTINUER	음.	[42]	[68]	[5]
41	AH0002	275.886	276.831	AFFIRMATIVE	네. 아. 그쵸.	[43]	[70]	[3]
42	AH0001	284.181	284.821	ASSESSMENT	오.	[44]	[72]	[4]
43	AH0001	292.206	292.596	CONTINUER	네.	[46]	[74]	[6]
44	AH0001	294.891	295.241	AFFIRMATIVE	그쵸.	[46]	[74]	[11]
45	AH0001	296.301	296.601	CONTINUER	음.	[46]	[74]	[15]
46	AH0001	322.85	323.03	CONTINUER	음.	[48]	[80]	[5]
47	AH0001	328.165	328.44	CONTINUER	네.	[48]	[80]	[17]
48	AH0001	334.191	334.646	UNDERSTANDING	아.	[48]	[81]	[14]
49	AH0001	336.219	337.099	UNDERSTANDING	음.	[48]	[82]	[5]
50	AH0001	339.389	340.654	UNDERSTANDING	아. 네.	[48]	[82]	[13]
51	AH0001	343.809	344.159	CONTINUER	음.	[48]	[82]	[22]
52	AH0001	349.691	350.531	ASSESSMENT	아하.	[48]	[83]	[12]
53	AH0002	353.394	353.514	CONTINUER	네.	[49]	[84]	[6]
54	AH0002	371.546	371.751	CONTINUER	네.	[51]	[89]	[8]
55	AH0001	375.106	375.536	ASSESSMENT	아.	[52]	[90]	[3]
56	AH0001	392.093	392.398	CONTINUER	으흠.	[54]	[94]	[8]
57	AH0001	396.257	396.747	ASSESSMENT	아.	[54]	[94]	[17]
