bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	27.424	27.719	CONTINUER	예.	[1]	[7]	[1]
2	DG0002	32.049	32.479	CONTINUER	네.	[1]	[8]	[1]
3	DG0001	52.935	53.215	CONTINUER	네.	[2]	[11]	[7]
4	DG0001	59.994	60.334	UNDERSTANDING	네.	[2]	[12]	[1]
5	DG0001	68.689	69.269	CONTINUER	네.	[2]	[13]	[4]
6	DG0002	76.403	76.833	CONTINUER	네.	[3]	[15]	[7]
7	DG0002	103.471	103.791	CONTINUER	네.	[5]	[19]	[1]
8	DG0001	119.761	120.316	CONTINUER	네.	[6]	[21]	[1]
9	DG0001	124.805	125.19	CONTINUER	네.	[6]	[21]	[10]
10	DG0001	132.044	132.374	CONTINUER	네.	[6]	[22]	[6]
11	DG0001	140.166	140.551	CONTINUER	네.	[6]	[23]	[1]
12	DG0001	147.999	148.239	CONTINUER	네.	[6]	[23]	[13]
13	DG0001	151.204	151.914	CONTINUER	예.	[6]	[24]	[5]
14	DG0001	164.821	165.226	CONTINUER	네.	[6]	[26]	[1]
15	DG0002	196.673	196.878	CONTINUER	네.	[7]	[32]	[1]
16	DG0002	201.613	201.973	CONTINUER	네.	[7]	[32]	[8]
17	DG0002	208.728	209.048	CONTINUER	네.	[7]	[32]	[26]
18	DG0001	217.811	218.181	CONTINUER	네.	[8]	[34]	[11]
19	DG0001	229.607	229.852	CONTINUER	네.	[8]	[36]	[1]
20	DG0001	237.149	237.489	CONTINUER	네.	[8]	[37]	[1]
21	DG0001	242.772	243.127	CONTINUER	네.	[8]	[38]	[1]
22	DG0001	249.117	249.497	CONTINUER	네.	[8]	[38]	[8]
23	DG0001	266.199	266.594	CONTINUER	네.	[8]	[41]	[7]
24	DG0001	268.514	268.964	CONTINUER	네.	[8]	[41]	[11]
25	DG0002	287.659	288.049	CONTINUER	네네.	[9]	[43]	[16]
26	DG0001	297.507	297.892	CONTINUER	네.	[10]	[45]	[13]
27	DG0001	316.571	316.881	CONTINUER	네.	[10]	[47]	[12]
28	DG0001	327.614	328.009	CONTINUER	네.	[10]	[48]	[12]
29	DG0001	332.033	332.417	CONTINUER	네.	[10]	[50]	[1]
30	DG0001	337.508	337.883	CONTINUER	네.	[10]	[50]	[11]
31	DG0001	348.149	348.624	CONTINUER	네.	[10]	[51]	[12]
32	DG0001	356.653	357.043	CONTINUER	네.	[10]	[52]	[13]
33	DG0001	376.865	377.5	CONTINUER	네.	[10]	[54]	[15]
34	DG0001	398.67	399.105	CONTINUER	예.	[12]	[57]	[11]
35	DG0001	417.541	417.991	CONTINUER	네.	[12]	[61]	[1]
36	DG0001	438.068	438.373	CONTINUER	네.	[12]	[62]	[11]
37	DG0001	463.238	463.578	CONTINUER	네.	[14]	[65]	[9]
38	DG0001	471.391	471.841	CONTINUER	네.	[14]	[66]	[10]
39	DG0001	495.741	496.076	CONTINUER	네.	[14]	[69]	[10]
40	DG0001	503.979	504.444	CONTINUER	네.	[14]	[70]	[8]
41	DG0001	536.35	536.725	CONTINUER	예.	[16]	[74]	[12]
42	DG0001	540.005	540.34	CONTINUER	네.	[16]	[75]	[8]
43	DG0001	576.739	577.029	CONTINUER	네.	[16]	[80]	[1]
44	DG0001	624.211	625.006	AFFIRMATIVE	그렇습니다.	[18]	[85]	[10]
45	DG0001	639.632	640.147	CONTINUER	네.	[18]	[87]	[11]
46	DG0001	650.71	651.04	CONTINUER	네.	[18]	[89]	[1]
47	DG0001	656.35	657.395	CONTINUER	음. 예.	[18]	[89]	[10]
48	DG0001	667.805	668.19	CONTINUER	예.	[18]	[90]	[19]
49	DG0002	674.649	674.994	CONTINUER	네.	[19]	[91]	[14]
50	DG0001	694.007	694.352	CONTINUER	네.	[20]	[93]	[9]
51	DG0001	708.967	709.352	CONTINUER	네.	[20]	[95]	[1]
52	DG0001	712.252	712.617	CONTINUER	네.	[20]	[95]	[5]
53	DG0001	715.086	715.286	CONTINUER	네.	[20]	[96]	[4]
54	DG0001	729.317	729.872	CONTINUER	네.	[20]	[97]	[9]
55	DG0001	751.092	751.542	CONTINUER	네.	[20]	[99]	[14]
56	DG0001	770.42	770.91	CONTINUER	네.	[22]	[101]	[14]
57	DG0001	773.241	773.731	CONTINUER	네.	[22]	[102]	[1]
58	DG0001	783.913	784.278	CONTINUER	예.	[22]	[102]	[18]
59	DG0001	793.268	793.518	CONTINUER	네.	[22]	[103]	[13]
60	DG0001	801.855	802.39	CONTINUER	예.	[22]	[104]	[12]
61	DG0001	820.179	820.544	CONTINUER	네.	[24]	[108]	[1]
62	DG0001	823.849	824.179	CONTINUER	네.	[24]	[108]	[8]
63	DG0001	832.095	832.445	CONTINUER	네.	[26]	[110]	[10]
64	DG0002	858.229	858.639	CONTINUER	예.	[27]	[113]	[12]
65	DG0001	908.459	909.124	CONTINUER	네.	[28]	[119]	[17]
66	DG0001	914.706	915.106	CONTINUER	예.	[28]	[120]	[13]
67	DG0001	920.556	920.846	CONTINUER	네.	[28]	[120]	[26]
68	DG0001	929.792	930.297	CONTINUER	네.	[28]	[122]	[13]
69	DG0002	955.471	955.741	CONTINUER	네.	[29]	[125]	[22]
70	DG0001	982.301	982.641	CONTINUER	네.	[30]	[128]	[14]
71	DG0001	1000.981	1001.481	CONTINUER	예.	[30]	[131]	[1]
72	DG0001	1024.929	1025.399	CONTINUER	네.	[30]	[134]	[1]
73	DG0001	1033.812	1034.142	CONTINUER	예.	[30]	[134]	[17]
74	DG0001	1043.392	1043.862	CONTINUER	네.	[30]	[136]	[1]
75	DG0001	1048.931	1049.206	CONTINUER	네.	[30]	[137]	[1]
76	DG0001	1103.121	1103.486	CONTINUER	네.	[30]	[143]	[12]
77	DG0001	1113.385	1113.71	CONTINUER	예.	[30]	[144]	[20]
78	DG0001	1135.794	1136.039	CONTINUER	네.	[32]	[148]	[3]
79	DG0001	1151.342	1151.627	CONTINUER	예.	[32]	[150]	[5]
80	DG0001	1165.849	1166.174	CONTINUER	예.	[36]	[154]	[16]
81	DG0001	1168.856	1169.216	CONTINUER	네.	[36]	[155]	[7]
82	DG0001	1179.494	1179.864	CONTINUER	네.	[38]	[157]	[13]
83	DG0001	1188.411	1188.631	CONTINUER	네.	[38]	[158]	[8]
84	DG0001	1194.956	1195.301	CONTINUER	네.	[38]	[159]	[11]
85	DG0001	1202.37	1202.815	CONTINUER	네.	[38]	[160]	[10]
86	DG0001	1207.7	1207.915	CONTINUER	네.	[38]	[161]	[6]
87	DG0001	1216.839	1217.184	CONTINUER	네.	[38]	[162]	[12]
88	DG0001	1246.301	1246.716	UNDERSTANDING	네.	[40]	[168]	[1]
89	DG0001	1261.033	1261.448	CONTINUER	네.	[40]	[169]	[15]
90	DG0001	1273.483	1273.988	CONTINUER	네.	[40]	[171]	[1]
91	DG0001	1285.891	1286.101	CONTINUER	네.	[40]	[172]	[8]
92	DG0001	1292.091	1292.516	CONTINUER	네.	[40]	[174]	[1]
93	DG0001	1308.914	1309.379	CONTINUER	네.	[40]	[175]	[10]
94	DG0001	1315.432	1315.887	CONTINUER	예.	[40]	[177]	[1]
95	DG0001	1327.771	1328.126	CONTINUER	예.	[40]	[178]	[1]
96	DG0001	1331.897	1332.302	CONTINUER	예.	[40]	[178]	[7]
97	DG0001	1342.143	1342.473	CONTINUER	예.	[42]	[181]	[5]
98	DG0001	1357.362	1357.797	CONTINUER	예.	[44]	[183]	[8]
99	DG0001	1367.435	1369.235	AFFIRMATIVE	아. 그렇습니다. 예. 예.	[44]	[184]	[14]
100	DG0001	1380.041	1380.481	CONTINUER	네.	[44]	[186]	[1]
101	DG0001	1404.322	1405.052	UNDERSTANDING	예.	[46]	[190]	[4]
102	DG0001	1406.059	1406.814	CONTINUER	예.	[46]	[192]	[1]
103	DG0001	1424.398	1424.848	CONTINUER	예.	[48]	[195]	[7]
104	DG0001	1429.843	1430.283	CONTINUER	예.	[48]	[195]	[15]
105	DG0001	1437.322	1437.727	CONTINUER	네.	[48]	[196]	[9]
106	DG0001	1445.48	1445.77	CONTINUER	예.	[48]	[197]	[14]
107	DG0001	1446.995	1447.345	CONTINUER	예.	[]	[]	[]
108	DG0001	1453.193	1453.668	CONTINUER	예.	[50]	[200]	[1]
109	DG0001	1463.3	1463.89	CONTINUER	예.	[50]	[201]	[3]
110	DG0001	1465.255	1465.665	CONTINUER	예.	[50]	[201]	[8]
111	DG0001	1491.275	1491.775	UNDERSTANDING	네.	[52]	[204]	[15]
112	DG0001	1494.43	1494.915	CONTINUER	예.	[52]	[205]	[6]
113	DG0001	1499.757	1500.107	CONTINUER	예.	[52]	[206]	[10]
114	DG0001	1503.929	1504.239	CONTINUER	예.	[52]	[206]	[19]
115	DG0001	1536.45	1536.915	CONTINUER	예.	[56]	[213]	[5]
116	DG0001	1538.36	1538.74	CONTINUER	예.	[56]	[213]	[8]
117	DG0001	1548.625	1548.955	CONTINUER	네.	[56]	[214]	[8]
118	DG0001	1549.825	1550.185	CONTINUER	예.	[56]	[214]	[9]
119	DG0001	1559.064	1559.514	CONTINUER	예.	[56]	[215]	[15]
120	DG0001	1578.754	1579.399	CONTINUER	예.	[56]	[218]	[12]
121	DG0001	1581.077	1581.437	CONTINUER	예.	[56]	[219]	[1]
122	DG0001	1592.597	1592.997	CONTINUER	네.	[58]	[221]	[13]
123	DG0001	1595.057	1595.507	CONTINUER	예.	[58]	[221]	[17]
124	DG0002	1600.153	1600.378	CONTINUER	예.	[59]	[223]	[2]
125	DG0001	1609.884	1610.314	CONTINUER	네.	[60]	[225]	[9]
126	DG0001	1611.304	1611.814	AFFIRMATIVE	그렇군요.	[60]	[225]	[10]
127	DG0001	1620.258	1620.863	CONTINUER	예.	[60]	[227]	[1]
128	DG0001	1636.906	1637.111	CONTINUER	네.	[60]	[228]	[8]
129	DG0001	1646.926	1647.366	CONTINUER	네.	[60]	[229]	[3]
130	DG0001	1648.738	1649.312	AFFIRMATIVE	그렇군요.	[60]	[229]	[7]
131	DG0001	1659.29	1659.67	CONTINUER	예.	[60]	[230]	[11]
132	DG0001	1662.495	1662.865	CONTINUER	네.	[60]	[231]	[7]
133	DG0001	1706.393	1706.888	CONTINUER	예.	[62]	[235]	[13]
134	DG0001	1724.202	1724.552	CONTINUER	예.	[64]	[239]	[3]
135	DG0001	1732.292	1732.562	CONTINUER	네.	[64]	[239]	[20]
136	DG0001	1735.424	1735.884	CONTINUER	네.	[64]	[241]	[1]
137	DG0001	1756.096	1756.651	CONTINUER	네.	[64]	[243]	[4]
138	DG0001	1768.64	1768.885	CONTINUER	네.	[64]	[244]	[13]
139	DG0001	1771.973	1772.378	CONTINUER	네.	[64]	[245]	[1]
140	DG0001	1777.858	1778.198	CONTINUER	네.	[64]	[246]	[1]
141	DG0001	1803.416	1803.756	CONTINUER	예.	[68]	[251]	[2]
142	DG0001	1818.186	1818.521	CONTINUER	예.	[70]	[253]	[9]
143	DG0001	1822.994	1823.664	CONTINUER	예.	[]	[]	[]
144	DG0001	1830.163	1830.624	CONTINUER	네.	[72]	[255]	[12]
145	DG0001	1836.108	1836.553	CONTINUER	네.	[72]	[257]	[1]
146	DG0001	1884.357	1884.952	UNDERSTANDING	네.	[74]	[263]	[1]
147	DG0001	1893.429	1893.909	CONTINUER	네.	[74]	[264]	[12]
148	DG0001	1901.177	1901.767	CONTINUER	예.	[74]	[265]	[8]
149	DG0001	1914.667	1914.987	UNDERSTANDING	네.	[76]	[268]	[17]
150	DG0001	1916.487	1916.952	CONTINUER	네.	[76]	[269]	[4]
151	DG0001	1921.052	1921.457	CONTINUER	예.	[76]	[269]	[12]
152	DG0001	1935.495	1936.04	CONTINUER	예.	[78]	[271]	[4]
153	DG0001	1941.18	1941.705	CONTINUER	예.	[78]	[271]	[13]
154	DG0001	1948.224	1948.854	UNDERSTANDING	네.	[78]	[272]	[9]
155	DG0001	1953.728	1954.058	CONTINUER	예.	[78]	[273]	[1]
156	DG0001	1960.943	1961.258	CONTINUER	네.	[78]	[273]	[14]
157	DG0001	1962.042	1962.667	CONTINUER	네.	[78]	[274]	[1]
158	DG0002	1981.889	1982.099	CONTINUER	네.	[79]	[276]	[24]
159	DG0002	1984.314	1984.579	AFFIRMATIVE	그렇죠.	[79]	[277]	[6]
160	DG0001	2006.661	2007.181	CONTINUER	예.	[80]	[280]	[1]
161	DG0001	2026.581	2027.141	CONTINUER	네.	[80]	[283]	[1]
162	DG0001	2067.986	2068.496	CONTINUER	네.	[80]	[287]	[10]
163	DG0001	2073.749	2074.249	CONTINUER	예.	[80]	[288]	[1]
164	DG0001	2079.709	2080.049	CONTINUER	네.	[80]	[288]	[10]
165	DG0001	2085.085	2085.565	CONTINUER	예.	[80]	[289]	[1]
166	DG0001	2097.292	2097.772	CONTINUER	예.	[80]	[291]	[6]
167	DG0001	2100.522	2100.992	CONTINUER	예.	[80]	[291]	[15]
168	DG0001	2112.724	2113.184	CONTINUER	예.	[80]	[293]	[11]
169	DG0001	2117.346	2117.721	CONTINUER	예.	[80]	[295]	[1]
170	DG0001	2126.411	2126.936	CONTINUER	예.	[80]	[295]	[14]
171	DG0002	2138.697	2138.962	CONTINUER	네.	[81]	[297]	[3]
172	DG0001	2146.718	2147.108	CONTINUER	예.	[82]	[298]	[6]
173	DG0001	2162.384	2162.869	CONTINUER	예.	[82]	[300]	[1]
174	DG0001	2165.209	2165.489	CONTINUER	네.	[82]	[300]	[4]
175	DG0001	2171.587	2172.082	CONTINUER	예.	[84]	[302]	[1]
