bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	4.58	4.685	CONTINUER	음.	[1]	[1]	[5]
2	AH0002	7.7	7.92	CONTINUER	예.	[1]	[1]	[14]
3	AH0002	12.3	12.535	CONTINUER	예.	[1]	[1]	[26]
4	AH0002	16.951	17.226	CONTINUER	예.	[1]	[2]	[9]
5	AH0001	24.65	24.975	CONTINUER	어.	[2]	[3]	[3]
6	AH0001	34.914	35.254	CONTINUER	응.	[4]	[5]	[14]
7	AH0001	45.712	46.237	CONTINUER	어.	[6]	[8]	[2]
8	AH0001	48.022	48.207	CONTINUER	예.	[6]	[8]	[7]
9	AH0002	52.727	52.887	CONTINUER	예.	[7]	[9]	[3]
10	AH0002	55.492	55.862	CONTINUER	예.	[7]	[9]	[8]
11	AH0002	64.331	66.071	CONTINUER	음. 예. 예.	[7]	[10]	[15]
12	AH0001	74.473	74.893	CONTINUER	예.	[8]	[11]	[12]
13	AH0001	81.603	82.238	CONTINUER	어.	[8]	[12]	[5]
14	AH0001	85.223	85.403	CONTINUER	네.	[8]	[12]	[12]
15	AH0001	91.408	91.963	CONTINUER	예.	[8]	[12]	[24]
16	AH0001	94.95	96.37	UNDERSTANDING	아.	[8]	[13]	[5]
17	AH0001	100.036	100.606	CONTINUER	네.	[8]	[13]	[19]
18	AH0001	106.767	107.372	CONTINUER	어.	[8]	[14]	[15]
19	AH0001	108.307	108.722	CONTINUER	어.	[8]	[14]	[18]
20	AH0002	109.971	111.477	CONTINUER	응응. 예예.	[9]	[15]	[1]
21	AH0002	113.165	113.4	CONTINUER	예.	[9]	[15]	[9]
22	AH0002	115.245	115.61	CONTINUER	예.	[9]	[15]	[13]
23	AH0001	121.401	121.976	CONTINUER	음.	[10]	[16]	[8]
24	AH0001	129.845	130.67	CONTINUER	어.	[12]	[18]	[6]
25	AH0001	132.98	133.18	CONTINUER	네.	[12]	[18]	[10]
26	AH0001	143.471	143.716	CONTINUER	예.	[14]	[20]	[7]
27	AH0002	145.996	146.456	CONTINUER	예예.	[15]	[21]	[3]
28	AH0001	151.552	152.002	CONTINUER	음.	[16]	[22]	[4]
29	AH0002	158.259	158.399	CONTINUER	음.	[17]	[24]	[6]
30	AH0002	159.304	159.559	CONTINUER	예.	[17]	[24]	[7]
31	AH0001	166.093	166.493	CONTINUER	어.	[18]	[26]	[7]
32	AH0001	168.833	169.148	CONTINUER	어.	[18]	[26]	[14]
33	AH0001	173.081	173.336	CONTINUER	네.	[18]	[27]	[8]
34	AH0001	180.329	180.854	CONTINUER	음.	[18]	[28]	[7]
35	AH0001	185.126	186.306	CONTINUER	아.	[18]	[29]	[1]
36	AH0001	194.548	195.353	CONTINUER	어.	[18]	[30]	[9]
37	AH0001	198.758	199.153	CONTINUER	아.	[18]	[30]	[18]
38	AH0002	202.136	202.266	CONTINUER	음.	[19]	[31]	[7]
39	AH0002	203.271	203.916	AFFIRMATIVE	그렇죠. 예.	[19]	[31]	[9]
40	AH0002	205.975	206.53	AFFIRMATIVE	그렇습니다.	[19]	[32]	[8]
