bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	27.287	27.492	CONTINUER	네.	[5]	[7]	[15]
2	AH0002	28.632	28.832	CONTINUER	네.	[5]	[7]	[19]
3	AH0001	34.6	34.905	CONTINUER	음.	[6]	[8]	[3]
4	AH0001	37.645	38.52	AFFIRMATIVE	네. 그렇죠.	[6]	[9]	[6]
5	AH0001	42.119	42.549	CONTINUER	어.	[6]	[11]	[1]
6	AH0001	52.427	53.077	CONTINUER	아.	[6]	[12]	[7]
7	AH0001	62.161	62.451	CONTINUER	어.	[6]	[15]	[1]
8	AH0001	65.091	65.606	CONTINUER	네.	[6]	[15]	[12]
9	AH0001	68.082	68.415	CONTINUER	어.	[6]	[15]	[19]
10	AH0001	75.989	76.444	CONTINUER	네. 네.	[6]	[18]	[16]
11	AH0001	79.676	80.0	CONTINUER	네.	[6]	[19]	[5]
12	AH0001	84.222	84.797	CONTINUER	어.	[6]	[20]	[9]
13	AH0001	90.697	91.657	CONTINUER	음.	[6]	[21]	[11]
14	AH0001	92.876	93.085	CONTINUER	네.	[6]	[22]	[4]
15	AH0001	99.026	99.686	CONTINUER	어.	[6]	[24]	[4]
16	AH0001	109.741	110.171	CONTINUER	어.	[6]	[26]	[1]
17	AH0001	126.898	127.453	CONTINUER	음.	[6]	[27]	[17]
18	AH0001	146.017	146.622	CONTINUER	음.	[6]	[30]	[6]
19	AH0001	149.057	149.802	CONTINUER	아.	[6]	[30]	[12]
20	AH0001	159.668	160.033	CONTINUER	네.	[8]	[34]	[4]
21	AH0001	161.059	161.835	CONTINUER	어.	[8]	[34]	[9]
22	AH0001	167.292	167.457	CONTINUER	네.	[8]	[36]	[1]
23	AH0001	178.497	179.087	CONTINUER	어.	[8]	[38]	[8]
24	AH0001	179.988	180.458	CONTINUER	네.	[8]	[39]	[4]
25	AH0001	187.465	187.85	CONTINUER	음.	[8]	[41]	[6]
26	AH0001	193.069	193.379	CONTINUER	음.	[8]	[42]	[12]
27	AH0001	200.988	201.558	CONTINUER	아.	[8]	[44]	[1]
28	AH0001	209.314	210.384	CONTINUER	아.	[8]	[46]	[6]
29	AH0001	212.564	213.244	CONTINUER	네. 네.	[8]	[46]	[18]
30	AH0001	215.067	215.897	CONTINUER	어.	[8]	[47]	[5]
31	AH0001	217.654	217.804	CONTINUER	음.	[8]	[48]	[1]
32	AH0001	220.669	221.279	CONTINUER	네.	[8]	[48]	[9]
33	AH0001	225.58	227.615	CONTINUER	어. 아. 네네.	[8]	[49]	[10]
34	AH0001	239.445	240.22	CONTINUER	음.	[10]	[54]	[9]
35	AH0001	249.825	250.57	CONTINUER	음.	[10]	[57]	[16]
36	AH0001	265.198	265.623	CONTINUER	음.	[10]	[60]	[1]
37	AH0001	270.968	271.353	CONTINUER	네.	[10]	[60]	[17]
38	AH0001	284.643	285.513	CONTINUER	음.	[10]	[61]	[28]
39	AH0001	306.363	306.977	CONTINUER	음.	[10]	[65]	[15]
40	AH0001	310.57	311.022	CONTINUER	네.	[10]	[66]	[7]
41	AH0001	317.937	318.428	CONTINUER	네.	[10]	[67]	[21]
42	AH0001	333.699	333.954	CONTINUER	허.	[10]	[71]	[14]
43	AH0001	345.885	347.06	CONTINUER	음.	[12]	[76]	[12]
44	AH0001	348.509	349.071	CONTINUER	네.	[12]	[76]	[20]
45	AH0001	360.709	361.199	CONTINUER	음.	[12]	[80]	[19]
46	AH0001	363.284	363.599	CONTINUER	음.	[12]	[80]	[23]
47	AH0001	384.767	385.182	CONTINUER	음.	[12]	[87]	[1]
48	AH0001	390.637	391.592	CONTINUER	허. 호.	[12]	[90]	[1]
49	AH0001	401.283	402.073	CONTINUER	어.	[12]	[91]	[20]
50	AH0001	402.696	402.911	CONTINUER	네.	[12]	[92]	[1]
51	AH0001	407.37	408.075	CONTINUER	음.	[12]	[94]	[1]
52	AH0001	416.865	417.655	CONTINUER	어. 네네.	[12]	[96]	[17]
53	AH0001	418.873	419.173	CONTINUER	음.	[12]	[97]	[5]
54	AH0001	422.978	423.813	CONTINUER	음.	[12]	[97]	[14]
55	AH0001	438.901	440.001	CONTINUER	어.	[12]	[100]	[17]
56	AH0001	448.975	449.24	CONTINUER	음.	[12]	[103]	[1]
57	AH0001	453.43	453.76	CONTINUER	네.	[12]	[103]	[11]
58	AH0001	457.647	457.959	CONTINUER	음.	[12]	[104]	[13]
59	AH0001	471.148	471.412	CONTINUER	네.	[12]	[108]	[7]
60	AH0001	476.085	476.395	CONTINUER	네.	[12]	[109]	[11]
61	AH0001	479.513	479.813	CONTINUER	아.	[12]	[110]	[7]
62	AH0001	482.479	482.959	CONTINUER	네.	[12]	[111]	[1]
63	AH0001	493.882	494.172	CONTINUER	음.	[12]	[113]	[1]
64	AH0001	509.558	510.061	CONTINUER	어.	[14]	[117]	[13]
65	AH0001	519.349	520.004	CONTINUER	음.	[14]	[120]	[5]
66	AH0001	525.153	525.463	CONTINUER	음.	[14]	[123]	[1]
67	AH0001	533.76	534.111	CONTINUER	네.	[14]	[125]	[7]
68	AH0001	540.229	540.945	CONTINUER	네.	[14]	[126]	[18]
69	AH0001	562.846	563.182	CONTINUER	네.	[14]	[129]	[15]
70	AH0001	577.655	577.98	CONTINUER	네.	[14]	[132]	[11]
71	AH0001	578.782	579.112	CONTINUER	어.	[14]	[133]	[3]
72	AH0001	584.052	584.397	CONTINUER	네.	[14]	[134]	[3]
73	AH0001	586.712	587.242	CONTINUER	음.	[14]	[134]	[9]
74	AH0001	590.109	590.69	CONTINUER	음.	[14]	[135]	[5]
75	AH0001	598.855	599.225	CONTINUER	음.	[14]	[136]	[16]
76	AH0001	624.643	625.718	CONTINUER	음. 허.	[14]	[141]	[3]
77	AH0001	631.856	632.757	ASSESSMENT	어우.	[14]	[142]	[14]
78	AH0001	638.043	638.867	ASSESSMENT	와.	[14]	[143]	[10]
79	AH0001	642.794	643.609	CONTINUER	음.	[14]	[145]	[4]
80	AH0001	645.417	646.502	CONTINUER	어.	[14]	[145]	[11]
81	AH0001	650.802	651.153	CONTINUER	네.	[14]	[146]	[17]
82	AH0001	655.059	655.614	CONTINUER	아.	[14]	[149]	[1]
83	AH0001	660.073	660.458	CONTINUER	네.	[14]	[151]	[6]
84	AH0001	667.963	669.683	CONTINUER	어.	[14]	[152]	[23]
85	AH0001	674.733	675.348	CONTINUER	음.	[14]	[155]	[9]
86	AH0001	677.688	678.003	CONTINUER	네.	[14]	[157]	[3]
87	AH0001	678.067	678.377	CONTINUER	어.	[14]	[157]	[3]
88	AH0001	684.643	685.413	CONTINUER	음.	[14]	[158]	[15]
89	AH0001	691.772	692.242	CONTINUER	음.	[14]	[159]	[11]
90	AH0001	693.242	694.145	CONTINUER	아.	[14]	[159]	[14]
91	AH0001	699.267	699.527	CONTINUER	네.	[14]	[160]	[15]
92	AH0001	737.163	737.693	CONTINUER	음.	[14]	[166]	[1]
93	AH0001	741.382	741.913	CONTINUER	어.	[14]	[166]	[11]
94	AH0001	745.288	745.638	CONTINUER	네.	[14]	[167]	[9]
95	AH0001	747.958	748.233	CONTINUER	허.	[14]	[167]	[15]
