bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	13.826	14.241	CONTINUER	음흠.	[4]	[4]	[10]
2	AH0001	29.027	29.662	CONTINUER	예.예.	[6]	[7]	[15]
3	AH0001	33.237	33.507	CONTINUER	음.	[6]	[7]	[25]
4	AH0001	45.196	45.566	CONTINUER	음흠.	[6]	[8]	[24]
5	AH0001	49.418	50.103	CONTINUER	예.예.	[6]	[9]	[6]
6	AH0001	73.805	74.29	CONTINUER	음흠.	[12]	[19]	[6]
7	AH0001	90.628	91.028	CONTINUER	네.	[14]	[24]	[1]
8	AH0001	106.991	107.731	CONTINUER	어.	[18]	[28]	[11]
9	AH0001	113.32	113.855	CONTINUER	음흠.	[18]	[30]	[8]
10	AH0001	125.657	126.262	CONTINUER	음.	[18]	[33]	[1]
11	AH0001	132.179	132.864	CONTINUER	어.	[18]	[34]	[1]
12	AH0001	135.152	136.092	CONTINUER	예.예.	[18]	[34]	[5]
13	AH0001	144.234	144.689	CONTINUER	음.	[20]	[37]	[11]
14	AH0001	148.099	148.424	CONTINUER	예.	[]	[]	[]
15	AH0001	150.304	151.039	CONTINUER	예.예.	[22]	[39]	[2]
16	AH0001	156.154	156.489	CONTINUER	어.	[22]	[40]	[7]
17	AH0001	160.269	160.629	CONTINUER	예.	[22]	[41]	[10]
18	AH0001	167.719	168.414	CONTINUER	예.예.예.	[24]	[43]	[1]
19	AH0001	171.304	171.684	CONTINUER	음.	[24]	[43]	[6]
20	AH0001	173.159	173.669	CONTINUER	아.	[24]	[43]	[10]
21	AH0001	180.377	180.817	CONTINUER	음흠.	[24]	[45]	[5]
22	AH0001	183.567	184.047	CONTINUER	네.	[24]	[45]	[11]
23	AH0001	186.314	187.279	UNDERSTANDING	아.	[24]	[46]	[1]
24	AH0001	198.257	198.537	CONTINUER	예.	[24]	[46]	[17]
25	AH0001	204.943	205.303	CONTINUER	음흠.	[26]	[50]	[3]
26	AH0001	206.951	207.351	CONTINUER	네.	[26]	[50]	[7]
27	AH0001	210.927	211.737	CONTINUER	어.	[26]	[52]	[1]
28	AH0001	226.49	226.835	CONTINUER	음.	[32]	[58]	[4]
29	AH0001	228.434	228.929	CONTINUER	아.	[32]	[58]	[5]
30	AH0001	235.579	236.069	CONTINUER	음.	[32]	[59]	[16]
31	AH0001	251.902	252.607	UNDERSTANDING	아.	[34]	[65]	[5]
32	AH0001	258.324	258.699	CONTINUER	음흠.	[34]	[67]	[6]
33	AH0001	262.776	263.526	CONTINUER	네.네.	[34]	[68]	[4]
34	AH0001	268.341	268.596	CONTINUER	음.	[34]	[68]	[13]
35	AH0001	276.97	277.63	CONTINUER	네.네.	[34]	[71]	[1]
36	AH0001	278.655	279.135	CONTINUER	예.	[34]	[71]	[4]
37	AH0001	281.61	282.15	CONTINUER	음흠.	[34]	[71]	[13]
38	AH0001	286.674	286.929	CONTINUER	네.	[34]	[72]	[11]
39	AH0001	310.119	310.799	CONTINUER	아.	[40]	[81]	[2]
40	AH0001	315.205	315.705	CONTINUER	어.	[40]	[81]	[11]
41	AH0001	327.812	328.062	CONTINUER	음.	[40]	[84]	[5]
42	AH0001	336.864	337.824	CONTINUER	네.네.	[40]	[85]	[1]
43	AH0001	338.974	339.449	CONTINUER	예.	[40]	[86]	[1]
44	AH0001	340.409	340.684	CONTINUER	예.	[40]	[86]	[3]
45	AH0001	342.004	342.284	CONTINUER	음.	[40]	[87]	[2]
46	AH0001	345.215	345.86	ASSESSMENT	어허.	[40]	[88]	[1]
47	AH0002	359.098	359.403	CONTINUER	네.	[43]	[92]	[5]
48	AH0002	362.328	362.948	AFFIRMATIVE	그렇습니다.	[43]	[92]	[11]
49	AH0001	371.57	371.92	CONTINUER	음흠.	[44]	[94]	[11]
50	AH0001	392.543	393.048	UNDERSTANDING	아.	[48]	[99]	[7]
51	AH0001	397.52	398.31	CONTINUER	예.예.	[48]	[100]	[3]
52	AH0001	407.071	407.806	CONTINUER	어.	[50]	[103]	[6]
53	AH0001	417.211	417.561	CONTINUER	예.	[50]	[107]	[1]
54	AH0001	437.76	438.5	CONTINUER	어.	[54]	[112]	[13]
55	AH0001	453.664	454.064	CONTINUER	네.	[58]	[118]	[2]
56	AH0001	457.664	458.169	CONTINUER	음.	[58]	[119]	[10]
57	AH0001	461.018	461.773	CONTINUER	아.	[58]	[120]	[6]
58	AH0001	469.574	470.234	CONTINUER	음흠.	[60]	[124]	[6]
59	AH0001	476.308	477.383	CONTINUER	네.네.	[60]	[126]	[1]
60	AH0001	488.89	489.255	CONTINUER	예.예.	[62]	[128]	[3]
61	AH0001	497.947	498.412	CONTINUER	음.	[62]	[130]	[1]
62	AH0001	503.05	503.345	CONTINUER	예.	[62]	[131]	[6]
63	AH0001	506.975	507.215	CONTINUER	음.	[62]	[131]	[15]
64	AH0001	517.94	518.195	CONTINUER	흠음.	[62]	[132]	[13]
65	AH0001	518.845	519.085	CONTINUER	음.	[62]	[132]	[15]
66	AH0001	520.867	521.592	CONTINUER	네.네.	[62]	[134]	[1]
67	AH0001	524.866	525.421	CONTINUER	음.	[62]	[135]	[1]
68	AH0001	545.169	545.474	CONTINUER	음.	[64]	[139]	[4]
69	AH0001	550.499	550.924	CONTINUER	네.	[64]	[141]	[1]
70	AH0001	554.454	554.809	CONTINUER	음.	[64]	[142]	[1]
71	AH0001	558.278	558.683	CONTINUER	네.	[64]	[143]	[1]
72	AH0001	567.326	567.596	CONTINUER	음.	[64]	[144]	[7]
73	AH0001	583.96	584.51	CONTINUER	어.	[66]	[148]	[3]
74	AH0001	593.273	593.598	CONTINUER	예.	[66]	[149]	[13]
75	AH0001	594.99	595.855	AFFIRMATIVE	그렇죠. 그렇죠.	[66]	[150]	[1]
76	AH0001	598.601	598.796	CONTINUER	음.	[66]	[152]	[1]
77	AH0001	599.541	599.971	CONTINUER	음흠.	[66]	[152]	[3]
78	AH0001	608.424	608.864	CONTINUER	네.	[66]	[153]	[11]
79	AH0002	622.975	623.265	CONTINUER	네.	[69]	[157]	[7]
80	AH0001	651.064	651.414	CONTINUER	음.	[74]	[162]	[16]
81	AH0001	655.334	655.969	CONTINUER	네.	[74]	[162]	[25]
82	AH0001	661.663	661.923	CONTINUER	음.	[74]	[164]	[1]
83	AH0001	662.853	663.268	CONTINUER	음흠.	[74]	[164]	[2]
84	AH0001	668.932	669.417	AFFIRMATIVE	그렇죠.	[76]	[167]	[1]
85	AH0001	670.062	670.277	ASSESSMENT	아.	[76]	[167]	[4]
86	AH0001	671.52	672.115	UNDERSTANDING	아하.	[76]	[168]	[3]
87	AH0001	675.802	676.412	CONTINUER	네.	[76]	[170]	[1]
88	AH0001	680.652	681.212	CONTINUER	네.	[76]	[170]	[8]
89	AH0001	684.504	684.949	CONTINUER	음흠.	[76]	[171]	[7]
90	AH0001	691.711	692.186	CONTINUER	네.	[76]	[174]	[1]
91	AH0001	695.381	695.761	CONTINUER	음흠.	[76]	[174]	[6]
92	AH0001	699.159	699.499	AFFIRMATIVE	그렇죠.	[76]	[176]	[1]
93	AH0001	703.694	704.039	CONTINUER	네.	[76]	[176]	[12]
94	AH0002	706.899	707.124	CONTINUER	네.	[77]	[177]	[5]
95	AH0002	710.129	710.349	CONTINUER	음.	[77]	[177]	[10]
96	AH0002	711.464	711.789	CONTINUER	네.	[77]	[177]	[12]
