uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.304	법을	[]
1	1	2	AH0001	1.364	1.605	알면	[]
1	1	3	AH0001	1.665	1.887	나를	[]
1	1	4	AH0001	1.967	2.208	지킬	[]
1	1	5	AH0001	2.329	2.369	수	[]
1	1	6	AH0001	2.409	2.831	있다.	[]
1	2	1	AH0001	2.831	3.353	꼭	[]
1	2	2	AH0001	3.474	3.876	알아야	[]
1	2	3	AH0001	3.896	3.916	할	[]
1	2	4	AH0001	4.177	4.579	생생한	[]
1	2	5	AH0001	4.66	4.861	생활	[]
1	2	6	AH0001	4.941	5.202	법률	[]
1	2	7	AH0001	5.343	5.564	이야기	[]
2	3	1	AH0002	6.026	6.751	@이름1의	[]
2	3	2	AH0002	7.013	7.296	오늘	[]
2	3	3	AH0002	7.558	7.739	이	[]
2	3	4	AH0002	7.981	8.001	법	[]
3	4	1	AH0001	8.404	8.947	@이름1	[]
3	4	2	AH0001	8.988	9.33	변호사님	[]
3	4	3	AH0001	9.37	9.873	오셨습니다	[]
3	4	4	AH0001	9.974	10.135	어서	[]
3	4	5	AH0001	10.215	10.638	오세요.	[]
4	5	1	AH0002	10.639	12.506	네.안녕하셨어요.	[]
5	6	1	AH0001	12.506	13.192	오프닝에서	[]
5	6	2	AH0001	13.333	13.878	폭행죄	[]
5	6	3	AH0001	14.039	14.282	얘기를	[]
5	6	4	AH0001	14.342	14.907	했는데요.	[1]
5	7	1	AH0001	15.124	15.204	이	[]
5	7	2	AH0001	15.365	15.707	폭력	[]
5	7	3	AH0001	15.949	16.693	범죄자들	[]
5	7	4	AH0001	17.015	17.176	어떻게	[]
5	7	5	AH0001	17.257	18.705	생각하세요?	[]
6	8	1	AH0002	18.705	19.026	아	[]
6	8	2	AH0002	19.166	19.487	이게	[]
6	8	3	AH0002	20.409	20.65	그	[]
6	8	4	AH0002	20.79	21.01	제가	[]
6	8	5	AH0002	21.111	21.391	검사	[]
6	8	6	AH0002	21.411	21.772	하면서	[]
6	8	7	AH0002	21.892	22.273	정말	[]
6	8	8	AH0002	22.373	22.554	많이	[]
6	8	9	AH0002	22.614	23.015	느꼈던	[]
6	8	10	AH0002	23.095	23.276	게	[]
6	8	11	AH0002	23.396	23.576	그냥	[]
6	8	12	AH0002	23.656	23.897	보통	[]
6	8	13	AH0002	24.258	24.378	그냥	[]
6	8	14	AH0002	24.438	24.799	사건	[]
6	8	15	AH0002	24.919	25.06	뭐	[]
6	8	16	AH0002	25.26	25.701	평범한	[]
6	8	17	AH0002	25.781	26.162	사람들	[]
6	8	18	AH0002	26.182	26.724	있잖아요	[]
6	8	19	AH0002	26.824	27.225	평범한	[]
6	8	20	AH0002	27.305	27.806	사람들	[]
6	8	21	AH0002	27.906	28.307	있는데	[]
6	9	1	AH0002	29.124	29.925	폭행으로	[]
6	9	2	AH0002	30.166	30.567	수사를	[]
6	9	3	AH0002	30.687	31.007	받은	[]
6	9	4	AH0002	31.107	31.568	전력이	[]
6	9	5	AH0002	31.608	31.929	있으신	[]
6	9	6	AH0002	32.009	32.129	분이	[]
6	9	7	AH0002	32.209	32.831	굉장히	[]
6	9	8	AH0002	32.891	34.814	많았어요.	[2]
6	10	1	AH0002	34.89	35.01	그래서	[]
6	10	2	AH0002	35.652	35.772	케	[]
6	10	3	AH0002	36.694	36.935	진짜	[]
6	10	4	AH0002	37.055	37.476	평범한	[]
6	10	5	AH0002	37.536	37.797	사람인	[]
6	10	6	AH0002	37.897	37.977	거	[]
6	10	7	AH0002	37.997	38.318	같은데	[]
6	10	8	AH0002	38.338	38.418	이렇게	[]
6	10	9	AH0002	38.458	38.759	얘기를	[]
6	10	10	AH0002	38.859	39.54	들어보면	[]
6	10	11	AH0002	39.641	40.262	옛날에는	[]
6	10	12	AH0002	40.422	40.443	왜	[]
6	11	1	AH0002	41.105	41.626	젊을	[]
6	11	2	AH0002	41.746	41.886	때	[]
6	11	3	AH0002	41.967	42.307	어렸을	[]
6	11	4	AH0002	42.427	42.528	때	[]
6	11	5	AH0002	42.928	43.529	친구들끼리	[]
6	11	6	AH0002	43.589	44.01	우르르	[]
6	11	7	AH0002	44.11	45.453	몰려다니면서	[]
6	11	8	AH0002	45.473	46.174	아이까	[]
6	11	9	AH0002	46.274	46.555	친구들이랑	[]
6	11	10	AH0002	46.635	46.875	놀다가	[]
6	11	11	AH0002	46.995	47.236	누군가	[]
6	11	12	AH0002	47.316	47.657	시비를	[]
6	11	13	AH0002	47.757	48.198	걸면	[]
6	11	14	AH0002	48.698	48.779	그	[]
