uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.342	그게	[]
1	1	2	AH0001	1.403	1.503	한	[]
1	1	3	AH0001	1.623	2.004	열다섯	[]
1	1	4	AH0001	2.084	2.245	개가	[]
1	1	5	AH0001	2.305	2.506	걸려	[]
1	1	6	AH0001	2.546	2.847	있어요	[]
1	1	7	AH0001	3.549	3.95	달력이	[]
1	1	8	AH0001	4.632	4.832	벽을	[]
1	1	9	AH0001	4.952	5.253	쭉	[]
1	1	10	AH0001	5.374	5.955	돌아가면서	[]
1	1	11	AH0001	6.958	7.279	놀래서	[]
1	1	12	AH0001	7.299	7.46	이렇게	[]
1	1	13	AH0001	7.5	7.68	보니깐	[]
1	2	1	AH0001	8.635	8.755	그	[]
1	2	2	AH0001	8.855	9.256	강릉	[]
1	2	3	AH0001	9.456	10.116	시내에서	[]
1	2	4	AH0001	10.677	10.937	무슨	[]
1	2	5	AH0001	11.297	11.978	농기구상회	[1]
1	2	6	AH0001	12.739	12.859	또	[]
1	2	7	AH0001	12.939	13.119	무슨	[]
1	2	8	AH0001	13.239	13.419	비료	[]
1	2	9	AH0001	13.499	13.82	사회	[]
1	2	10	AH0001	14.22	14.26	뭐	[]
1	2	11	AH0001	14.3	14.44	이런	[]
1	2	12	AH0001	14.48	14.66	데서	[]
1	2	13	AH0001	14.72	15.361	낸	[2]
1	2	14	AH0001	15.541	15.941	달력을	[]
1	2	15	AH0001	15.961	15.981	다	[]
1	2	16	AH0001	17.102	17.383	걸어준	[]
1	2	17	AH0001	17.403	17.483	거예요.	[]
2	3	1	AH0002	17.843	17.923	짐작이	[]
2	3	2	AH0002	18.063	18.164	갈	[]
2	3	3	AH0002	18.244	18.344	것	[]
2	3	4	AH0002	18.404	18.665	같아요.	[]
2	3	5	AH0002	18.745	19.006	어떨	[]
2	3	6	AH0002	19.126	19.186	때	[]
2	3	7	AH0002	19.286	19.587	비료를	[]
2	3	8	AH0002	19.667	19.867	하고	[]
2	3	9	AH0002	19.908	20.108	어떨	[]
2	3	10	AH0002	20.188	20.248	때는	[]
2	3	11	AH0002	20.308	20.609	종모	[]
2	3	12	AH0002	20.629	20.87	그러니까	[]
2	3	13	AH0002	20.97	21.17	모를	[]
2	3	14	AH0002	21.291	21.752	심고	[3]
2	3	15	AH0002	21.892	22.012	또	[]
2	3	16	AH0002	22.153	22.233	물	[]
2	3	17	AH0002	22.353	22.573	때는	[]
2	3	18	AH0002	22.694	22.794	또	[]
2	3	19	AH0002	22.814	24.057	어떻고	[4]
2	3	20	AH0002	24.157	24.297	그런	[]
2	3	21	AH0002	24.357	24.598	것들을	[]
2	3	22	AH0002	24.658	25.059	맞춰주는	[]
2	3	23	AH0002	25.099	25.38	거니까	[]
3	4	1	AH0001	25.665	26.166	그러니까	[5]
3	4	2	AH0001	26.587	27.027	어디가	[]
3	4	3	AH0001	27.208	27.688	어떤	[]
3	4	4	AH0001	28.329	28.69	그	[]
3	4	5	AH0001	29.011	29.351	저기에서	[]
3	4	6	AH0001	29.411	29.972	나온	[]
3	4	7	AH0001	29.992	30.012	게	[]
3	4	8	AH0001	30.353	30.513	뭐	[]
3	4	9	AH0001	30.533	30.673	해도	[]
3	4	10	AH0001	30.754	31.194	좋다라고	[]
3	4	11	AH0001	31.234	31.294	하는	[]
3	4	12	AH0001	31.355	31.535	것도	[]
3	4	13	AH0001	31.575	31.855	있고	[]
3	4	14	AH0001	31.875	31.895	또	[]
3	4	15	AH0001	32.517	32.757	하나는	[]
3	4	16	AH0001	32.837	33.037	갖다	[]
3	4	17	AH0001	33.098	33.398	줬는데	[]
3	4	18	AH0001	33.518	33.899	버리기가	[]
3	4	19	AH0001	33.979	34.3	미안하니깐	[]
3	4	20	AH0001	34.4	34.44	다	[]
3	4	21	AH0001	34.48	35.381	걸어놨어요	[]
3	4	22	AH0001	35.482	35.782	그게	[]
3	4	23	AH0001	35.802	35.822	다	[]
3	4	24	AH0001	36.143	36.483	홍보해	[]
3	4	25	AH0001	36.583	36.704	주는	[]
3	4	26	AH0001	36.784	37.545	거죠.	[]
4	5	1	AH0002	38.159	38.319	그래서	[]
4	5	2	AH0002	38.399	38.58	제가	[]
4	5	3	AH0002	39.04	39.12	그	[]
4	5	4	AH0002	39.18	39.501	자료를	[]
4	5	5	AH0002	39.601	40.021	보다가	[6]
4	5	6	AH0002	40.061	40.382	흥미로운	[]
4	5	7	AH0002	40.542	40.923	견해를	[]
4	5	8	AH0002	40.983	41.123	하나	[]
4	5	9	AH0002	41.203	41.824	봤는데요.	[7]
4	5	10	AH0002	41.844	41.984	그러니까	[]
4	5	11	AH0002	42.124	42.785	역자가	[]
4	5	12	AH0002	42.825	43.165	한자로	[]
4	5	13	AH0002	43.246	43.306	두	[]
4	5	14	AH0002	43.366	43.886	개잖아요.	[8]
4	5	15	AH0002	44.147	44.527	역사를	[]
4	5	16	AH0002	44.587	44.667	할	[]
4	5	17	AH0002	44.767	44.908	때는	[]
4	5	18	AH0002	44.988	45.488	그칠지	[]
4	5	19	AH0002	45.548	45.729	밑에	[]
4	5	20	AH0002	45.749	45.909	있는	[]
4	5	21	AH0002	45.969	46.53	역자하고	[9]
4	5	22	AH0002	46.95	48.292	역법을할땐	[]
4	5	23	AH0002	48.412	48.893	역이라고	[]
4	5	24	AH0002	48.933	49.093	하는	[]
4	5	25	AH0002	49.213	49.333	거	[]
4	5	26	AH0002	49.514	49.894	역사	[]
4	5	27	AH0002	49.914	50.415	할때역은	[]
4	5	28	AH0002	50.575	51.416	과거에	[]
4	5	29	AH0002	51.817	52.137	내용을	[]
4	5	30	AH0002	52.197	52.537	정리한	[]
4	5	31	AH0002	52.598	52.778	거고	[]
4	6	1	AH0002	53.25	53.771	역이라고	[]
4	6	2	AH0002	53.811	54.072	하는건	[]
4	6	3	AH0002	54.212	54.653	다가올	[]
4	6	4	AH0002	54.733	55.093	날을	[10]
4	6	5	AH0002	55.554	56.135	예측하는	[]
4	6	6	AH0002	56.216	56.676	거다라고	[]
4	6	7	AH0002	56.716	56.977	하는데	[11]
4	6	8	AH0002	57.077	58.54	그럴듯하더라고요.	[]
4	6	9	AH0002	58.76	58.86	네.	[]
4	6	10	AH0002	58.941	59.181	그래서	[]
4	6	11	AH0002	59.221	59.401	그걸	[]
4	6	12	AH0002	59.482	59.822	역법	[]
4	6	13	AH0002	60.103	60.503	다가올	[]
4	6	14	AH0002	60.644	60.944	날을	[]
4	6	15	AH0002	61.145	61.686	언제가	[]
4	6	16	AH0002	61.726	61.986	어떤	[]
4	6	17	AH0002	62.026	62.147	일이	[]
4	6	18	AH0002	62.167	62.647	있을지를	[]
4	6	19	AH0002	62.728	63.229	예측하는	[]
4	6	20	AH0002	63.309	63.329	것.	[12]
4	7	1	AH0002	64.025	64.245	근데	[]
4	7	2	AH0002	64.385	65.006	지금보다	[]
4	7	3	AH0002	65.086	65.346	그때가	[]
4	7	4	AH0002	65.386	65.567	훨씬	[]
4	7	5	AH0002	65.627	65.667	더	[]
4	7	6	AH0002	65.747	66.327	중요했겠구나	[13]
4	7	7	AH0002	66.448	66.668	이렇게	[]
4	7	8	AH0002	66.728	66.968	생각을	[]
4	7	9	AH0002	66.988	67.288	하시면	[]
4	7	10	AH0002	67.368	67.629	이	[]
4	7	11	AH0002	68.029	68.41	중요도를	[]
4	7	12	AH0002	68.45	68.87	짐작하실	[]
4	7	13	AH0002	68.93	68.97	수	[14]
4	7	14	AH0002	69.01	69.19	있을	[]
4	7	15	AH0002	69.21	69.25	것	[]
4	7	16	AH0002	69.331	69.791	같습니다.	[]
5	8	1	AH0001	69.791	70.171	어쨌건	[]
5	8	2	AH0001	70.392	71.472	@이름407라고	[]
5	8	3	AH0001	71.512	71.653	하는	[]
5	8	4	AH0001	71.773	71.973	분이	[]
5	8	5	AH0001	72.613	72.934	에	[]
5	8	6	AH0001	73.294	73.714	서울에	[]
5	8	7	AH0001	73.855	73.955	그	[]
5	8	8	AH0001	74.075	74.335	그때는	[]
5	8	9	AH0001	74.375	74.495	인제	[]
5	8	10	AH0001	74.555	75.056	한양이죠?	[]
5	8	11	AH0001	75.076	75.976	어	[15]
5	8	12	AH0001	76.096	76.337	삼십팔	[]
5	8	13	AH0001	76.677	76.757	도	[]
5	8	14	AH0001	76.777	77.157	뭐	[16]
5	8	15	AH0001	77.678	77.978	지금으로	[]
5	8	16	AH0001	78.078	78.258	치면	[]
5	8	17	AH0001	78.338	78.879	정확하게	[]
5	8	18	AH0001	78.899	78.979	한	[]
5	8	19	AH0001	79.059	79.459	삼십칠	[]
5	8	20	AH0001	79.539	79.599	도	[]
5	8	21	AH0001	79.66	79.86	사십	[]
5	8	22	AH0001	79.96	79.98	분	[]
6	9	1	AH0002	80.184	80.204	네	[]
6	9	2	AH0002	80.285	80.508	네	[]
6	9	3	AH0002	80.569	80.751	사십	[]
6	9	4	AH0002	80.811	80.852	분	[]
6	9	5	AH0002	80.913	81.196	정도	[]
7	10	1	AH0001	81.196	81.316	네	[]
