bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	6.485	6.72	CONTINUER	네.	[1]	[2]	[5]
2	AH0001	23.45	23.65	CONTINUER	예.	[2]	[4]	[1]
3	AH0001	25.63	25.92	CONTINUER	네.	[2]	[4]	[4]
4	AH0001	27.57	27.895	CONTINUER	예.	[2]	[5]	[1]
5	AH0001	30.142	30.522	CONTINUER	아.	[2]	[6]	[1]
6	AH0001	33.757	34.057	CONTINUER	예.	[2]	[6]	[7]
7	AH0001	36.857	37.447	CONTINUER	네.	[2]	[6]	[12]
8	AH0001	42.02	42.305	CONTINUER	으흠.	[2]	[7]	[6]
9	AH0001	48.1	49.145	CONTINUER	어. 네.	[2]	[7]	[13]
10	AH0002	52.217	52.647	CONTINUER	네네.	[3]	[8]	[7]
11	AH0002	52.734	53.319	AFFIRMATIVE	맞습니다.	[3]	[9]	[1]
12	AH0002	55.914	56.224	CONTINUER	네.	[3]	[9]	[7]
13	AH0002	57.989	58.309	CONTINUER	네.	[3]	[9]	[9]
14	AH0001	65.432	65.962	CONTINUER	예.	[4]	[11]	[5]
15	AH0001	67.509	67.834	CONTINUER	네.	[4]	[11]	[8]
16	AH0002	72.151	72.311	CONTINUER	네.	[5]	[13]	[1]
17	AH0002	84.019	85.114	AFFIRMATIVE	네네. 맞습니다. 네.	[7]	[15]	[12]
18	AH0002	88.184	88.489	CONTINUER	네.	[7]	[15]	[20]
19	AH0002	90.873	91.273	CONTINUER	네네.	[7]	[15]	[24]
20	AH0002	97.804	98.024	CONTINUER	네.	[7]	[17]	[7]
21	AH0001	109.311	109.616	CONTINUER	네.	[8]	[19]	[1]
22	AH0001	114.696	115.091	CONTINUER	예예.	[8]	[19]	[7]
23	AH0001	119.487	119.922	CONTINUER	네.	[8]	[20]	[1]
24	AH0001	124.327	124.487	CONTINUER	예.	[8]	[20]	[10]
25	AH0001	134.595	134.845	CONTINUER	네.	[8]	[21]	[8]
26	AH0001	136.635	136.9	CONTINUER	네.	[8]	[21]	[12]
27	AH0002	138.583	138.828	CONTINUER	네.	[9]	[22]	[1]
28	AH0002	150.773	150.988	CONTINUER	네.	[9]	[22]	[18]
29	AH0001	154.899	155.189	CONTINUER	예.	[10]	[23]	[6]
30	AH0002	159.411	159.666	CONTINUER	네.	[11]	[25]	[1]
31	AH0001	162.191	162.511	CONTINUER	예.	[12]	[26]	[10]
32	AH0001	165.066	165.426	CONTINUER	네.	[12]	[26]	[16]
33	AH0001	170.209	170.539	CONTINUER	네.	[14]	[29]	[1]
34	AH0001	178.474	179.104	CONTINUER	아. 네네.	[]	[]	[]
35	AH0001	182.374	182.794	CONTINUER	네.	[16]	[31]	[8]
36	AH0001	184.689	184.924	CONTINUER	네.	[16]	[31]	[12]
37	AH0001	189.954	190.234	CONTINUER	예.	[16]	[31]	[19]
38	AH0001	197.952	198.297	CONTINUER	네.	[18]	[34]	[7]
39	AH0001	202.122	202.392	CONTINUER	으흠.	[18]	[34]	[15]
40	AH0001	207.246	207.431	ASSESSMENT	허.	[18]	[34]	[26]
41	AH0001	208.317	208.872	CONTINUER	네네.	[18]	[34]	[27]
42	AH0001	210.441	210.691	CONTINUER	네.	[18]	[36]	[1]
43	AH0001	212.831	213.056	CONTINUER	예.	[18]	[36]	[4]
44	AH0001	214.691	214.951	CONTINUER	네.	[18]	[36]	[8]
45	AH0001	216.766	217.236	ASSESSMENT	하이고.	[18]	[36]	[12]
46	AH0001	226.48	226.83	CONTINUER	네.	[18]	[38]	[1]
47	AH0002	231.498	232.613	CONTINUER	네네. 네네.	[19]	[39]	[3]
48	AH0001	233.131	233.306	CONTINUER	네.	[20]	[40]	[1]
49	AH0001	235.161	235.711	CONTINUER	예에.	[20]	[40]	[7]
50	AH0001	236.112	236.292	CONTINUER	예.	[20]	[41]	[1]
51	AH0001	237.227	237.607	CONTINUER	으흠.	[20]	[41]	[2]
52	AH0001	238.142	238.357	CONTINUER	네.	[20]	[41]	[3]
53	AH0001	241.732	242.067	CONTINUER	예.	[20]	[41]	[9]
54	AH0001	243.982	244.482	CONTINUER	아.	[20]	[41]	[13]
55	AH0001	260.663	260.963	CONTINUER	네.	[24]	[46]	[2]
56	AH0001	263.602	265.117	UNDERSTANDING	어. 예.	[24]	[46]	[7]
57	AH0001	267.888	269.138	CONTINUER	네. 예.	[24]	[46]	[13]
58	AH0001	270.508	271.173	CONTINUER	네.	[24]	[46]	[17]
59	AH0002	275.531	275.796	CONTINUER	네.	[25]	[47]	[7]
60	AH0002	286.452	286.847	CONTINUER	네네.	[25]	[48]	[13]
61	AH0002	286.854	287.561	AFFIRMATIVE	그렇습니다.	[25]	[48]	[13]
62	AH0002	288.411	288.856	CONTINUER	네네.	[25]	[49]	[3]
63	AH0002	292.377	293.618	CONTINUER	네. 네.	[25]	[50]	[4]
64	AH0001	308.317	308.642	CONTINUER	네.	[26]	[52]	[4]
65	AH0001	310.787	311.052	CONTINUER	예.	[26]	[52]	[8]
66	AH0002	318.278	318.563	CONTINUER	네.	[27]	[53]	[7]
67	AH0002	320.502	320.822	CONTINUER	네.	[27]	[53]	[12]
68	AH0001	321.786	322.051	CONTINUER	네.	[28]	[54]	[1]
69	AH0001	328.581	328.811	CONTINUER	네.	[28]	[54]	[12]
70	AH0001	333.61	333.995	CONTINUER	하.	[28]	[55]	[5]
71	AH0001	334.508	334.763	CONTINUER	예.	[28]	[56]	[1]
72	AH0001	338.243	338.468	CONTINUER	네.	[28]	[56]	[6]
73	AH0002	340.22	340.565	CONTINUER	네.	[29]	[57]	[1]
74	AH0002	349.02	349.325	CONTINUER	네.	[29]	[58]	[15]
75	AH0002	351.6	352.105	CONTINUER	네네.	[29]	[58]	[20]
76	AH0002	360.887	361.057	CONTINUER	네.	[29]	[59]	[8]
77	AH0002	361.912	362.237	CONTINUER	네.	[29]	[59]	[11]
78	AH0001	366.54	366.96	CONTINUER	네네.	[30]	[60]	[8]
79	AH0001	368.705	369.33	AFFIRMATIVE	그렇군요.	[30]	[60]	[11]
80	AH0001	384.386	384.921	CONTINUER	네네.	[34]	[64]	[2]
81	AH0001	385.009	385.209	CONTINUER	네.	[34]	[65]	[1]
82	AH0001	387.394	387.664	CONTINUER	예.	[34]	[65]	[5]
83	AH0001	392.184	392.829	CONTINUER	아. 네.	[34]	[66]	[9]
84	AH0001	394.395	394.825	CONTINUER	으흠.	[34]	[67]	[4]
85	AH0002	396.913	397.393	CONTINUER	네네.	[35]	[68]	[4]
86	AH0001	402.175	402.985	ASSESSMENT	하.	[36]	[69]	[9]
87	AH0001	403.177	403.372	CONTINUER	예.	[36]	[70]	[1]
88	AH0001	404.572	405.212	NEGATIVE_SURPRISE	아유.	[36]	[70]	[3]
89	AH0001	407.137	407.332	CONTINUER	네.	[36]	[71]	[1]
