bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	22.27	23.165	UNDERSTANDING	음.	[4]	[5]	[8]
2	AH0001	26.673	28.643	AFFIRMATIVE	아. 맞아요.	[4]	[5]	[16]
3	AH0002	31.884	32.484	CONTINUER	네.	[5]	[6]	[10]
4	AH0001	38.257	38.729	CONTINUER	네.	[6]	[8]	[4]
5	AH0001	65.585	65.965	CONTINUER	음.	[8]	[12]	[8]
6	AH0002	68.994	69.327	CONTINUER	네.	[9]	[13]	[3]
7	AH0001	80.54	81.02	AFFIRMATIVE	아. 그렇죠.	[10]	[15]	[10]
8	AH0001	83.035	83.75	CONTINUER	으흠.	[10]	[15]	[13]
9	AH0001	86.327	87.447	ASSESSMENT	헤! 아.	[10]	[15]	[26]
10	AH0001	89.142	89.287	CONTINUER	으흠.	[10]	[16]	[3]
11	AH0001	91.916	92.332	AFFIRMATIVE	맞아요.	[10]	[16]	[11]
12	AH0001	96.227	96.477	CONTINUER	으흠.	[10]	[16]	[17]
13	AH0001	110.088	110.288	CONTINUER	네.	[14]	[21]	[1]
14	AH0001	111.753	112.587	UNDERSTANDING	아. 네.	[14]	[21]	[3]
15	AH0001	115.333	115.528	CONTINUER	으흠.	[14]	[21]	[7]
16	AH0001	117.668	119.598	ASSESSMENT	허! 어.	[14]	[21]	[11]
17	AH0001	121.78	122.125	CONTINUER	네.	[14]	[22]	[4]
18	AH0001	126.178	126.579	CONTINUER	으흠.	[14]	[22]	[11]
19	AH0001	129.858	130.318	CONTINUER	으흠.	[14]	[22]	[17]
20	AH0001	131.158	132.778	UNDERSTANDING	아.	[14]	[22]	[18]
21	AH0002	140.88	141.29	CONTINUER	네.	[15]	[23]	[16]
22	AH0001	153.332	154.003	REQUEST_CONFIRMATION	아. 정말요?	[16]	[25]	[13]
23	AH0002	171.026	171.317	CONTINUER	으흠.	[19]	[29]	[5]
24	AH0001	183.638	183.828	CONTINUER	으흠.	[20]	[32]	[8]
25	AH0002	195.05	195.365	CONTINUER	으흠.	[21]	[33]	[25]
26	AH0001	203.796	204.266	UNDERSTANDING	아. 네.	[22]	[34]	[12]
27	AH0001	208.149	208.354	CONTINUER	으흠.	[22]	[35]	[6]
28	AH0001	210.277	210.438	CONTINUER	네.	[22]	[35]	[10]
29	AH0001	214.919	215.673	UNDERSTANDING	아. 네.	[22]	[35]	[18]
30	AH0001	218.863	219.033	CONTINUER	으흠.	[22]	[36]	[3]
31	AH0001	225.977	226.387	CONTINUER	네.	[22]	[37]	[1]
32	AH0002	238.111	238.476	CONTINUER	네.	[23]	[38]	[6]
33	AH0001	240.945	241.175	CONTINUER	네.	[24]	[39]	[3]
34	AH0001	242.911	243.671	UNDERSTANDING	음. 네.	[24]	[39]	[9]
35	AH0001	250.003	251.197	UNDERSTANDING	음. 네.	[24]	[40]	[14]
36	AH0001	256.145	256.325	CONTINUER	으흠.	[24]	[41]	[11]
37	AH0001	259.861	260.446	UNDERSTANDING	어.	[24]	[41]	[20]
38	AH0002	265.465	266.045	CONTINUER	네.	[25]	[43]	[1]
39	AH0002	270.319	270.911	AFFIRMATIVE	그렇죠.	[25]	[43]	[13]
40	AH0001	279.194	279.759	CONTINUER	으흠.	[26]	[46]	[15]
