uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	1.105	1.446	우리가	[]
1	1	2	AH0001	1.566	2.368	행동하고	[]
1	1	3	AH0001	2.388	2.408	뭐	[]
1	1	4	AH0001	2.668	3.27	말하고	[]
1	1	5	AH0001	3.49	3.911	읽고	[]
1	1	6	AH0001	4.011	4.312	먹고	[]
1	1	7	AH0001	4.352	4.512	이런	[]
1	1	8	AH0001	4.613	4.853	모든	[]
1	1	9	AH0001	4.913	5.174	것들	[]
1	1	10	AH0001	5.254	5.655	사실	[]
1	1	11	AH0001	5.755	5.976	우리가	[]
1	1	12	AH0001	6.637	6.737	제	[]
1	1	13	AH0001	6.777	7.098	의식을	[]
1	1	14	AH0001	7.158	7.178	못	[]
1	1	15	AH0001	7.299	7.419	해서	[]
1	1	16	AH0001	7.479	7.719	그런데.	[]
1	2	1	AH0001	8.041	8.141	이게	[]
1	2	2	AH0001	8.262	9.526	적어놓고	[1]
1	2	3	AH0001	9.948	10.129	혹은	[]
1	2	4	AH0001	10.189	10.249	뭐	[]
1	2	5	AH0001	10.329	10.771	누군가에게	[]
1	2	6	AH0001	10.791	10.931	얘기를	[]
1	2	7	AH0001	11.032	11.614	듣고	[2]
1	2	8	AH0001	11.694	11.955	이러면	[]
1	2	9	AH0001	12.116	12.296	되게	[]
1	2	10	AH0001	13.039	13.24	다르게	[]
1	2	11	AH0001	13.28	13.501	느껴질	[]
1	2	12	AH0001	13.541	13.621	때가	[]
1	2	13	AH0001	13.641	14.163	있거든요.	[]
2	3	1	AH0002	14.227	14.327	음.	[]
2	3	2	AH0002	14.508	14.769	그렇죠	[]
2	3	3	AH0002	14.909	15.07	제가	[3]
2	3	4	AH0002	15.13	15.311	하고	[]
2	3	5	AH0002	15.351	15.552	있는	[]
2	3	6	AH0002	15.632	15.913	거를	[]
2	3	7	AH0002	15.933	15.953	음	[]
2	3	8	AH0002	17.719	18.542	찍어놨다가	[4]
2	3	9	AH0002	18.723	18.944	나중에	[]
2	3	10	AH0002	19.044	19.245	봐도	[]
2	3	11	AH0002	19.285	19.385	완전	[]
2	3	12	AH0002	19.465	19.646	다른	[]
2	3	13	AH0002	19.706	19.927	모습일	[]
2	3	14	AH0002	20.027	20.128	수도	[]
2	3	15	AH0002	20.168	20.369	있고.	[]
3	4	1	AH0001	20.593	20.814	그리고	[]
