uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.0	0.621	저와	[]
1	1	2	DG0001	0.641	1.341	함께	[]
1	1	3	DG0001	1.361	1.902	음악과	[]
1	1	4	DG0001	1.942	2.202	인생에	[]
1	1	5	DG0001	2.282	2.403	대해	[]
1	1	6	DG0001	2.563	2.963	진하게	[]
1	1	7	DG0001	3.003	3.244	이야기할	[]
1	1	8	DG0001	3.304	3.384	수	[]
1	1	9	DG0001	3.404	3.484	있는	[]
1	1	10	DG0001	3.584	3.764	분들	[]
1	1	11	DG0001	3.844	4.084	초대해	[]
1	1	12	DG0001	4.104	4.124	한	[]
1	1	13	DG0001	4.425	4.565	판	[]
1	1	14	DG0001	4.725	4.925	수다를	[]
1	1	15	DG0001	4.965	5.126	나눠	[]
1	1	16	DG0001	5.166	5.506	봅니다	[]
1	1	17	DG0001	6.087	6.387	@이름1의	[]
1	1	18	DG0001	6.467	7.348	수다	[]
1	2	1	DG0001	7.348	7.848	길게	[]
1	2	2	DG0001	7.868	7.988	얘기	[]
1	2	3	DG0001	8.008	8.049	안	[]
1	2	4	DG0001	8.089	8.369	할게요	[]
1	2	5	DG0001	8.429	8.649	오늘의	[]
1	2	6	DG0001	8.729	9.069	주인공	[]
1	2	7	DG0001	9.63	9.91	목소리	[]
1	2	8	DG0001	9.97	10.21	하나로	[]
1	2	9	DG0001	10.27	10.77	대한민국을	[]
1	2	10	DG0001	10.851	11.171	사로잡은	[]
1	2	11	DG0001	11.271	11.391	분	[]
1	2	12	DG0001	12.031	12.392	이십구	[]
1	2	13	DG0001	12.412	12.432	호	[]
1	2	14	DG0001	12.532	12.992	가수에서	[]
1	2	15	DG0001	13.032	13.292	이제는	[]
1	2	16	DG0001	13.452	13.873	자신의	[]
1	2	17	DG0001	13.913	14.053	이름	[]
1	2	18	DG0001	14.113	14.193	세	[]
1	2	19	DG0001	14.233	14.593	글자로	[]
1	2	20	DG0001	14.813	15.014	우뚝	[]
1	2	21	DG0001	15.134	15.254	선	[]
1	2	22	DG0001	15.394	15.774	뮤지션	[]
