uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.86	1.221	아	[]
1	1	2	AH0001	1.782	1.862	그런데	[]
1	1	3	AH0001	1.922	2.824	결국은	[]
1	1	4	AH0001	3.265	3.826	만나뵙지는	[]
1	1	5	AH0001	3.886	4.607	못했지만	[]
1	1	6	AH0001	4.627	4.647	그	[]
1	1	7	AH0001	5.148	5.309	집	[]
1	1	8	AH0001	5.609	5.85	구경	[]
1	1	9	AH0001	5.87	6.07	하는	[]
1	1	10	AH0001	6.15	6.231	거.	[]
1	1	11	AH0001	6.331	6.832	사진으로	[]
1	1	12	AH0001	6.992	7.413	구경하는	[]
1	1	13	AH0001	7.493	7.713	것만	[]
1	1	14	AH0001	7.774	8.014	해도	[]
1	1	15	AH0001	8.134	8.315	저는	[1]
1	1	16	AH0001	8.395	8.735	굉장히	[]
1	1	17	AH0001	9.196	9.317	할	[]
1	1	18	AH0001	9.377	9.717	얘기가	[]
1	1	19	AH0001	9.818	10.118	정말	[]
1	1	20	AH0001	10.178	10.379	많을	[]
1	1	21	AH0001	10.459	10.679	텐데	[]
1	2	1	AH0001	11.232	11.976	어	[2]
1	2	2	AH0001	12.157	12.719	잠시	[]
1	2	3	AH0001	12.82	13.142	오프라	[]
1	2	4	AH0001	13.202	13.604	윈프리에	[]
1	2	5	AH0001	13.664	14.167	대해서	[]
1	2	6	AH0001	14.287	14.669	설명해	[]
1	2	7	AH0001	14.729	15.152	주신다면?	[]
2	3	1	AH0002	15.694	15.996	그렇습니다	[]
2	3	2	AH0002	16.016	16.237	일단	[]
2	3	3	AH0002	16.317	16.739	오프라	[]
2	3	4	AH0002	16.779	17.463	윈프리는요	[]
2	3	5	AH0002	17.543	18.729	천구백오십사	[]
2	3	6	AH0002	18.81	18.91	년	[]
2	3	7	AH0002	18.991	19.674	생입니다.	[]
2	4	1	AH0002	19.862	20.144	그러니까	[]
2	4	2	AH0002	20.244	20.647	올해로	[]
2	4	3	AH0002	21.05	21.493	육십육	[]
2	4	4	AH0002	21.754	22.278	세인가요	[]
2	4	5	AH0002	22.56	22.6	예	[]
2	4	6	AH0002	22.741	22.942	그렇게	[]
2	4	7	AH0002	23.002	23.204	되고.	[]
3	5	1	AH0001	23.48	23.929	젊어요	[]
3	5	2	AH0001	24.01	24.704	아직도.	[]
4	6	1	AH0002	24.724	24.925	그리고	[]
4	6	2	AH0002	25.046	25.588	미시시피	[]
4	6	3	AH0002	25.709	26.292	주의	[]
4	6	4	AH0002	26.553	26.935	가난한	[]
4	6	5	AH0002	27.076	27.598	미혼모의	[]
4	6	6	AH0002	27.699	27.9	딸로	[]
4	6	7	AH0002	27.96	28.764	태어났습니다.	[]
4	7	1	AH0002	28.808	29.008	이	[3]
4	7	2	AH0002	29.028	29.73	미시시피주	[]
4	7	3	AH0002	29.81	30.11	하면은	[]
4	7	4	AH0002	30.171	30.371	이제	[]
4	7	5	AH0002	30.471	30.972	그야말로	[]
4	7	6	AH0002	31.653	31.754	이	[]
4	7	7	AH0002	31.914	32.094	흑인	[]
4	7	8	AH0002	32.174	32.575	차별이	[]
4	7	9	AH0002	32.715	32.936	다른	[]
4	7	10	AH0002	32.996	33.256	데보다	[]
4	7	11	AH0002	33.337	33.397	더	[]
4	7	12	AH0002	33.537	33.797	심한	[]
4	7	13	AH0002	33.878	33.898	뭐	[]
4	7	14	AH0002	34.018	34.178	그런	[]
4	7	15	AH0002	34.258	34.839	동네였잖아요.	[4]
4	7	16	AH0002	34.96	35.441	천구백오십	[]
4	7	17	AH0002	35.501	36.022	년대니까.	[]
4	8	1	AH0002	36.834	36.914	그래서	[]
4	8	2	AH0002	36.934	37.074	인제	[]
4	8	3	AH0002	37.134	37.495	미혼모의	[]
4	8	4	AH0002	37.595	37.796	딸로	[]
4	8	5	AH0002	37.896	38.597	태어나가지고	[]
4	8	6	AH0002	38.717	39.078	할머니	[]
4	8	7	AH0002	39.138	39.318	손에	[]
4	8	8	AH0002	39.518	39.859	컸다고	[]
4	8	9	AH0002	39.899	40.46	합니다.	[5]
4	9	1	AH0002	40.735	40.976	그래서	[]
4	9	2	AH0002	41.557	41.938	할머니	[]
4	9	3	AH0002	41.998	42.219	손에	[]
4	9	4	AH0002	42.359	43.181	크면서	[]
4	9	5	AH0002	43.361	43.562	이제	[]
4	9	6	AH0002	43.662	44.143	할머니가	[]
4	9	7	AH0002	44.163	44.384	이제	[]
4	9	8	AH0002	44.464	44.704	주로	[]
4	9	9	AH0002	44.865	45.145	양육을	[]
4	9	10	AH0002	45.206	45.627	했는데.	[]
4	9	11	AH0002	45.707	46.248	이름도	[]
4	9	12	AH0002	46.569	46.95	할머니가	[]
4	9	13	AH0002	46.99	47.13	이제	[]
4	9	14	AH0002	47.19	47.832	성경	[]
4	9	15	AH0002	47.992	48.153	교회를	[]
4	9	16	AH0002	48.193	48.393	열심히	[]
4	9	17	AH0002	48.433	48.914	다녔는데.	[]
4	10	1	AH0002	49.587	49.807	성경	[]
4	10	2	AH0002	50.007	50.108	속	[]
4	10	3	AH0002	50.168	50.368	인물	[]
4	10	4	AH0002	50.448	50.608	중에	[]
4	10	5	AH0002	50.648	50.688	이제	[]
4	10	6	AH0002	50.788	51.529	오르파라는	[]
4	10	7	AH0002	51.589	51.849	인물이	[]
4	10	8	AH0002	51.889	52.53	있었는데.	[6]
4	10	9	AH0002	53.071	53.471	할머니가	[]
4	10	10	AH0002	53.571	54.372	출생신고서에	[]
4	10	11	AH0002	54.432	54.512	이	[]
4	10	12	AH0002	54.592	55.013	오르파를	[]
4	10	13	AH0002	55.113	55.353	스펠을	[]
4	10	14	AH0002	55.413	55.693	잘못	[]
4	10	15	AH0002	56.274	56.554	철자를	[]
4	10	16	AH0002	56.594	56.774	잘못	[]
4	10	17	AH0002	56.875	56.935	써	[]
4	10	18	AH0002	56.975	57.395	가지고	[]
4	10	19	AH0002	57.916	58.596	오프라라고	[]
4	10	20	AH0002	58.676	59.057	썼는데.	[]
5	11	1	AH0001	60.236	60.596	아	[]
5	11	2	AH0001	61.117	61.458	제가	[]
5	11	3	AH0001	61.558	61.898	오프라	[]
5	11	4	AH0001	61.938	63.16	윈프리에	[]
