bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0001	38.666	38.806	CONTINUER	네.	[8]	[11]	[4]
2	DG0001	50.48	50.91	CONTINUER	예.	[8]	[12]	[12]
3	DG0001	118.408	118.664	CONTINUER	네.	[12]	[21]	[15]
4	DG0002	138.623	138.867	CONTINUER	네.	[15]	[25]	[8]
5	DG0001	154.212	154.677	CONTINUER	예.	[16]	[27]	[18]
6	DG0002	242.604	242.985	CONTINUER	네.	[23]	[40]	[8]
7	DG0002	245.917	246.227	CONTINUER	네.	[23]	[41]	[7]
8	DG0001	278.504	278.754	CONTINUER	네.	[24]	[44]	[17]
9	DG0002	351.36	351.877	CONTINUER	음. 네.	[27]	[52]	[12]
10	DG0002	355.333	355.528	CONTINUER	네.	[27]	[53]	[8]
11	DG0002	362.829	363.149	CONTINUER	예.	[]	[]	[]
12	DG0002	399.725	400.215	CONTINUER	네.	[29]	[59]	[4]
13	DG0001	490.91	491.285	CONTINUER	네.	[34]	[71]	[12]
14	DG0001	500.807	501.202	CONTINUER	네.	[34]	[72]	[19]
15	DG0002	525.063	525.148	CONTINUER	네.	[35]	[75]	[10]
16	DG0002	532.336	532.536	CONTINUER	네.	[35]	[76]	[12]
17	DG0001	541.484	541.815	CONTINUER	네.	[36]	[77]	[13]
18	DG0001	569.978	570.483	CONTINUER	네.	[36]	[80]	[13]
19	DG0002	598.358	598.493	CONTINUER	네.	[39]	[85]	[9]
20	DG0001	665.846	666.117	CONTINUER	예.	[44]	[94]	[22]
21	DG0002	701.019	701.179	CONTINUER	네.	[45]	[99]	[1]
22	DG0002	702.288	702.554	CONTINUER	네.	[45]	[99]	[3]
23	DG0002	706.571	707.416	CONTINUER	어.	[45]	[100]	[4]
24	DG0001	724.223	724.494	CONTINUER	예.	[48]	[103]	[15]
25	DG0001	731.247	731.717	CONTINUER	예.	[48]	[104]	[17]
26	DG0001	748.375	748.85	CONTINUER	예.	[48]	[106]	[11]
27	DG0001	790.387	790.754	CONTINUER	네.	[50]	[111]	[10]
28	DG0001	794.598	795.064	CONTINUER	네.	[50]	[112]	[6]
29	DG0001	830.236	830.627	CONTINUER	네.	[50]	[116]	[17]
30	DG0001	861.713	861.968	CONTINUER	네.	[50]	[120]	[11]
31	DG0002	872.058	872.478	CONTINUER	네.	[51]	[122]	[13]
32	DG0002	895.808	896.048	CONTINUER	음.	[51]	[124]	[13]
33	DG0001	905.039	905.289	CONTINUER	예.	[52]	[126]	[6]
34	DG0001	929.482	929.752	CONTINUER	네.	[52]	[128]	[14]
35	DG0001	946.341	947.018	CONTINUER	음. 네.	[52]	[130]	[14]
36	DG0001	956.078	956.354	CONTINUER	네.	[52]	[131]	[17]
