uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.5	0.86	다행히	[]
1	1	2	DG0001	0.88	0.9	이	[]
1	1	3	DG0001	0.96	1.401	학생	[]
1	1	4	DG0001	1.761	2.022	얼마	[]
1	1	5	DG0001	2.082	2.582	전부터	[]
1	1	6	DG0001	2.722	3.063	상처	[]
1	1	7	DG0001	3.143	3.283	위에	[]
1	1	8	DG0001	3.403	3.944	타투를	[]
1	1	9	DG0001	4.044	4.244	그리기	[]
1	1	10	DG0001	4.284	5.125	시작했답니다	[]
1	1	11	DG0001	5.565	6.026	아파하고	[]
1	1	12	DG0001	6.106	6.527	슬퍼하는	[]
1	1	13	DG0001	6.607	7.087	대신에	[]
1	1	14	DG0001	7.468	7.928	잊혀져	[]
1	1	15	DG0001	8.008	8.188	가는	[]
1	1	16	DG0001	8.308	8.789	친구를	[]
1	1	17	DG0001	8.929	9.57	기억하기로	[]
1	1	18	DG0001	9.69	10.03	결심을	[]
1	1	19	DG0001	10.07	10.451	했다고	[]
1	1	20	DG0001	10.491	10.871	합니다	[]
1	1	21	DG0001	11.252	11.292	그	[]
1	1	22	DG0001	11.352	11.772	학생을	[]
1	1	23	DG0001	11.952	12.473	응원하고	[]
1	1	24	DG0001	12.533	13.394	싶습니다.	[]
1	2	1	DG0001	13.394	13.714	계속	[]
1	2	2	DG0001	13.834	14.395	괴로워하면서	[]
1	2	3	DG0001	14.435	14.535	살	[]
1	2	4	DG0001	14.615	14.755	수는	[]
1	2	5	DG0001	14.795	15.416	없잖아요	[]
1	2	6	DG0001	15.496	15.796	이제껏	[]
1	2	7	DG0001	15.896	16.217	충분히	[]
1	2	8	DG0001	16.317	17.117	괴로웠는데	[]
1	2	9	DG0001	17.478	18.018	앞으로는	[]
1	2	10	DG0001	18.198	18.399	물	[]
1	2	11	DG0001	18.499	18.979	말고	[]
1	2	12	DG0001	19.099	19.339	하늘	[]
1	2	13	DG0001	19.439	19.62	보고	[]
