bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0001	6.722	7.057	CONTINUER	음.	[2]	[3]	[5]
2	AH0001	13.859	14.859	ASSESSMENT	아.	[2]	[5]	[3]
3	AH0001	15.395	15.958	AFFIRMATIVE	맞아요.	[2]	[5]	[3]
4	AH0001	21.805	22.01	CONTINUER	네.	[4]	[7]	[4]
5	AH0001	23.835	24.34	CONTINUER	음.	[4]	[7]	[7]
6	AH0001	25.81	26.275	CONTINUER	네.	[4]	[7]	[13]
7	AH0002	29.937	30.352	CONTINUER	음.	[5]	[8]	[8]
8	AH0002	31.827	32.847	CONTINUER	으음.	[5]	[8]	[13]
9	AH0002	36.556	37.001	CONTINUER	음음.	[5]	[9]	[5]
10	AH0002	37.964	38.354	CONTINUER	음.	[7]	[11]	[2]
11	AH0002	44.521	45.376	AFFIRMATIVE	음. 음. 음. 음. 음.	[7]	[12]	[12]
12	AH0002	51.609	51.924	ASSESSMENT	와.	[7]	[13]	[10]
13	AH0001	69.826	70.856	ASSESSMENT	와.	[8]	[17]	[1]
14	AH0002	80.234	80.639	CONTINUER	음.	[11]	[20]	[13]
15	AH0001	88.118	88.493	CONTINUER	네.	[12]	[21]	[6]
16	AH0001	90.423	91.473	AFFIRMATIVE	흠. 맞아요.	[12]	[21]	[12]
17	AH0002	95.718	96.463	CONTINUER	음음. 음.	[13]	[22]	[11]
18	AH0002	100.824	101.524	CONTINUER	음.	[13]	[23]	[3]
19	AH0002	103.502	103.772	AFFIRMATIVE	그쵸.	[13]	[24]	[1]
20	AH0001	108.984	109.264	CONTINUER	네.	[14]	[25]	[6]
21	AH0001	110.129	110.354	CONTINUER	음.	[]	[]	[]
22	AH0001	122.347	123.277	ASSESSMENT	아이.	[16]	[29]	[4]
23	AH0002	126.086	126.321	CONTINUER	네.	[17]	[30]	[4]
24	AH0001	134.284	135.594	UNDERSTANDING	으음음음.	[18]	[32]	[5]
