bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	16.398	16.573	CONTINUER	네.	[1]	[3]	[5]
2	AH0001	32.481	33.081	CONTINUER	예.	[4]	[7]	[6]
3	AH0001	60.278	61.363	CONTINUER	네. 예.	[8]	[13]	[14]
4	AH0001	76.047	76.387	CONTINUER	예.	[10]	[17]	[9]
5	AH0001	78.027	78.467	CONTINUER	예.	[10]	[17]	[13]
6	AH0001	84.404	84.809	CONTINUER	응.	[10]	[18]	[5]
7	AH0002	97.064	97.244	CONTINUER	네.	[11]	[20]	[10]
8	AH0001	112.854	113.039	CONTINUER	예.	[14]	[23]	[7]
9	AH0001	119.372	119.732	CONTINUER	응.	[14]	[24]	[6]
10	AH0002	127.194	127.55	CONTINUER	네.	[15]	[25]	[9]
11	AH0002	136.537	136.887	CONTINUER	응.	[15]	[27]	[21]
12	AH0001	149.454	149.819	CONTINUER	예.	[16]	[30]	[8]
13	AH0002	162.124	162.324	CONTINUER	네.	[17]	[33]	[2]
14	AH0001	166.749	167.109	CONTINUER	네.	[18]	[34]	[5]
15	AH0001	170.458	170.808	CONTINUER	응.	[18]	[35]	[1]
16	AH0001	183.568	183.938	CONTINUER	예.	[18]	[36]	[15]
17	AH0001	191.526	192.331	CONTINUER	응. 응.	[18]	[37]	[9]
18	AH0002	206.031	206.311	CONTINUER	네.	[21]	[41]	[5]
19	AH0002	207.746	207.936	CONTINUER	네.	[21]	[41]	[8]
20	AH0002	212.639	212.909	CONTINUER	네.	[21]	[41]	[17]
21	AH0001	222.824	223.174	CONTINUER	예.	[22]	[43]	[10]
22	AH0001	229.993	230.443	CONTINUER	네.	[24]	[45]	[4]
23	AH0001	237.069	237.594	CONTINUER	응.	[24]	[46]	[12]
24	AH0001	248.748	248.998	CONTINUER	예.	[26]	[48]	[13]
25	AH0001	253.015	253.52	CONTINUER	으흠.	[26]	[49]	[2]
26	AH0001	258.6	258.835	CONTINUER	네.	[26]	[49]	[14]
27	AH0001	259.9	260.325	CONTINUER	네.	[26]	[49]	[17]
28	AH0001	265.47	265.975	CONTINUER	응.	[26]	[50]	[9]
29	AH0001	273.46	274.85	CONTINUER	예. 예.	[26]	[51]	[18]
30	AH0002	283.747	283.912	CONTINUER	네.	[27]	[53]	[9]
31	AH0002	286.707	287.017	CONTINUER	네.	[27]	[53]	[15]
32	AH0002	304.068	304.393	CONTINUER	네.	[29]	[57]	[1]
33	AH0001	323.154	323.374	CONTINUER	예.	[34]	[62]	[6]
34	AH0001	327.174	327.519	CONTINUER	응.	[34]	[62]	[14]
35	AH0001	337.428	338.088	CONTINUER	네. 네.	[34]	[64]	[11]
36	AH0001	342.903	343.333	CONTINUER	응.	[34]	[65]	[8]
37	AH0001	348.115	348.67	CONTINUER	네.	[34]	[66]	[1]
38	AH0001	357.644	358.174	CONTINUER	응.	[34]	[67]	[15]
39	AH0002	366.701	367.206	CONTINUER	네. 네.	[35]	[69]	[9]
40	AH0002	369.771	370.016	CONTINUER	네.	[35]	[69]	[14]
41	AH0002	372.096	372.311	CONTINUER	네.	[35]	[69]	[18]
42	AH0002	374.518	374.678	CONTINUER	네.	[35]	[70]	[4]
43	AH0002	376.363	376.708	CONTINUER	네. 네.	[35]	[70]	[6]
44	AH0001	391.851	392.846	UNDERSTANDING	어.	[36]	[73]	[10]
45	AH0001	403.185	404.101	AFFIRMATIVE	아 그래요.	[36]	[75]	[6]
46	AH0001	414.621	415.676	UNDERSTANDING	아.	[38]	[78]	[13]
47	AH0002	418.982	419.277	CONTINUER	네. 네.	[39]	[79]	[5]
48	AH0002	422.102	422.247	CONTINUER	네.	[39]	[79]	[11]
49	AH0001	426.666	426.906	CONTINUER	응.	[40]	[80]	[3]
50	AH0001	430.806	431.411	CONTINUER	어.	[40]	[80]	[12]
51	AH0001	431.638	432.243	CONTINUER	네.	[40]	[80]	[13]
52	AH0002	452.789	453.084	CONTINUER	네.	[43]	[86]	[1]
53	AH0002	465.024	465.289	CONTINUER	네.	[45]	[88]	[4]
54	AH0001	479.977	480.597	CONTINUER	아.	[48]	[91]	[14]
55	AH0001	482.365	482.835	ASSESSMENT	이야.	[48]	[92]	[1]
56	AH0001	484.095	484.57	CONTINUER	응.	[48]	[92]	[4]
57	AH0002	496.437	497.172	CONTINUER	네. 네. 예.	[49]	[94]	[6]
58	AH0001	503.307	503.527	CONTINUER	응.	[50]	[95]	[8]
59	AH0001	513.454	513.749	CONTINUER	응.	[52]	[97]	[12]
60	AH0001	518.286	518.611	CONTINUER	응.	[52]	[98]	[5]
61	AH0001	528.533	528.868	CONTINUER	예.	[52]	[99]	[12]
62	AH0001	529.818	530.173	CONTINUER	예.	[52]	[99]	[14]
63	AH0001	547.24	547.715	CONTINUER	예. 예.	[52]	[102]	[10]
64	AH0001	549.869	550.024	CONTINUER	예.	[52]	[103]	[1]
65	AH0001	551.069	551.204	CONTINUER	예.	[52]	[103]	[3]
66	AH0001	553.099	553.384	CONTINUER	예.	[52]	[103]	[7]
67	AH0001	554.759	555.049	CONTINUER	어.	[52]	[103]	[9]
68	AH0001	560.705	561.07	CONTINUER	응.	[52]	[105]	[5]
69	AH0001	562.32	562.67	CONTINUER	네.	[52]	[105]	[8]
70	AH0001	563.93	564.165	CONTINUER	네.	[52]	[105]	[11]
71	AH0001	568.3	568.58	CONTINUER	응.	[52]	[105]	[19]
72	AH0002	577.266	577.451	CONTINUER	네.	[53]	[107]	[5]
73	AH0001	594.349	594.574	CONTINUER	예.	[56]	[111]	[8]
74	AH0001	597.844	597.999	CONTINUER	어.	[56]	[111]	[14]
75	AH0002	600.584	600.944	CONTINUER	네. 네.	[57]	[112]	[2]
76	AH0001	616.964	617.734	CONTINUER	예. 에. 예.	[60]	[115]	[12]
77	AH0001	622.319	622.659	CONTINUER	응.	[60]	[116]	[11]
78	AH0001	626.34	626.905	CONTINUER	네. 네.	[60]	[117]	[11]
79	AH0001	631.615	631.975	CONTINUER	응.	[60]	[117]	[21]
80	AH0001	650.145	650.39	CONTINUER	응.	[60]	[121]	[7]
81	AH0001	655.415	655.635	CONTINUER	네.	[60]	[121]	[23]
82	AH0001	658.697	659.452	CONTINUER	어. 어.	[62]	[124]	[1]
