bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	10.074	10.43	CONTINUER	네.	[1]	[2]	[7]
2	DG0002	16.284	16.604	CONTINUER	네.	[1]	[3]	[11]
3	DG0001	19.763	21.052	CONTINUER	응. 응.	[2]	[5]	[5]
4	DG0001	26.469	26.694	CONTINUER	응.	[4]	[7]	[9]
5	DG0001	29.388	30.302	AFFIRMATIVE	맞네요.	[4]	[7]	[14]
6	DG0001	32.229	32.564	CONTINUER	어.	[4]	[8]	[5]
7	DG0001	34.509	35.164	ASSESSMENT	어허.	[4]	[8]	[8]
8	DG0001	36.584	37.214	CONTINUER	네네네.	[4]	[8]	[11]
9	DG0001	38.084	38.399	CONTINUER	어.	[4]	[8]	[15]
10	DG0002	53.569	54.153	AFFIRMATIVE	아. 그렇군요.	[5]	[10]	[10]
11	DG0002	58.276	58.416	CONTINUER	응.	[5]	[11]	[10]
12	DG0001	79.337	79.552	CONTINUER	예.	[8]	[17]	[7]
13	DG0001	81.527	82.677	UNDERSTANDING	아.	[8]	[17]	[13]
14	DG0001	84.758	85.008	CONTINUER	네.	[8]	[18]	[2]
15	DG0001	86.378	86.663	CONTINUER	네.	[8]	[18]	[3]
16	DG0001	88.123	88.338	CONTINUER	네.	[8]	[18]	[7]
17	DG0001	90.408	91.633	ASSESSMENT	아하.	[8]	[18]	[11]
18	DG0001	97.189	97.879	ASSESSMENT	오.	[10]	[21]	[3]
19	DG0001	101.794	102.204	CONTINUER	응.	[10]	[21]	[10]
20	DG0001	103.567	103.912	CONTINUER	네네.	[10]	[22]	[2]
21	DG0001	106.305	107.285	UNDERSTANDING	아.	[10]	[22]	[6]
22	DG0001	109.425	109.65	CONTINUER	네.	[10]	[22]	[12]
23	DG0001	130.512	130.817	CONTINUER	응.	[12]	[26]	[1]
24	DG0001	134.651	136.266	ASSESSMENT	오. 네네.	[12]	[26]	[7]
25	DG0001	138.412	138.782	CONTINUER	네네.	[12]	[27]	[4]
26	DG0001	140.322	140.626	CONTINUER	음.	[12]	[27]	[8]
27	DG0001	146.843	147.692	UNDERSTANDING	아하.	[12]	[28]	[13]
28	DG0001	149.201	149.956	UNDERSTANDING	네.	[12]	[29]	[3]
29	DG0001	151.126	151.611	CONTINUER	예.	[12]	[29]	[7]
30	DG0001	153.237	153.602	ASSESSMENT	어허.	[12]	[30]	[6]
31	DG0001	155.577	156.102	CONTINUER	어.	[12]	[30]	[11]
32	DG0001	158.967	159.152	CONTINUER	응.	[12]	[30]	[17]
33	DG0001	172.098	172.298	CONTINUER	네.	[14]	[33]	[4]
34	DG0001	173.128	173.338	CONTINUER	예.	[14]	[33]	[5]
35	DG0001	184.171	184.446	CONTINUER	네.	[16]	[36]	[4]
36	DG0001	189.804	190.218	CONTINUER	아.	[16]	[37]	[6]
37	DG0001	193.783	194.158	CONTINUER	네.	[16]	[38]	[10]
38	DG0001	214.268	214.423	CONTINUER	예.	[18]	[41]	[4]
39	DG0001	217.108	217.389	CONTINUER	음.	[18]	[41]	[12]
40	DG0002	219.53	219.86	CONTINUER	네.	[19]	[43]	[1]
41	DG0001	225.669	225.864	CONTINUER	네.	[20]	[44]	[5]
42	DG0001	231.473	231.833	CONTINUER	네.	[20]	[44]	[12]
43	DG0001	234.393	234.873	CONTINUER	예.	[20]	[45]	[5]
44	DG0001	237.381	237.801	AFFIRMATIVE	그렇죠.	[20]	[46]	[8]
45	DG0001	238.726	238.921	CONTINUER	예.	[20]	[46]	[10]
46	DG0001	240.546	240.661	CONTINUER	어.	[20]	[46]	[15]
47	DG0001	241.781	242.711	UNDERSTANDING	아.	[20]	[46]	[18]
48	DG0001	243.274	243.854	CONTINUER	네네.	[20]	[46]	[20]
49	DG0001	245.974	246.184	CONTINUER	예.	[20]	[47]	[6]
50	DG0001	247.349	247.519	CONTINUER	응.	[20]	[47]	[8]
51	DG0001	250.867	251.296	CONTINUER	음.	[20]	[47]	[15]
52	DG0001	260.417	261.027	CONTINUER	네네.	[20]	[48]	[22]
53	DG0002	263.252	263.482	CONTINUER	응.	[21]	[49]	[3]
54	DG0001	268.938	269.269	CONTINUER	네.	[22]	[50]	[6]
55	DG0001	278.902	279.537	NEGATIVE_SURPRISE	아이코.	[22]	[52]	[11]
56	DG0001	282.103	283.483	CONTINUER	네. 예.	[22]	[53]	[6]
57	DG0001	285.98	286.355	CONTINUER	네네.	[22]	[54]	[8]
58	DG0001	289.16	289.545	CONTINUER	예.	[22]	[54]	[14]
59	DG0001	290.464	290.774	CONTINUER	네.	[22]	[54]	[16]
60	DG0001	295.17	295.935	UNDERSTANDING	어.	[22]	[55]	[8]
61	DG0002	304.284	304.594	CONTINUER	네.	[23]	[56]	[6]
62	DG0001	320.81	320.93	CONTINUER	네.	[24]	[58]	[8]
63	DG0001	324.785	325.109	CONTINUER	네.	[24]	[58]	[15]
64	DG0001	328.164	328.279	CONTINUER	예.	[24]	[59]	[7]
65	DG0001	333.204	333.308	CONTINUER	어.	[24]	[59]	[17]
66	DG0001	335.105	338.17	AFFIRMATIVE	음음음음. 그렇죠. 그렇죠. 예에에.	[24]	[60]	[6]
67	DG0001	350.553	350.822	CONTINUER	네.	[24]	[61]	[14]
68	DG0001	352.413	352.793	CONTINUER	어.	[24]	[62]	[6]
69	DG0001	354.123	354.503	CONTINUER	어.	[24]	[62]	[10]
70	DG0001	355.313	355.913	CONTINUER	음.	[24]	[62]	[11]
71	DG0002	368.001	368.421	AFFIRMATIVE	그렇죠.	[25]	[64]	[6]
72	DG0001	375.149	375.484	CONTINUER	응.	[26]	[65]	[6]
73	DG0001	377.648	378.063	CONTINUER	네네.	[26]	[65]	[10]
74	DG0001	379.569	380.169	CONTINUER	음.	[26]	[65]	[14]
75	DG0001	394.999	395.164	CONTINUER	응.	[28]	[68]	[1]
76	DG0001	398.204	398.479	CONTINUER	네.	[28]	[68]	[6]
77	DG0001	401.809	402.019	CONTINUER	어.	[28]	[69]	[5]
78	DG0001	402.884	403.204	CONTINUER	예.	[28]	[69]	[7]
79	DG0001	408.443	408.878	CONTINUER	네네.	[28]	[70]	[14]
80	DG0001	452.527	452.877	CONTINUER	네.	[30]	[76]	[5]
81	DG0002	463.081	463.171	CONTINUER	네.	[31]	[77]	[13]
82	DG0002	485.666	486.136	AFFIRMATIVE	그렇죠.	[31]	[80]	[13]
83	DG0001	489.01	490.26	CONTINUER	네. 예.	[32]	[81]	[4]
84	DG0001	495.606	496.016	CONTINUER	네네.	[32]	[82]	[6]
85	DG0001	504.282	504.592	CONTINUER	네.	[32]	[83]	[15]
86	DG0001	507.113	507.893	ASSESSMENT	캬. 예.	[32]	[84]	[5]
87	DG0001	535.177	535.587	AFFIRMATIVE	맞아요.	[34]	[88]	[14]
88	DG0001	537.713	537.888	CONTINUER	응.	[34]	[89]	[4]
89	DG0001	540.923	541.173	CONTINUER	네.	[34]	[89]	[9]
90	DG0001	542.418	542.763	CONTINUER	예.	[34]	[89]	[11]
91	DG0001	553.488	553.978	CONTINUER	아.	[34]	[91]	[14]
92	DG0001	557.336	557.572	CONTINUER	예.	[34]	[92]	[8]
93	DG0001	559.834	561.099	UNDERSTANDING	어. 네.	[34]	[93]	[5]
94	DG0001	565.604	566.134	CONTINUER	어.	[34]	[94]	[7]
95	DG0001	588.396	588.551	CONTINUER	네.	[36]	[98]	[4]
96	DG0001	594.213	594.693	CONTINUER	어.	[36]	[98]	[13]
97	DG0001	595.933	596.368	CONTINUER	어.	[36]	[99]	[4]
98	DG0002	603.314	603.579	CONTINUER	네.	[37]	[100]	[7]
99	DG0001	609.276	609.486	CONTINUER	네.	[38]	[101]	[7]
100	DG0001	631.34	631.455	CONTINUER	음.	[40]	[105]	[4]
101	DG0001	633.695	634.925	ASSESSMENT	캬. 네.	[40]	[105]	[9]
102	DG0001	639.545	640.12	CONTINUER	네.	[42]	[108]	[4]
103	DG0001	641.25	641.695	CONTINUER	어.	[42]	[108]	[8]
104	DG0001	643.735	644.235	CONTINUER	음.	[42]	[109]	[4]
105	DG0001	647.275	647.525	CONTINUER	네.	[42]	[109]	[9]
106	DG0002	654.561	654.756	CONTINUER	네.	[43]	[110]	[9]
107	DG0001	661.713	661.938	CONTINUER	예.	[44]	[111]	[3]
108	DG0001	663.557	664.872	CONTINUER	예. 네네.	[44]	[111]	[5]
