uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.565	0.768	이게	[]
1	1	2	DG0001	0.849	1.66	갈리더라고요.	[]
1	2	1	DG0001	2.108	2.208	그	[]
1	2	2	DG0001	2.269	2.671	선물은	[]
1	2	3	DG0001	2.751	2.831	왜	[]
1	2	4	DG0001	2.892	3.755	주셔가지고	[1]
1	2	5	DG0001	4.499	4.78	선물	[]
1	2	6	DG0001	4.86	5.081	받은	[]
1	2	7	DG0001	5.142	5.523	사람과	[]
1	2	8	DG0001	5.564	5.584	안	[]
1	2	9	DG0001	5.704	5.945	받은	[]
1	2	10	DG0001	6.046	6.267	사람	[]
1	3	1	DG0001	8.126	8.787	그	[]
1	3	2	DG0001	8.787	8.888	꽤	[]
1	3	3	DG0001	8.888	9.609	많이	[]
1	3	4	DG0001	10.671	11.012	인제	[2]
1	3	5	DG0001	11.694	11.994	지인들이	[]
1	3	6	DG0001	12.034	12.575	있잖아요	[]
1	3	7	DG0001	12.896	13.016	이렇게	[]
1	3	8	DG0001	13.097	13.558	보냈는데	[]
2	4	1	DG0002	13.759	14.243	차별하냐?	[]
3	5	1	DG0001	14.85	15.693	떨어졌다고	[]
3	5	2	DG0001	15.834	16.054	자기는	[]
3	5	3	DG0001	16.135	16.476	떨어진	[]
3	5	4	DG0001	16.556	16.837	사람	[]
3	5	5	DG0001	17.339	17.54	자기는	[]
3	5	6	DG0001	17.64	17.781	된	[]
3	5	7	DG0001	17.861	18.202	사람	[]
3	5	8	DG0001	18.222	18.243	뭐	[]
3	5	9	DG0001	18.504	19.588	이렇게	[]
3	5	10	DG0001	19.608	19.688	해가지고	[]
4	6	1	DG0002	19.746	20.447	아	[]
4	6	2	DG0002	20.808	21.189	그래도	[]
4	6	3	DG0002	22.15	22.852	선물보다는	[3]
4	6	4	DG0002	23.092	23.393	저희	[]
4	6	5	DG0002	23.473	23.773	얘기가	[]
4	6	6	DG0002	23.813	23.833	더	[]
4	6	7	DG0002	23.894	24.154	좋은	[]
4	6	8	DG0002	24.174	24.194	거	[]
4	6	9	DG0002	24.214	24.555	아닌가	[]
4	6	10	DG0002	24.675	24.795	우리	[]
4	6	11	DG0002	24.835	25.016	@이름1	[]
4	6	12	DG0002	25.056	25.677	선생님	[]
4	6	13	DG0002	25.917	26.178	이야기	[]
4	6	14	DG0002	26.218	26.418	듣는	[]
4	6	15	DG0002	26.578	26.719	게	[]
4	6	16	DG0002	26.919	27.18	지금	[]
4	6	17	DG0002	27.2	27.26	이	[]
4	6	18	DG0002	27.34	27.6	시간에	[]
4	6	19	DG0002	27.7	27.921	가장	[]
4	6	20	DG0002	28.021	28.101	큰	[]
4	6	21	DG0002	28.161	28.402	선물일	[]
4	6	22	DG0002	28.482	28.542	것	[]
4	6	23	DG0002	28.562	28.963	같은데	[]
4	7	1	DG0002	29.113	29.56	아	[]
4	7	2	DG0002	29.764	29.784	그쵸.	[]
5	8	1	DG0001	30.333	30.373	왜	[]
5	8	2	DG0001	30.454	30.737	이렇게	[]
5	8	3	DG0001	30.797	31.302	말씀을	[]
5	8	4	DG0001	31.726	31.746	잘	[]
6	9	1	DG0002	32.841	33.342	아니	[]
6	9	2	DG0002	33.423	33.643	저도	[]
6	9	3	DG0002	33.683	34.024	몰랐던	[]
6	9	4	DG0002	34.084	34.586	사실들을	[]
6	9	5	DG0002	34.706	35.348	지난주에	[]
6	9	6	DG0002	35.368	35.909	아	[]
6	9	7	DG0002	36.992	37.313	한국의	[]
6	9	8	DG0002	37.413	37.875	포크송의	[]
6	9	9	DG0002	37.915	38.175	역사가	[]
6	9	10	DG0002	38.195	38.396	이렇게	[]
