bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	22.836	23.127	CONTINUER	예.	[7]	[9]	[4]
2	AH0002	26.265	26.555	CONTINUER	네.	[7]	[11]	[5]
3	AH0002	31.437	31.799	CONTINUER	예.	[7]	[11]	[15]
4	AH0002	37.137	37.97	AFFIRMATIVE	예 그렇습니다.	[9]	[14]	[7]
5	AH0001	40.548	41.076	CONTINUER	음.	[10]	[16]	[2]
6	AH0001	43.036	43.509	CONTINUER	음.	[10]	[17]	[3]
7	AH0002	53.708	54.27	CONTINUER	예. 예.	[15]	[23]	[2]
8	AH0002	58.97	59.19	CONTINUER	예.	[15]	[24]	[9]
9	AH0001	60.582	60.892	CONTINUER	음.	[16]	[26]	[2]
10	AH0001	65.254	65.444	CONTINUER	음.	[16]	[26]	[11]
11	AH0002	70.903	71.549	CONTINUER	예.	[]	[]	[]
12	AH0002	75.138	75.606	CONTINUER	네.	[17]	[28]	[8]
13	AH0001	75.606	76.251	CONTINUER	어.	[]	[]	[]
14	AH0001	81.704	82.369	CONTINUER	음.	[18]	[29]	[10]
15	AH0001	86.352	87.129	CONTINUER	네.	[18]	[30]	[6]
16	AH0001	92.963	94.43	CONTINUER	네. 네.	[18]	[31]	[17]
17	AH0002	100.0	100.2	CONTINUER	예.	[19]	[33]	[2]
18	AH0001	101.87	102.598	CONTINUER	예.	[20]	[34]	[2]
19	AH0001	104.993	105.428	CONTINUER	음.	[20]	[35]	[5]
20	AH0002	129.686	130.067	CONTINUER	예.	[21]	[38]	[5]
21	AH0001	131.91	133.08	CONTINUER	음.	[22]	[40]	[3]
22	AH0002	135.391	136.098	CONTINUER	네.	[23]	[41]	[6]
23	AH0001	157.005	157.973	CONTINUER	음. 음.	[24]	[46]	[4]
24	AH0002	169.994	170.159	CONTINUER	예.	[27]	[49]	[3]
25	AH0001	173.475	174.055	CONTINUER	예.	[28]	[50]	[8]
26	AH0001	177.975	178.225	CONTINUER	음.	[28]	[51]	[10]
27	AH0001	184.684	185.156	CONTINUER	예.	[28]	[52]	[15]
28	AH0001	189.968	190.436	CONTINUER	어.	[28]	[54]	[8]
29	AH0001	197.283	197.843	AFFIRMATIVE	그쵸.	[28]	[55]	[12]
30	AH0001	204.132	204.483	CONTINUER	네.	[28]	[56]	[13]
